signal,global_plv,high_R_plv,non_high_R_plv,high_minus_background,best_lag_days,best_lag_plv,p_circular,fdr_q
Sun,0.01961713209423198,0.4372738816318083,0.006707909766887673,0.4305659718649206,100,0.4417591122568574,0.29685157421289354,0.782848575712144
combo_Neptune_Pluto_Sun,0.05424174129577321,0.43492749479841447,0.0348123989571176,0.4001150958412969,175,0.49541398628924244,0.18490754622688654,0.782848575712144
combo_Jupiter_Sun,0.0624243800978538,0.3851980969703446,0.0779773069700586,0.30722079000028596,142,0.4277285121405244,0.09145427286356822,0.782848575712144
combo_Saturn_Sun,0.03434974546885663,0.37902470698779944,0.020359603416925626,0.35866510357087383,238,0.3837748561407665,0.059470264867566215,0.782848575712144
Mars,0.018239370945355195,0.37795184918870517,0.00449543733635075,0.3734564118523544,227,0.41866134061308014,0.30684657671164417,0.782848575712144
combo_Neptune_Sun,0.023135958144237,0.36883181222336503,0.0185744675863799,0.3502573446369851,130,0.40361913554657947,0.18790604697651175,0.782848575712144
combo_Mercury_Neptune_Sun,0.040325019731548006,0.3610727695328156,0.023470862637269736,0.33760190689554587,35,0.36599777331787187,0.051974012993503245,0.782848575712144
combo_Saturn_Neptune_Sun,0.03714094106825253,0.3606113202770344,0.04468729712518853,0.31592402315184587,132,0.4001647669767769,0.07146426786606697,0.782848575712144
combo_Venus_Saturn_Sun,0.01870616066962774,0.3605441712192755,0.021634804476726832,0.3389093667425487,30,0.4101385062779351,0.08995502248875563,0.782848575712144
combo_Venus_Jupiter_Sun,0.06757388145348817,0.357643824233314,0.07122173847648797,0.28642208575682604,20,0.4142314693042539,0.12393803098450774,0.782848575712144
combo_Saturn_Uranus_Sun,0.011269537216384302,0.35197045648679437,0.00848324238560043,0.3434872141011939,26,0.3908049341999569,0.1089455272363818,0.782848575712144
combo_Mars_Uranus_Sun,0.025520885409846195,0.34785193458064506,0.009353336537930171,0.33849859804271487,0,0.34785193458064506,0.30484757621189407,0.782848575712144
combo_Uranus_Sun,0.020802798446684357,0.3349054528958314,0.02724602075733738,0.307659432138494,54,0.365841178908116,0.2768615692153923,0.782848575712144
combo_Jupiter_Neptune_Sun,0.04757647333998349,0.33279675142161375,0.06616396253184181,0.26663278888977193,169,0.36044781822920474,0.20889555222388806,0.782848575712144
combo_Jupiter_Uranus_Sun,0.0640960076069942,0.3119185659534723,0.07761892132207325,0.23429964463139902,146,0.40842242803656603,0.2848575712143928,0.782848575712144
combo_Mercury_Saturn_Sun,0.025848580763754334,0.309859076013597,0.012860751671777734,0.2969983243418193,25,0.3287635552074272,0.07146426786606697,0.782848575712144
combo_Mars_Neptune,0.002268456285646355,0.30924295011839326,0.014771062775853742,0.29447188734253954,239,0.3861475599671297,0.19090454772613694,0.782848575712144
combo_Jupiter_Saturn_Sun,0.09098592265985132,0.3051996949808452,0.10924606003584203,0.19595363494500317,79,0.42567756848197935,0.26486756621689156,0.782848575712144
combo_Neptune_Sun_Moon,0.010706368280873912,0.30306052030712965,0.0052783579448059045,0.29778216236232374,172,0.3353547240765501,0.14392803598200898,0.782848575712144
combo_Mars_Saturn,0.027370090491632814,0.30157904661602136,0.028158202617942257,0.2734208439980791,175,0.37654445049141655,0.26036981509245377,0.782848575712144
combo_Jupiter_Sun_Moon,0.05716779380249639,0.3007611721473172,0.07220399971412345,0.22855717243319373,167,0.33568896122054676,0.13093453273363317,0.782848575712144
combo_Saturn_Sun_Moon,0.017041139703755218,0.2986657071278099,0.006459663014154953,0.2922060441136549,234,0.33334237734921623,0.09195402298850575,0.782848575712144
combo_Venus_Uranus_Sun,0.012279262673190879,0.2964358263442728,0.008248314113343383,0.2881875122309294,112,0.37280073977173944,0.28835582208895555,0.782848575712144
combo_Venus_Jupiter_Uranus,0.05253005626928277,0.2930909907989866,0.05393548577692929,0.2391555050220573,148,0.36417352775515266,0.050974512743628186,0.782848575712144
combo_Uranus_Sun_Moon,0.006574924453788435,0.28680592859852605,0.008462708139707134,0.27834322045881893,25,0.30305570900312695,0.23338330834582707,0.782848575712144
combo_Jupiter_Saturn_Neptune,0.032376824386300435,0.2785367653733956,0.04861601725534698,0.22992074811804863,0,0.2785367653733956,0.03948025987006497,0.782848575712144
combo_Mercury_Jupiter_Sun,0.06022633995420049,0.2755247574038192,0.07188232798795553,0.2036424294158637,155,0.45231296120986575,0.23788105947026486,0.782848575712144
combo_Mercury_Sun,0.036307629169196526,0.27308790341502315,0.023991900979241434,0.24909600243578173,148,0.3078129541952008,0.2193903048475762,0.782848575712144
combo_Uranus_Neptune_Sun,0.01666227959198431,0.27289326077523113,0.031715038505843125,0.241178222269388,114,0.3300405693782218,0.21489255372313842,0.782848575712144
sun_moon,0.013607637046981135,0.27223980282915444,0.00533121425750916,0.2669085885716453,230,0.3217217985544616,0.312343828085957,0.782848575712144
combo_Sun_Moon,0.013607637046981135,0.27223980282915444,0.00533121425750916,0.2669085885716453,230,0.3217217985544616,0.31984007996002,0.782848575712144
combo_Venus_Jupiter_Moon,0.06441577284279373,0.2603959115832988,0.0669364969143937,0.1934594146689051,0,0.2603959115832988,0.00849575212393803,0.782848575712144
all_major,0.016480493034403475,0.2555516922103466,0.020679195575315223,0.2348724966350314,138,0.2999078879249821,0.2413793103448276,0.782848575712144
combo_Venus_Jupiter_Neptune,0.05083903692393217,0.25482520619757043,0.05929895376095677,0.19552625243661365,84,0.2931257480897063,0.11344327836081959,0.782848575712144
combo_Mars_Saturn_Neptune,0.019074724331958812,0.2527179824205414,0.03330891099053544,0.21940907143000593,138,0.32523734570413854,0.28235882058970513,0.782848575712144
combo_Venus_Jupiter,0.10847761794868137,0.25245134370957467,0.11618729588578908,0.1362640478237856,0,0.25245134370957467,0.11694152923538231,0.782848575712144
jupiter_outer,0.03120745544888001,0.25084645131199546,0.04490244844413002,0.20594400286786543,148,0.26111801104581367,0.09295352323838081,0.782848575712144
combo_Mercury_Jupiter_Pluto,0.04499419546013217,0.244360829134354,0.047828353301691225,0.19653247583266278,215,0.2451640128708889,0.07746126936531735,0.782848575712144
Jupiter,0.12584348452260619,0.243191180221478,0.13349300132919972,0.10969817889227829,189,0.2745453687561114,0.21739130434782608,0.782848575712144
combo_Saturn_Uranus_Neptune,0.02872714492225651,0.23326612493100934,0.02198393067212097,0.2112821942588884,137,0.243396186167533,0.12493753123438281,0.782848575712144
combo_Jupiter_Neptune_Pluto,0.027819058430689155,0.22914825911787678,0.03710314470992193,0.19204511440795485,193,0.2846288842351038,0.2688655672163918,0.782848575712144
combo_Mercury_Venus_Jupiter,0.04941702327545068,0.22402565267124788,0.054045776739836765,0.16997987593141112,4,0.22555547331316494,0.16741629185407297,0.782848575712144
combo_Venus_Uranus,0.010623601725444258,0.22070686333306852,0.005646610651255285,0.21506025268181322,123,0.2736146513730881,0.1724137931034483,0.782848575712144
combo_Venus_Uranus_Pluto,0.01034947913930669,0.21902921471991568,0.017937936481517563,0.20109127823839812,52,0.30013889473478,0.19740129935032483,0.782848575712144
combo_Jupiter_Uranus,0.08978572948950486,0.2183928615431413,0.0987555863789032,0.1196372751642381,159,0.3676799160897373,0.2608695652173913,0.782848575712144
combo_Jupiter_Saturn_Uranus,0.05510610484272968,0.21389215695566946,0.06778889760934359,0.14610325934632587,40,0.23187846139033652,0.19540229885057472,0.782848575712144
