lag_days,plv,signal
0,0.09664309908748263,Mercury
1,0.09558178715476046,Mercury
2,0.09441148840858221,Mercury
3,0.0931434384011303,Mercury
4,0.09180720613611763,Mercury
5,0.09048279495798742,Mercury
6,0.08925407555461748,Mercury
7,0.08816381860648977,Mercury
8,0.08723829998364035,Mercury
9,0.08651717896138228,Mercury
10,0.08616832323949217,Mercury
11,0.08711020976284287,Mercury
12,0.08825286832789529,Mercury
13,0.08925732875427458,Mercury
14,0.09048406368282644,Mercury
15,0.09143551617652494,Mercury
16,0.09312164806417927,Mercury
17,0.095285086567378,Mercury
18,0.09776476560100314,Mercury
19,0.10042169925423829,Mercury
20,0.10291511563924881,Mercury
21,0.10527461646052631,Mercury
22,0.10754155442170978,Mercury
23,0.10960595520323364,Mercury
24,0.11133624822230229,Mercury
25,0.1124724800769144,Mercury
26,0.11370531586258706,Mercury
27,0.11471317598347536,Mercury
28,0.11507221878080885,Mercury
29,0.1150920094021191,Mercury
30,0.11672787999089698,Mercury
31,0.11970906764949041,Mercury
32,0.12306270262980237,Mercury
33,0.12650755436929462,Mercury
34,0.1297335207034894,Mercury
35,0.13218052350688667,Mercury
36,0.13363449242285377,Mercury
37,0.13447671933951538,Mercury
38,0.13485152477843967,Mercury
39,0.1348047791598529,Mercury
40,0.134319695314547,Mercury
41,0.13337083635864644,Mercury
42,0.13199463634871134,Mercury
43,0.1302688705725045,Mercury
44,0.13065218975366397,Mercury
45,0.1308231587728884,Mercury
46,0.13079545886011817,Mercury
47,0.1298467300462414,Mercury
48,0.1287379003329458,Mercury
49,0.12704195152006428,Mercury
50,0.12529170774285162,Mercury
51,0.12343347825324713,Mercury
52,0.12119587303896079,Mercury
53,0.11832831875943269,Mercury
54,0.11545708539819641,Mercury
55,0.11322399624499768,Mercury
56,0.1109241827608225,Mercury
57,0.10843264634637441,Mercury
58,0.10587966736572499,Mercury
59,0.10382934137898057,Mercury
60,0.10268646646338861,Mercury
61,0.10157572120984519,Mercury
62,0.10032934616500609,Mercury
63,0.0989033178072743,Mercury
64,0.0977228004575435,Mercury
65,0.09752794507406856,Mercury
66,0.09724513798140273,Mercury
67,0.09662479993028981,Mercury
68,0.09564922198202014,Mercury
69,0.0944770506933861,Mercury
70,0.09275350802204327,Mercury
71,0.09019196130487808,Mercury
72,0.08691151465581072,Mercury
73,0.08406618629358388,Mercury
74,0.08260524789358183,Mercury
75,0.07955643259500779,Mercury
76,0.07664956049041788,Mercury
77,0.07401531651055547,Mercury
78,0.07176069921558907,Mercury
79,0.07002384843125777,Mercury
80,0.06899135849033437,Mercury
81,0.06879935232290947,Mercury
82,0.06944265531772383,Mercury
83,0.07079896560338213,Mercury
84,0.07271679496985937,Mercury
85,0.07506467778968583,Mercury
86,0.07772599843459944,Mercury
87,0.0806130004159589,Mercury
88,0.08366802806212524,Mercury
89,0.08689126595934248,Mercury
90,0.0902550065796352,Mercury
91,0.09370077570081048,Mercury
92,0.09809989516061773,Mercury
93,0.10256168525616201,Mercury
94,0.10657072563206875,Mercury
95,0.11061883779176167,Mercury
96,0.11457806374304197,Mercury
97,0.11819008011456082,Mercury
98,0.12154940062237307,Mercury
99,0.12490284812832941,Mercury
100,0.12837141691853812,Mercury
101,0.13179484052793206,Mercury
102,0.13484361291214383,Mercury
103,0.13730667581682973,Mercury
104,0.13904257789429544,Mercury
105,0.13990448426514415,Mercury
106,0.1397758981936113,Mercury
107,0.1386364216166422,Mercury
108,0.13658718956646396,Mercury
109,0.1340023164719126,Mercury
110,0.1317721372513337,Mercury
111,0.13019897675065062,Mercury
112,0.12913131316796725,Mercury
113,0.12860455706497448,Mercury
114,0.12861180500745303,Mercury
115,0.12906301716262736,Mercury
116,0.1298377153518968,Mercury
117,0.13084408010474535,Mercury
118,0.13202847471478207,Mercury
119,0.13344421335383952,Mercury
120,0.13513145585904807,Mercury
121,0.13582998116899592,Mercury
122,0.13594002426826896,Mercury
123,0.13573123484879543,Mercury
124,0.13527113848272995,Mercury
125,0.13462718355996933,Mercury
126,0.1343310798776398,Mercury
127,0.1343233656997535,Mercury
128,0.13380208042934588,Mercury
129,0.13232747142896942,Mercury
130,0.12970267449367043,Mercury
131,0.12639860259222307,Mercury
132,0.12259972297828042,Mercury
133,0.11836543052903939,Mercury
134,0.11380200605178549,Mercury
135,0.10906947063598636,Mercury
136,0.10423212882792186,Mercury
137,0.09931586780828881,Mercury
138,0.09447787199374902,Mercury
139,0.09003572211733636,Mercury
140,0.08628848505067241,Mercury
141,0.08310099300066524,Mercury
142,0.08006033824882128,Mercury
143,0.07708324339953038,Mercury
144,0.07412020906331608,Mercury
145,0.07111814204866428,Mercury
146,0.06812435307135306,Mercury
147,0.06527193918109295,Mercury
148,0.0627242199519708,Mercury
149,0.06066131236172521,Mercury
150,0.059262081708286514,Mercury
151,0.058716223324831375,Mercury
152,0.059157764920428686,Mercury
153,0.0605713710650834,Mercury
154,0.06277145331931312,Mercury
155,0.06555664920440447,Mercury
156,0.06872112145253782,Mercury
157,0.07203333423094685,Mercury
158,0.07528785745680155,Mercury
159,0.07875227512062552,Mercury
160,0.08257332401730964,Mercury
161,0.08621557841636387,Mercury
162,0.08986308744259551,Mercury
163,0.09417856450729624,Mercury
164,0.09940124843572681,Mercury
165,0.1052999811024501,Mercury
166,0.11174542601234708,Mercury
167,0.11863344784058655,Mercury
168,0.1259099443232872,Mercury
169,0.13357362010948537,Mercury
170,0.14164520474285647,Mercury
171,0.1504323348204628,Mercury
172,0.1581581256768897,Mercury
173,0.1651003968597847,Mercury
174,0.1710834321260664,Mercury
175,0.17563525463837623,Mercury
176,0.17918248244743679,Mercury
177,0.18201733784665955,Mercury
178,0.1842887948286152,Mercury
179,0.18605628458098306,Mercury
180,0.18736787621460452,Mercury
181,0.18834571261582794,Mercury
182,0.189148586895777,Mercury
183,0.18967469632949024,Mercury
184,0.18976285710154536,Mercury
185,0.18952594068210354,Mercury
186,0.1890326148079102,Mercury
187,0.188240873884864,Mercury
188,0.18708146910641058,Mercury
189,0.18546816156392362,Mercury
190,0.1833398235458796,Mercury
191,0.18066237927789994,Mercury
192,0.17743272442069372,Mercury
193,0.1736625393463205,Mercury
194,0.1693914846256735,Mercury
195,0.16467052518558414,Mercury
196,0.1595699343768133,Mercury
197,0.15416464908111321,Mercury
198,0.14855021623616088,Mercury
199,0.1428583010254633,Mercury
200,0.1373430123392543,Mercury
201,0.13249288213480698,Mercury
202,0.12882886113780403,Mercury
203,0.12555062670162756,Mercury
204,0.12220347071098242,Mercury
205,0.11926674119791636,Mercury
206,0.11525310774106293,Mercury
207,0.11029276464374442,Mercury
208,0.1045867076069796,Mercury
209,0.09826011001578244,Mercury
210,0.09144991780294694,Mercury
211,0.08432578270350057,Mercury
212,0.07721347458167917,Mercury
213,0.07099660107754768,Mercury
214,0.06560948932627517,Mercury
215,0.06065210353992928,Mercury
216,0.056167785701346645,Mercury
217,0.052570095743636774,Mercury
218,0.049887218000623415,Mercury
219,0.04799186303692564,Mercury
220,0.046766224967325964,Mercury
221,0.046115437524374074,Mercury
222,0.04603747997341816,Mercury
223,0.04668301065521591,Mercury
224,0.048341939402098744,Mercury
225,0.050928010856701546,Mercury
226,0.05322969929000555,Mercury
227,0.05435976675597053,Mercury
228,0.05554225596827185,Mercury
229,0.056831810992887005,Mercury
230,0.05781807845337502,Mercury
231,0.05784093651647225,Mercury
232,0.058293562024869974,Mercury
233,0.05944062624596149,Mercury
234,0.0614450263411973,Mercury
235,0.06453558924201781,Mercury
236,0.06916031970276318,Mercury
237,0.07510068273996977,Mercury
238,0.08149111460991858,Mercury
239,0.0879701401462588,Mercury
240,0.09438963960364265,Mercury
0,0.18432191007053603,Venus
1,0.1839012201683342,Venus
2,0.18342837015234154,Venus
3,0.18290515111293273,Venus
4,0.1823331336206995,Venus
5,0.18171614449666368,Venus
6,0.1810623956126113,Venus
7,0.1803839087001802,Venus
8,0.17969475603909682,Venus
9,0.17900794381555774,Venus
10,0.17833298117862512,Venus
11,0.17767325169670634,Venus
12,0.1770260694954278,Venus
13,0.17638383777581604,Venus
14,0.1757361928751184,Venus
15,0.17507135895550097,Venus
16,0.17437858726257363,Venus
17,0.17364975921910172,Venus
18,0.1728814373918479,Venus
19,0.17207304297472512,Venus
20,0.17122736267431027,Venus
21,0.1703507459116304,Venus
22,0.1694526041262271,Venus
23,0.16854432010754553,Venus
24,0.16763849522614752,Venus
25,0.16674757405793708,Venus
26,0.16588321308383222,Venus
27,0.16505523809251416,Venus
28,0.16427175995397764,Venus
29,0.16353894879933725,Venus
30,0.16286198845668853,Venus
31,0.16224539437083882,Venus
32,0.1616941578034739,Venus
33,0.16121359343118152,Venus
34,0.16080934083583256,Venus
35,0.16048551752542523,Venus
36,0.16024335543755713,Venus
37,0.1600792312358797,Venus
38,0.15998484645216393,Venus
39,0.1599475817264945,Venus
40,0.15995256819896975,Venus
41,0.15998371153171084,Venus
42,0.16002541635900622,Venus
43,0.16006273585178848,Venus
44,0.16008224933853715,Venus
45,0.16007170743905905,Venus
46,0.16002098525096792,Venus
47,0.15992213063859803,Venus
48,0.15977017775396732,Venus
49,0.15956014101819588,Venus
50,0.15928632402283882,Venus
51,0.1589442674950229,Venus
52,0.15853295292449732,Venus
53,0.1580555694211169,Venus
54,0.15752105769136734,Venus
55,0.15694456748847987,Venus
56,0.15634682607349543,Venus
57,0.15575054937526783,Venus
58,0.15517683834734117,Venus
59,0.15464275558319412,Venus
60,0.15416179141705524,Venus
61,0.15374484670896285,Venus
62,0.15340162894269116,Venus
63,0.15314128716373263,Venus
64,0.15297536081141114,Venus
65,0.15291872813839533,Venus
66,0.1529874866743966,Venus
