signal,lag_days,residual_plv
Mercury,0,0.12301298460959544
Mercury,1,0.12935935444685118
Mercury,2,0.13599514703263874
Mercury,3,0.14294312102754553
Mercury,4,0.15018130335936986
Mercury,5,0.1576203532841661
Mercury,6,0.1651118293885861
Mercury,7,0.17252218035527786
Mercury,8,0.1797826174149762
Mercury,9,0.1868319017550959
Mercury,10,0.19350266366872154
Mercury,11,0.19871951151261316
Mercury,12,0.20304191509220118
Mercury,13,0.20683480026173898
Mercury,14,0.2094851337967065
Mercury,15,0.212663351831962
Mercury,16,0.2150039963694935
Mercury,17,0.21653544187454254
Mercury,18,0.21729583157435733
Mercury,19,0.21712853075594968
Mercury,20,0.21597720782460822
Mercury,21,0.21416685284644216
Mercury,22,0.2120305393798593
Mercury,23,0.2097996073900254
Mercury,24,0.20752207739855325
Mercury,25,0.20518299257690384
Mercury,26,0.20190862577451646
Mercury,27,0.19815701531393032
Mercury,28,0.19460870311512873
Mercury,29,0.19194513699730828
Mercury,30,0.18879905444678077
Mercury,31,0.18449832311792558
Mercury,32,0.179790881236058
Mercury,33,0.17484497940340546
Mercury,34,0.1697514069088876
Mercury,35,0.1648496322611335
Mercury,36,0.16061446361042087
Mercury,37,0.1568716518995918
Mercury,38,0.15353906543672197
Mercury,39,0.1506831531249416
Mercury,40,0.1483730173386472
Mercury,41,0.14656979356013744
Mercury,42,0.14513213399526895
Mercury,43,0.14394881724518502
Mercury,44,0.14095994296697503
Mercury,45,0.13800263204142527
Mercury,46,0.13509837716190556
Mercury,47,0.13261972836427072
Mercury,48,0.13219589082814148
Mercury,49,0.1332688077314041
Mercury,50,0.1346626924569119
Mercury,51,0.13620021881073538
Mercury,52,0.13804455744705885
Mercury,53,0.1405041352819494
Mercury,54,0.14298020871998005
Mercury,55,0.14498587590149356
Mercury,56,0.14753501695125432
Mercury,57,0.15000531220937005
Mercury,58,0.15194762663441777
Mercury,59,0.15216344766385323
Mercury,60,0.151066293916372
Mercury,61,0.14936209662716401
Mercury,62,0.14706552437953968
Mercury,63,0.1440481372038342
Mercury,64,0.1393630472188327
Mercury,65,0.13372590601196632
Mercury,66,0.12796365253772174
Mercury,67,0.12220758905845946
Mercury,68,0.1165605617505959
Mercury,69,0.11140385312674099
Mercury,70,0.10765031974869468
Mercury,71,0.10529600123301498
Mercury,72,0.10376100749368583
Mercury,73,0.10316583757861676
Mercury,74,0.10299316364022175
Mercury,75,0.09999675086487503
Mercury,76,0.09657780328094556
Mercury,77,0.09277369901957051
Mercury,78,0.08864787487200397
Mercury,79,0.08424391802710166
Mercury,80,0.0795955278171929
Mercury,81,0.07477201291800914
Mercury,82,0.06983616546880161
Mercury,83,0.06480406509676924
Mercury,84,0.059695467172879636
Mercury,85,0.0545474866128689
Mercury,86,0.0494186449902009
Mercury,87,0.04437125899036248
