body,theta_sector_deg,n_sector,n_high_R_sector,event_prob_sector,event_prob_high_R_sector,enrichment_high_R_sector,n_joint_high_R_event_sector
Neptune,-150 to -120,1392,76,0.09339080459770115,0.2631578947368421,5.260627530364372,20
Neptune,-120 to -90,1306,9,0.03828483920367534,0.0,0.0,0
Neptune,-90 to -60,1284,0,0.0132398753894081,,,0
Neptune,-60 to -30,1354,23,0.012555391432791729,0.0,0.0,0
Neptune,-30 to 0,1426,107,0.0,0.0,0.0,0
Neptune,0 to 30,1438,180,0.002086230876216968,0.0,0.0,0
Neptune,30 to 60,1370,154,0.0,0.0,0.0,0
Neptune,60 to 90,1336,16,0.0037425149700598802,0.0,0.0,0
Neptune,90 to 120,1539,49,0.043534762833008445,0.0,0.0,0
Neptune,120 to 150,1389,19,0.051115910727141826,0.0,0.0,0
Neptune,150 to 180,1380,40,0.13695652173913042,0.0,0.0,0
Pluto,-180 to -150,1418,159,0.038787023977433006,0.0,0.0,0
Pluto,-150 to -120,1392,76,0.04956896551724138,0.0,0.0,0
Pluto,-120 to -90,1306,9,0.0781010719754977,0.0,0.0,0
Pluto,-90 to -60,1284,0,0.08021806853582554,,,0
Pluto,-60 to -30,1354,23,0.06573116691285082,0.0,0.0,0
Pluto,-30 to 0,1426,107,0.061711079943899017,0.0,0.0,0
Pluto,0 to 30,1438,180,0.059805285118219746,0.0,0.0,0
Pluto,30 to 60,1370,154,0.050364963503649635,0.0,0.0,0
Pluto,60 to 90,1336,16,0.02694610778443114,0.0,0.0,0
Pluto,90 to 120,1539,49,0.01364522417153996,0.0,0.0,0
Pluto,120 to 150,1389,19,0.040316774658027354,0.0,0.0,0
Pluto,150 to 180,1380,40,0.042028985507246375,0.0,0.0,0
Sun,-180 to -150,1418,159,0.054301833568406205,0.0,0.0,0
Sun,-150 to -120,1392,76,0.10272988505747127,0.19736842105263158,3.9454706477732793,15
Sun,-120 to -90,1306,9,0.166156202143951,0.5555555555555556,11.10576923076923,5
Sun,-90 to -60,1284,0,0.08411214953271028,,,0
Sun,-60 to -30,1354,23,0.03840472673559823,0.0,0.0,0
Sun,-30 to 0,1426,107,0.011220196353436185,0.0,0.0,0
Sun,0 to 30,1438,180,0.025034770514603615,0.0,0.0,0
Sun,30 to 60,1370,154,0.010948905109489052,0.0,0.0,0
Sun,60 to 90,1336,16,0.002245508982035928,0.0,0.0,0
Sun,90 to 120,1539,49,0.04483430799220273,0.0,0.0,0
Sun,120 to 150,1389,19,0.023758099352051837,0.0,0.0,0
Sun,150 to 180,1380,40,0.04565217391304348,0.0,0.0,0
Moon,-180 to -150,1418,159,0.05148095909732017,0.050314465408805034,1.0058055152394776,8
Moon,-150 to -120,1392,76,0.05603448275862069,0.11842105263157894,2.3672823886639676,9
Moon,-120 to -90,1306,9,0.04900459418070444,0.0,0.0,0
Moon,-90 to -60,1284,0,0.05451713395638629,,,0
Moon,-60 to -30,1354,23,0.045051698670605614,0.13043478260869565,2.607441471571906,3
Moon,-30 to 0,1426,107,0.05539971949509116,0.056074766355140186,1.1209561466570812,6
Moon,0 to 30,1438,180,0.054242002781641166,0.05555555555555555,1.110576923076923,10
Moon,30 to 60,1370,154,0.04671532846715328,0.05844155844155844,1.1682692307692306,9
Moon,60 to 90,1336,16,0.03817365269461078,0.0,0.0,0
Moon,90 to 120,1539,49,0.05847953216374269,0.061224489795918366,1.2239010989010988,3
Moon,120 to 150,1389,19,0.04967602591792657,0.0,0.0,0
Moon,150 to 180,1380,40,0.03985507246376811,0.0,0.0,0
