composite,bodies,escape_days,nonescape_days,mean_alignment_escape,mean_alignment_nonescape,median_alignment_escape,median_alignment_nonescape,mannwhitney_p,escape_alignment_enrichment
Venus_Mars,Venus+Mars,2712,13920,0.5561156372262555,0.49531706747031695,0.6056839833022893,0.4933638023600281,6.903105158121452e-17,1.1227467691885704
Venus_Mars_Jupiter,Venus+Mars+Jupiter,2712,13920,0.5423508202231296,0.5024224746135209,0.5870840467749265,0.4998542085836918,9.052556989897252e-08,1.07947165508534
Mercury_Venus_Mars,Mercury+Venus+Mars,2712,13920,0.536662400740704,0.501221935811203,0.569604358887029,0.4993624161696205,1.697681694651841e-06,1.0707081282708475
All_NonSolar_Major,Mercury+Venus+Mars+Jupiter+Saturn+Uranus+Neptune+Moon,2712,13920,0.5153779184308351,0.5025102155677366,0.5255743260648134,0.505407318993724,0.06141043382535505,1.025606848307672
