theta_center_rad,theta_center_deg,density,potential
-3.097959422289935,-177.5,0.014206534787945447,0.03268229938957923
-3.0106929596902186,-172.5,0.01414855236441502,0.03677204201901052
-2.923426497090502,-167.5,0.014091070068930761,0.04084308617022714
-2.8361600344907854,-162.5,0.014033737561555943,0.044920098005413855
-2.748893571891069,-157.5,0.013973818759079533,0.04919886429273035
-2.6616271092913526,-152.5,0.01390971904882224,0.053796546524414346
-2.574360646691636,-147.49999999999997,0.013842563754497751,0.0586361790599943
-2.4870941840919194,-142.5,0.013774338225507377,0.06357704229142946
-2.399827721492203,-137.5,0.013706723904299268,0.06849784610315535
-2.3125612588924866,-132.5,0.013642365321917163,0.07320430639105435
-2.2252947962927703,-127.50000000000001,0.013585386690930666,0.07738964744530907
-2.138028333693054,-122.50000000000001,0.01354039544857938,0.08070688146080673
-2.0507618710933375,-117.50000000000001,0.013512121278650039,0.0827971993789145
-1.9634954084936207,-112.5,0.013503432551575916,0.08344043826475556
-1.8762289458939043,-107.5,0.01351010399449873,0.0829465049327327
-1.7889624832941877,-102.5,0.013518759767771515,0.08230602121546138
-1.7016960206944713,-97.5,0.013513929877144308,0.08266335825751625
-1.6144295580947547,-92.5,0.013488090877806542,0.08457721555415088
-1.5271630954950384,-87.5,0.013445135306560503,0.08776700109046853
-1.439896632895322,-82.50000000000001,0.01339731076840167,0.09133035657797173
-1.3526301702956054,-77.5,0.013360118830156354,0.09411029192693832
-1.2653637076958888,-72.5,0.013344720647858698,0.09526350492533009
-1.1780972450961724,-67.5,0.013350314213048298,0.09484443334140558
-1.090830782496456,-62.50000000000001,0.013367142684443585,0.09358469715587958
-1.0035643198967397,-57.500000000000014,0.013389195423747936,0.09193628441665336
-0.9162978572970231,-52.50000000000001,0.013418321977790382,0.0897632696562578
-0.8290313946973065,-47.5,0.013455073663706359,0.08702809548506707
-0.7417649320975901,-42.5,0.013492071768044593,0.084282117980508
-0.6544984694978737,-37.50000000000001,0.013519578065623995,0.08224549250561886
-0.5672320068981571,-32.5,0.013535107346357019,0.08109750041472008
-0.4799655442984405,-27.499999999999993,0.013545781889190037,0.08030915529855864
-0.39269908169872414,-22.5,0.013560010021301005,0.07925933292379295
-0.30543261909900776,-17.500000000000007,0.01357801887776126,0.07793212827164808
-0.21816615649929139,-12.50000000000001,0.013593671528838176,0.07677999878886776
-0.1308996938995748,-7.500000000000004,0.01360496251341233,0.0759497375923397
-0.04363323129985819,-2.4999999999999973,0.013618549699678692,0.07495154255510972
0.04363323129985819,2.4999999999999973,0.013642029703631615,0.07322890787371339
0.13089969389957457,7.499999999999991,0.013673868913243441,0.07089772159461205
0.21816615649929116,12.499999999999998,0.013703613503824914,0.06872479701157808
0.30543261909900776,17.500000000000007,0.013721982099349246,0.06738527472477962
0.39269908169872414,22.5,0.013730657792754949,0.06675322667927386
0.4799655442984405,27.499999999999993,0.013741672308199681,0.06595136415115022
0.5672320068981569,32.499999999999986,0.013765857008678859,0.06419295783043655
0.6544984694978735,37.49999999999999,0.013802118047861262,0.061562292355939796
0.7417649320975901,42.5,0.013840560052210236,0.058780938900311774
0.8290313946973065,47.5,0.01387400336254065,0.05636752714561588
0.9162978572970228,52.49999999999999,0.01390135847466945,0.05439778711978338
1.0035643198967392,57.499999999999986,0.013922500852139483,0.05287805678407764
1.0908307824964556,62.49999999999998,0.013939355592751277,0.051668177413697336
1.178097245096172,67.49999999999997,0.013961265698030828,0.05009759519952439
1.2653637076958888,72.5,0.013999410824161385,0.04736910973085173
1.3526301702956056,77.50000000000001,0.01405441992853953,0.04344742250312361
1.439896632895322,82.50000000000001,0.014115549337660991,0.03910737480961757
1.5271630954950384,87.5,0.014172820347297133,0.035058284069002354
1.6144295580947547,92.5,0.014224724585935808,0.03140273591814058
1.7016960206944711,97.49999999999999,0.014275162227288715,0.02786323456242723
1.7889624832941875,102.49999999999999,0.014329438420307105,0.024068302493875038
1.8762289458939039,107.49999999999999,0.01439258200506314,0.019671419158800774
1.9634954084936203,112.49999999999997,0.014465157523715154,0.014641526114901104
2.050761871093337,117.5,0.014540199593931036,0.009467155233112479
2.138028333693054,122.50000000000001,0.014607044924592952,0.004880413058774735
2.2252947962927703,127.50000000000001,0.014655979604701217,0.0015359381451025556
2.3125612588924866,132.5,0.01467850757919031,0.0
2.399827721492203,137.5,0.01466897204650008,0.0006498365888152335
2.4870941840919194,142.5,0.014630045233469618,0.003307047618132053
2.574360646691636,147.49999999999997,0.014573707866773337,0.00716528024907781
2.661627109291352,152.49999999999997,0.014513780910172322,0.011285748801339146
2.7488935718910685,157.49999999999997,0.014458322248948165,0.015114171519083897
2.8361600344907854,162.5,0.014408528663710738,0.018564054900565452
2.923426497090502,167.5,0.014361678594684056,0.021820903905124034
3.0106929596902186,172.5,0.01431395938463931,0.025149112618354508
3.097959422289935,177.5,0.0142624352289835,0.028755180646367506
