combo,n_bodies,weights,all_high_plv,all_background_plv,all_contrast,train_high_plv,train_background_plv,train_contrast,test_high_plv,test_background_plv,test_contrast,train_score
Venus+Mars+Neptune+Pluto,4,Venus:-0.828720;Mars:-0.366897;Neptune:-0.420246;Pluto:-0.044748,0.22473586121473665,0.013814298771462586,0.21092156244327406,0.7705212068158112,0.019443057937145906,0.7510781488786652,0.15648278251088513,0.01594897619030819,0.14053380632057694,0.7460781488786652
Mercury+Venus+Neptune+Pluto,4,Mercury:-0.050022;Venus:-0.664360;Neptune:-0.510827;Pluto:-0.543304,0.20638296517464097,0.008189770443248595,0.19819319473139238,0.710581023605739,0.014195600459460259,0.6963854231462788,0.15309479989681804,0.012745532430469856,0.14034926746634818,0.6913854231462788
Venus+Saturn+Neptune,3,Venus:0.184574;Saturn:-0.701192;Neptune:0.688666,0.21622282348057706,0.01708254599291114,0.1991402774876659,0.7175485689278065,0.02211167826522868,0.6954368906625779,0.16282276083875907,0.022776451999355428,0.14004630883940364,0.6887702239959111
Mercury+Venus+Mars+Neptune,4,Mercury:-0.045701;Venus:0.842839;Mars:0.370397;Neptune:0.387738,0.2196129617935455,0.010840944211531176,0.20877201758201433,0.7676463785230282,0.015657129816305636,0.7519892487067226,0.1495307883253895,0.0114866034872838,0.13804418483810568,0.7469892487067226
Venus+Jupiter+Saturn+Pluto,4,Venus:0.643564;Jupiter:-0.388232;Saturn:0.572230;Pluto:0.328108,0.20513465237788267,0.013709963614736883,0.19142468876314578,0.7513978242833212,0.01960882839366127,0.73178899588966,0.1550237123107277,0.01724201286885757,0.13778169944187013,0.72678899588966
Mercury+Venus+Mars+Uranus,4,Mercury:0.178400;Venus:-0.870308;Mars:-0.235892;Uranus:-0.393818,0.2262758578072637,0.008873716273055773,0.21740214153420792,0.741445088799429,0.003925550978340676,0.7375195378210884,0.1389605779564245,0.003156034967174801,0.13580454298924968,0.7325195378210884
Venus+Mars+Pluto,3,Venus:0.895545;Mars:0.434967;Pluto:-0.093826,0.21286205642236825,0.00505423165975494,0.2078078247626133,0.6649353053400531,0.008680817338555377,0.6562544880014977,0.14074964765886208,0.0057733910087007494,0.13497625665016133,0.649587821334831
Venus+Mars+Neptune,3,Venus:0.839492;Mars:0.363966;Neptune:0.403462,0.22016570261852994,0.01260578021547925,0.20755992240305068,0.7678679395263409,0.01752076297626008,0.7503471765500809,0.14856843448857562,0.01368969117853527,0.13487874331004035,0.7436805098834142
Venus+Mars+Pluto+Moon,4,Venus:0.891393;Mars:0.435397;Pluto:-0.094945;Moon:0.082659,0.21156328336872487,0.006476559282067003,0.20508672408665787,0.6673033115321825,0.008268387508258777,0.6590349240239237,0.13900189734122284,0.004475550369717225,0.13452634697150562,0.6540349240239237
Jupiter+Uranus+Pluto+Moon,4,Jupiter:-0.303419;Uranus:-0.595744;Pluto:-0.742784;Moon:0.036029,0.09800345964125569,0.01976823603389208,0.07823522360736361,0.6529192610901631,0.02152513700381839,0.6313941240863447,0.15721387699458134,0.023238234140654634,0.1339756428539267,0.6263941240863447
Jupiter+Uranus+Pluto,3,Jupiter:0.311469;Uranus:0.586577;Pluto:0.747605,0.10009615696459126,0.019409994097586734,0.08068616286700453,0.6257744513344354,0.0213654341932297,0.6044090171412058,0.15439350896654133,0.02272292507164713,0.1316705838948942,0.597742350474539
Venus+Mars+Uranus+Neptune,4,Venus:-0.869846;Mars:-0.296894;Uranus:-0.186473;Neptune:-0.347058,0.22465875280498152,0.00823239968267515,0.21642635312230638,0.7736838246255897,0.013409574850948592,0.7602742497746411,0.14257363025225436,0.011414963495650922,0.13115866675660345,0.7552742497746411
Mars+Saturn+Uranus,3,Mars:0.274547;Saturn:-0.738052;Uranus:0.616363,0.13823094799168062,0.018019734133706247,0.12021121385797437,0.4597979273776913,0.019891718495516506,0.4399062088821748,0.151929906226535,0.02165103282582319,0.1302788734007118,0.43323954221550814
Mercury+Venus+Saturn+Neptune,4,Mercury:0.020427;Venus:-0.176624;Saturn:0.721107;Neptune:-0.669620,0.20732356120039686,0.015668180375629757,0.1916553808247671,0.7158075922686441,0.02014949217721397,0.6956581000914301,0.15020075446664968,0.021486010754596885,0.1287147437120528,0.6906581000914301
Venus+Neptune,2,Venus:0.973064;Neptune:0.230535,0.18502537888596207,0.005609417488590843,0.17941596139737123,0.6387556918684378,0.011148741027861803,0.627606950840576,0.13793967692007972,0.009499259506016305,0.12844041741406342,0.617606950840576
Neptune+Pluto+Moon,3,Neptune:0.437952;Pluto:0.752511;Moon:0.491859,0.11664399798909121,0.013203708552172146,0.10344028943691906,0.22361692515022763,0.014094705552316138,0.20952221959791148,0.14239867190205277,0.015021779470435037,0.12737689243161773,0.20285555293124483
Venus+Neptune+Moon,3,Venus:-0.969464;Neptune:-0.233326;Moon:-0.075485,0.18237676358154778,0.004763825194470993,0.17761293838707679,0.6389710698535268,0.010253634154607014,0.6287174356989198,0.1357812045585815,0.008588750838342563,0.12719245372023893,0.6220507690322531
Pluto+Moon,2,Pluto:-0.964873;Moon:-0.262718,0.13532227889295076,0.026570910596411198,0.10875136829653956,0.18610083702870678,0.029151859146927965,0.1569489778817788,0.1538017106608213,0.027867996121646758,0.12593371453917454,0.1469489778817788
Mars+Saturn+Pluto+Moon,4,Mars:0.519444;Saturn:-0.698663;Pluto:-0.421386;Moon:0.253933,0.128177515340515,0.005464418102299727,0.12271309723821527,0.43420016303343556,0.005579693425314127,0.42862046960812145,0.13430036585818694,0.009071122494019566,0.12522924336416738,0.42362046960812144
Venus+Jupiter+Saturn+Neptune,4,Venus:0.664741;Jupiter:-0.460849;Saturn:0.586637;Neptune:-0.039929,0.20946978119929088,0.013306334511998186,0.1961634466872927,0.734449018020721,0.018655125709667902,0.7157938923110532,0.14203815122054259,0.017939668016400616,0.12409848320414196,0.7107938923110532
Mars+Pluto+Moon,3,Mars:0.641079;Pluto:0.767444;Moon:-0.006887,0.13986799334580083,0.010559774920370937,0.1293082184254299,0.2743814816338977,0.015373429016892318,0.2590080526170054,0.13419754910615955,0.012523673973048474,0.12167387513311108,0.2523413859503387
Mars+Pluto,2,Mars:-0.642110;Pluto:-0.766613,0.13953972559487987,0.010411289343606432,0.12912843625127343,0.27420002266410354,0.015271248899324241,0.2589287737647793,0.1336913993155977,0.012333791916784919,0.12135760739881278,0.2489287737647793
Venus+Jupiter+Neptune+Pluto,4,Venus:0.704756;Jupiter:-0.413521;Neptune:0.536055;Pluto:0.212047,0.2041278378709488,0.007399047527723843,0.19672879034322494,0.7252918876660889,0.0063866860136725,0.7189052016524163,0.12289102336584429,0.0015569281061691362,0.12133409525967515,0.7139052016524163
