bin,phi_center_rad,phi_center_deg,n,escape_rate,composite
5,-2.181661564992912,-125.00000000000001,481,0.1392931392931393,Venus_Mars_Jupiter
6,-2.0071286397934793,-115.00000000000003,446,0.13228699551569506,Venus_Mars_Jupiter
7,-1.8325957145940461,-105.00000000000001,451,0.13968957871396895,Venus_Mars_Jupiter
8,-1.658062789394613,-95.0,444,0.12612612612612611,Venus_Mars_Jupiter
9,-1.4835298641951802,-85.0,433,0.13625866050808313,Venus_Mars_Jupiter
10,-1.308996938995747,-74.99999999999999,452,0.14380530973451328,Venus_Mars_Jupiter
11,-1.1344640137963142,-65.0,491,0.13238289205702647,Venus_Mars_Jupiter
12,-0.9599310885968813,-55.0,442,0.14479638009049775,Venus_Mars_Jupiter
13,-0.7853981633974483,-45.0,477,0.2222222222222222,Venus_Mars_Jupiter
14,-0.6108652381980153,-35.0,524,0.20229007633587787,Venus_Mars_Jupiter
15,-0.43633231299858233,-24.999999999999996,488,0.15368852459016394,Venus_Mars_Jupiter
16,-0.2617993877991496,-15.000000000000009,511,0.15459882583170254,Venus_Mars_Jupiter
17,-0.0872664625997166,-5.000000000000007,471,0.18046709129511676,Venus_Mars_Jupiter
18,0.08726646259971638,4.999999999999995,472,0.19279661016949154,Venus_Mars_Jupiter
19,0.26179938779914935,14.999999999999996,505,0.22772277227722773,Venus_Mars_Jupiter
20,0.43633231299858233,24.999999999999996,491,0.219959266802444,Venus_Mars_Jupiter
21,0.6108652381980153,35.0,476,0.19117647058823528,Venus_Mars_Jupiter
22,0.7853981633974483,45.0,426,0.1784037558685446,Venus_Mars_Jupiter
23,0.959931088596881,54.999999999999986,436,0.1651376146788991,Venus_Mars_Jupiter
24,1.1344640137963138,64.99999999999997,453,0.2052980132450331,Venus_Mars_Jupiter
25,1.308996938995747,74.99999999999999,462,0.14285714285714285,Venus_Mars_Jupiter
26,1.4835298641951802,85.0,441,0.1746031746031746,Venus_Mars_Jupiter
27,1.658062789394613,95.0,458,0.15938864628820962,Venus_Mars_Jupiter
28,1.8325957145940457,104.99999999999999,502,0.1394422310756972,Venus_Mars_Jupiter
29,2.007128639793479,115.0,467,0.1670235546038544,Venus_Mars_Jupiter
30,2.181661564992912,125.00000000000001,421,0.1543942992874109,Venus_Mars_Jupiter
31,2.356194490192345,135.0,456,0.19078947368421054,Venus_Mars_Jupiter
32,2.5307274153917776,145.0,429,0.13986013986013987,Venus_Mars_Jupiter
33,2.7052603405912103,154.99999999999997,510,0.13529411764705881,Venus_Mars_Jupiter
34,2.8797932657906435,165.0,442,0.16968325791855204,Venus_Mars_Jupiter
35,3.0543261909900767,175.0,442,0.14705882352941177,Venus_Mars_Jupiter
0,-3.0543261909900767,-175.0,421,0.11163895486935867,Mercury_Venus_Mars
1,-2.879793265790644,-165.00000000000003,484,0.1115702479338843,Mercury_Venus_Mars
2,-2.705260340591211,-155.0,444,0.12162162162162163,Mercury_Venus_Mars
3,-2.5307274153917776,-145.0,460,0.13260869565217392,Mercury_Venus_Mars
4,-2.356194490192345,-135.0,495,0.12727272727272726,Mercury_Venus_Mars
5,-2.181661564992912,-125.00000000000001,490,0.15510204081632653,Mercury_Venus_Mars
6,-2.0071286397934793,-115.00000000000003,497,0.12877263581488935,Mercury_Venus_Mars
7,-1.8325957145940461,-105.00000000000001,492,0.11178861788617886,Mercury_Venus_Mars
8,-1.658062789394613,-95.0,505,0.1504950495049505,Mercury_Venus_Mars
9,-1.4835298641951802,-85.0,484,0.18388429752066116,Mercury_Venus_Mars
10,-1.308996938995747,-74.99999999999999,498,0.1746987951807229,Mercury_Venus_Mars
