composite,bodies,n_days,n_escape_days,beta0,beta_cos,beta_sin,alpha,phi0_rad,phi0_deg,loglike_full,loglike_null,likelihood_ratio,lr_p,mean_escape_prob,max_escape_prob,min_escape_prob,modulation_ratio_max_min
Venus_Mars,Venus+Mars,16632,2712,-1.6481390121835258,0.24499977107780826,0.05933583637810871,0.2520825842990113,0.23761213774730727,13.614172654001862,-7360.7289499614235,-7396.383980862067,71.31006180128679,3.2750416522851145e-16,0.16272459066611328,0.1984417334743227,0.13008404284504696,1.5254886697417747
Venus_Mars_Jupiter,Venus+Mars+Jupiter,16632,2712,-1.6439763505814962,0.1597556379390817,0.09263270820830627,0.18466911621418503,0.5254640564152009,30.1068727184152,-7377.201444410148,-7396.383980862067,38.365072903838154,4.66799379437904e-09,0.16264694124814325,0.1885732556225351,0.13839975401114143,1.3625259450053258
Mercury_Venus_Mars,Mercury+Venus+Mars,16632,2712,-1.6397620108922466,0.14448514345923918,0.10334825418174823,0.17764238886834463,0.6209117706116611,35.57562390604328,-7378.653667798844,-7396.383980862067,35.46062612644528,1.9944487188060544e-08,0.16316741202098664,0.18814260432125066,0.139746201766282,1.3463164074821083
All_NonSolar_Major,Mercury+Venus+Mars+Jupiter+Saturn+Uranus+Neptune+Moon,16632,2712,-1.636640911056942,0.05261531636432011,0.042045101466813076,0.06735103617222306,0.6741942656328899,38.628485992686514,-7393.839081211047,-7396.383980862067,5.089799302038955,0.0784809270666073,0.16300708312551931,0.17231744731382231,0.15394479709914793,1.1193457041801906
