date,theta_residual_minus_sun_rad,optimal_composite_phase_rad,phase_misalignment_rad,R,high_R
1980-10-17,-2.9400378604355772,2.295208900109146,1.047938546634863,-0.183081362536762,False
1980-10-18,-3.0651076598855536,2.3844398949100807,0.833637752383952,-0.1950829328416027,False
1980-10-19,-3.0833383719031566,2.389182177604166,0.8106647576722636,-0.2074257860051873,False
1980-10-20,3.1155415039870142,2.4357418204734635,0.6797996835135507,-0.220146981986253,False
1980-10-21,3.0961071832411537,2.441300594945157,0.6548065882959966,-0.2332776703653532,False
1980-10-22,3.025331998660766,2.4773283186027264,0.5480036800580397,-0.2468330260992267,False
1980-10-23,3.0050320963165014,2.4833525677126316,0.5216795286038698,-0.2608067119046411,False
1980-10-24,2.941775301598444,2.514504304185225,0.4272709974132187,-0.2751820150620886,False
1980-10-25,2.920737420523344,2.5208387276419693,0.3998986928813748,-0.2899435044214973,False
1980-10-26,2.862489650952245,2.549167182474947,0.31332246847729817,-0.3050778539325497,False
1980-10-27,2.8407848851236928,2.5557233606418155,0.28506152448187727,-0.3205763526067711,False
1980-10-28,2.786186083583795,2.5822159378822995,0.2039701457014953,-0.3364341727955119,False
1980-10-29,2.7638745612137434,2.588935155063009,0.17493940615073456,-0.3526515950475212,False
1980-10-30,2.712082319898486,2.614147283858294,0.09793503604019183,-0.3692328097117341,False
1980-10-31,2.6892262972352032,2.620985998999954,0.06824029823524924,-0.3861879467767372,False
1980-11-01,2.6396569549774744,2.6452663318970613,-0.00560937691958685,-0.4035273067313372,False
1980-11-02,2.616383444637452,2.652185594965621,-0.035802150328168914,-0.4212634377839383,False
1980-11-03,2.568834245951451,2.6757402926033507,-0.10690604665189962,-0.43941001823473,False
1980-11-04,2.5452483119390807,2.6826975637668333,-0.13744925182775258,-0.4579801410905722,False
1980-11-05,2.499388290720205,2.7056909108049583,-0.2063026200847533,-0.4769844387590793,False
1980-11-06,2.475612974780672,2.7126506070100875,-0.23703763222941543,-0.4964274741805269,False
1980-11-07,2.431324747695095,2.73518471586849,-0.3038599681733949,-0.5163084202447896,False
1980-11-08,2.4075073552071373,2.7421030202430705,-0.3345956650359332,-0.5366145082563711,False
1980-11-09,2.3647082069230656,2.7642466395826304,-0.3995384326595648,-0.5573213757554122,False
1980-11-10,2.340952304061556,2.771079167408166,-0.43012686334660977,-0.5783936751260474,False
1980-11-11,2.2995398270622234,2.792882734565868,-0.49334290750364485,-0.5997849465109234,False
1980-11-12,2.2758776575788824,2.7995894219321666,-0.5237117643532843,-0.6214393617715791,False
1980-11-13,2.235709366825203,2.821094585423052,-0.5853852185978488,-0.6432913697104355,False
1980-11-14,2.212108367593106,2.82764053230048,-0.6155321647073739,-0.6652685383353751,False
1980-11-15,2.1730112115524456,2.8488835891077624,-0.6758723775553168,-0.6872891971004311,False
1980-11-16,2.1493958922291636,2.8552365227630663,-0.7058406305339027,-0.7092656672859744,False
1980-11-17,2.1111818027338805,2.8762485967580673,-0.7650667940241869,-0.7311052429368603,False
1980-11-18,2.0874532409599755,2.882375499266873,-0.7949222583068973,-0.7527130181655441,False
