name,bodies,best_lag_days,best_lag_plv,zero_lag_plv,lead_minus_zero,best_positive_lag_days,best_positive_lag_plv,best_negative_lag_days,best_negative_lag_plv,lead_asymmetry,phase_randomized_lag_p,z_score,lag_fdr_q
Venus_Mars,Venus+Mars,-215,0.48489640425337166,0.2521517868788462,0.23274461737452545,364,0.45067328931139555,-215,0.48489640425337166,-0.08653325537133988,0.0001999600079984003,5.008453497406326,0.0007998400319936012
Mercury_Venus_Mars,Mercury+Venus+Mars,365,0.46674519861151137,0.21878451920817674,0.24796067940333463,365,0.46674519861151137,-173,0.45629593174980554,-0.09285740544421359,0.0001999600079984003,5.27063950728803,0.0007998400319936012
All_NonSolar_Major,Mercury+Venus+Mars+Jupiter+Saturn+Uranus+Neptune+Moon,-198,0.31870611171038793,0.14560597362694397,0.17310013808344396,362,0.2129553093943484,-198,0.31870611171038793,-0.07366438198707813,0.015396920615876825,2.4283661369225187,0.04105845497567153
Venus_Mars_Jupiter,Venus+Mars+Jupiter,-194,0.3553917713043029,0.2888536311762919,0.06653814012801096,8,0.29205834121923885,-194,0.3553917713043029,-0.09067978803075408,0.02519496100779844,2.1688395089946018,0.05038992201559688
Jupiter_Saturn,Jupiter+Saturn,-308,0.2858747566286774,0.057785085559359003,0.22808967106931838,207,0.2053987434553943,-308,0.2858747566286774,-0.012407386771821433,0.20355928814237154,0.8208681398375273,0.32569486102779444
Mars_Jupiter,Mars+Jupiter,-60,0.281846546693484,0.13257366119064518,0.14927288550283885,194,0.18740764848736127,-60,0.281846546693484,-0.13047135324086884,0.2561487702459508,0.5966751116503808,0.34153169366126773
Venus_Jupiter,Venus+Jupiter,-228,0.2607913392478699,0.0857190438623302,0.1750722953855397,91,0.226803547258881,-228,0.2607913392478699,-0.06417922379023723,0.35632873425314937,0.310887009202007,0.4072328391464564
Sun_removed_Moon,Moon,17,0.03344002165318463,0.01397154910788542,0.01946847254529921,17,0.03344002165318463,-11,0.032747295091634036,-0.00026977038687986746,0.9102179564087183,-1.1328786552119219,0.9102179564087183
