test,global_probability,R_high_probability,enrichment,R_high_n,event_n,circular_shift_mean,circular_shift_2p5,circular_shift_50,circular_shift_97p5,p_enrichment_high
Venus high,0.05000770139138471,0.10164271047227925,2.0325411415488532,974,974,0.04937987679671458,0.0,0.04004106776180698,0.1324691991786446,0.1424287856071964
Mars high,0.05000770139138471,0.10061601642710473,2.0120104229473497,974,974,0.050040554414784395,0.0,0.045174537987679675,0.12525667351129363,0.09245377311344327
Either high,0.0995533192996868,0.20225872689938398,2.0316623124390416,974,1939,0.09968583162217659,0.033880903490759756,0.09650924024640657,0.175564681724846,0.008995502248875561
Both high,0.0004620834830826103,0.0,0.0,974,9,0.0004173511293634497,0.0,0.0,0.009240246406570842,1.0
Product high,0.05000770139138471,0.03490759753593429,0.6980444324511212,974,974,0.05035985626283367,0.0,0.04722792607802875,0.12220225872689926,0.6591704147926037
