theta1,theta2,state
87.17294371527889,-0.0201034653245766,1
87.06632952552687,359.2263409215076,1
86.97207145923124,358.47114024288186,1
86.89085970261726,357.7144254358974,1
86.82340225725247,356.9563607011616,1
86.77042236453764,356.19714677846383,1
86.73265505857971,355.43702423536985,1
86.7108427444237,354.67627666005694,1
86.7057297112587,353.9152336206911,1
86.71805551353171,353.154273223584,1
86.74854718907679,352.39382407367805,1
86.79791033401484,351.63436641698553,1
86.86681911983143,350.8764322297657,1
86.95590541751595,350.1206040184416,1
87.06574728344857,349.3675121126794,1
87.19685715559723,348.61783027613234,1
87.34967019745878,347.87226952779054,1
87.5245332996629,347.13157016141656,1
87.72169529279614,346.3964920669451,1
87.94129892820875,345.66780358721564,1
88.18337513801569,344.9462692730559,1
88.44783998849897,344.23263701381586,1
88.73449459727252,343.52762510288255,1
89.04302810615211,342.83190983503255,1
89.37302360730084,342.14611421680183,1
89.72396673196462,341.4707983020167,1
90.09525645062568,340.8064515498771,1
90.48621751803867,340.1534874568525,1
90.896113936512,339.51224055441816,1
91.32416280763478,338.88296571110334,1
91.7695479902416,338.2658395454434,1
92.23143306877445,337.66096365720415,1
92.70897324642753,337.06836932262706,1
93.20132589653583,336.48802327477193,1
93.70765962072247,335.919834197311,1
94.22716176393706,335.36365959178283,1
94.75904441911517,334.8193127259129,1
95.30254901568321,334.2865694262163,1
95.85694962716279,333.7651745351493,1
96.42155515613487,333.25484790675495,1
96.99571056319047,332.75528986200504,1
97.57879730385477,332.26618606433493,1
98.17023312724208,331.78721180684965,1
98.76947137530546,331.31803572578775,1
99.37599990431322,330.85832297099,1
99.98933973233979,330.407737874476,1
100.609043499288,329.9659461639677,1
101.23469381001188,329.5326167704179,1
101.86590151688868,329.1074232782728,1
102.50230398585752,328.6900450651194,1
103.14356337949052,328.2801681741806,1
103.789364981979,327.8774859593042,1
104.4394155838298,327.4816995380142,1
105.0934419383758,327.092518084092,1
105.75118929771165,326.70965898721323,1
106.41242003217326,326.3328479034816,1
107.07691233481715,325.96181871733023,1
107.74445901036528,325.596313432239,1
108.41486634663187,325.2360820050319,1
109.08795306542754,324.88088213617095,1
109.76354934925021,324.53047902642294,1
110.44149593964596,324.1846451085181,1
111.12164330289335,323.84315976091807,1
111.80385085858391,323.50580900953156,1
112.48798626669875,323.17238522213796,1
113.17392476888669,322.8426867993689,1
113.86154857980954,322.5165178653388,1
114.55074632461483,322.1936879603822,1
115.24141251881416,321.8740117378308,1
115.93344708707289,321.5573086663333,1
116.62675491764985,321.24340273886537,1
117.32124544945448,320.93212218929324,1
118.01683228891369,320.62329921712234,1
118.7134328540554,320.31676972088,1
119.41096804342119,320.0123730404384,1
120.10936192761444,319.70995170847533,1
120.80854146147296,319.4093512111903,1
121.5084362150265,319.1104197583368,1
122.20897812155997,318.8130080625979,1
122.91010124125309,318.51696912831505,1
123.6117415390084,318.22215804957847,1
124.31383667521114,317.92843181769933,1
125.01632580828907,317.63564913811047,1
125.7191494080589,317.3436702567751,1
126.42224907895765,317.05235679623166,1
127.12556739236636,316.761571601455,1
127.82904772733814,316.4711785957814,1
128.53263411914614,316.1810426472147,1
129.23627111516944,315.8910294455143,1
129.93990363773767,315.6010053905536,1
130.64347685366022,315.3108374925368,1
131.34693605027377,315.020393284766,1
132.05022651795412,314.72954074976644,1
132.7532934391562,314.4381482596982,1
133.45608178417172,314.14608453211235,1
134.15853621392648,313.85321860224644,1
134.860600990284,313.55941981319717,1
135.56221989447457,313.2645578254558,1
136.2633361544358,312.9685026474451,1
136.96389238202977,312.6711246888505,1
137.66383052129387,312.3722948386935,1
138.36309180908884,312.0718845702465,1
139.06161674972816,311.769766075032,1
139.75934510540543,311.4658124282838,1
140.456215904481,311.1598977883625,1
141.1521674699429,310.8518976327108,1
141.84713747061502,310.541689032996,1
142.5410629979457,310.22915097210705,1
143.23388067146013,309.9141647056465,1
143.92552677619884,309.59661417046647,1
144.6159374356731,309.2763864426356,1
145.30504882403977,308.9533722469748,1
145.99279742131193,308.6274665199515,1
146.67912031546155,308.29856902726146,1
147.36395555521372,307.9665850368421,1
148.04724255715433,307.6314260473399,1
148.72892257044887,307.2930105711888,1
149.40893920197163,306.9512649704415,1
150.08723900394287,306.60612434233053,1
150.7637721252415,306.2575334502257,1
151.43849302637702,305.90544769421547,1
152.11136125664913,305.5498341139856,1
152.78234229028578,305.19067241503916,1
153.45140841633037,304.8279560076282,1
154.1185396747604,304.4616930461029,1
154.78372482879485,304.0919074547852,1
155.4469623606341,303.7186399250041,1
156.10826147504864,303.3419488666545,1
156.7676430923819,302.9619112966321,1
157.42514080977523,302.57862364581166,1
158.08080180689154,302.19220246593477,1
158.73468767025696,301.8027850178898,1
159.38687510871506,301.41052972343283,1
160.03745653154974,301.01561646340764,1
160.68654046073172,300.618246706962,1
161.33425174960544,300.21864345808285,1
161.9807315822588,299.81705100792635,1
162.62613723086704,299.41373448383047,1
163.27064155248635,299.00897918848983,1
163.91443221205603,298.6030897254751,1
164.55771062465251,298.19638891003154,1
165.20069061717797,297.789216466853,1
165.8435968174569,297.3819275192862,1
166.48666278690771,296.9748908771816,1
167.1301289212661,296.5684871334125,1
167.7742401519434,296.1631065819722,1
168.41924348817128,295.75914697359343,1
169.06538544677238,295.35701112803935,1
169.71290942186795,294.95710442561926,1
170.3620530507845,294.55983220403436,1
171.01304563458032,294.165597090285,1
171.66610567177867,293.7747963009166,1
172.32143856194193,293.3878189471411,1
172.97923453162537,293.0050433840981,1
173.6396668290964,292.6268346454328,1
174.3028902262014,292.2535420052032,1
174.9690398562283,291.88549670863875,1
175.63823040597555,291.5230099112971,1
176.3105556690044,291.1663708626235,1
176.98608845577303,290.81584536484854,1
177.66488084559037,290.4716745317215,1
178.34696475560872,290.1340738640427,1
179.0323527938432,289.80323265068705,1
179.72103935680371,289.47931369522894,1
180.4130019279526,289.16245335983746,1
181.10820253092413,288.85276191022996,1
181.80658929118798,288.55032413854127,1
182.50809806141274,288.25520023526786,1
183.21265406890802,287.96742687718506,1
183.92017354784608,287.68701849539,1
184.63056532412082,287.4139686863831,1
185.34373232632583,287.1482517292571,1
186.05957300208848,286.8898241734452,1
186.7779826246017,286.6386264638628,1
187.4988544794178,286.3945845734198,1
188.222080926251,286.15761161653825,1
188.94755433457368,285.9276094212428,1
189.67516789513846,285.70447004140584,1
190.40481631221724,285.4880771946449,1
191.13639638334652,285.2783076150598,1
191.86980747477236,285.07503231336574,1
192.6049519016665,284.8781177399635,1
193.3417352226225,284.68742684906135,1
194.080066458017,284.50282006411925,1
194.8198582416176,284.3241561466371,1
195.5610269144028,284.15129297168295,1
196.30349256899746,283.9840882145909,1
197.04717905246883,283.82239995399226,1
197.79201393451865,283.66608719681983,1
198.53792844737907,283.51501033118586,1
199.28485740300172,283.3690315131209,1
200.03273909243708,283.2280149931058,1
200.78151517165117,283.09182738816867,1
201.5311305374243,282.9603379050775,1
202.28153319642917,282.83341851986154,1
203.03267413009166,282.71094411856234,1
203.78450715740036,282.5927926037598,1
204.53698879744405,282.47884497105747,1
205.29007813312052,282.36898535935,1
206.0437366771686,282.263101078344,1
206.79792824142652,282.1610826164666,1
207.55261881000655,282.06282363197687,1
208.30777641689784,281.9682209297947,1
209.0633710283587,281.87717442628633,1
209.81937443033576,281.78958710398865,1
210.5757601210452,281.7053649580212,1
211.3325032087675,281.62441693572333,1
212.08958031484107,281.5466548708602,1
212.8469694817865,281.4719934135714,1
213.60465008645176,281.4003499570777,1
214.3626027580376,281.3316445620269,1
215.1208093008382,281.2657998792342,1
215.87925262151586,281.2027410714649,1
216.63791666071762,281.1423957348116,1
217.39678632883445,281.08469382013095,1
218.15584744570106,281.029567554934,1
218.9150866840345,280.9769513660557,1
219.6744915164116,280.9267818033746,1
220.43405016558944,280.878997464802,1
221.19375155797871,280.833538922719,1
221.95358528008575,280.79034865200015,1
222.7135415377467,280.7493709597321,1
223.47361111798443,280.71055191670695,1
224.23378535332685,280.6738392907454,1
224.99405608843327,280.63918248188645,1
225.75441564888354,280.6065324594613,1
226.51485681199273,280.57584170105446,1
227.27537277952143,280.5470641333441,1
228.0359571521599,280.5201550748017,1
228.7966039056714,280.49507118022314,1
229.5573073685865,280.4717703870561,1
230.31806220134823,280.4502118634829,1
231.07886337681262,280.4303559582127,1
231.83970616201657,280.4121641519343,1
232.60058610113023,280.39559901037563,1
233.36149899951653,280.380624138917,1
234.12244090882558,280.36720413870006,1
234.88340811305673,280.35530456417575,1
235.64439711552515,280.34489188203275,1
236.40540462667474,280.3359334314472,1
237.16642755268242,280.3283973855953,1
237.927462984803,280.32225271436937,1
238.68850818940737,280.3174691482394,1
239.4495605986697,280.31401714320106,1
240.21061780186267,280.311867846753,1
240.97167753722243,280.3109930648464,1
241.73273768434782,280.31136522974987,1
242.4937962571005,280.31295736877365,1
243.25485139697554,280.3157430737984,1
244.01590136691337,280.3196964715533,1
244.776944545527,280.32479219459,1
245.5379794217191,280.3310053528974,1
246.29900458966648,280.3383115061063,1
247.06001874415023,280.34668663622836,1
247.82102067621156,280.35610712087896,1
248.5820092691153,280.3665497069305,1
249.3429834946032,280.37799148454343,1
250.1039424094217,280.39040986152304,1
250.86488515210894,280.403782537949,1
251.62581094002735,280.41808748102403,1
252.38671906662915,280.43330290008856,1
253.14760889894274,280.44940722174607,1
253.9084798752688,280.4663790650444,1
254.66933150307634,280.4841972166556,1
