date,x,y,z
1975-01-03,-0.6203068717861906,0.7843592192451304,0.0
1975-01-04,-0.6193940936274102,0.7850802231488697,0.0
1975-01-05,-0.6184782388353509,0.785801926751979,0.0
1975-01-06,-0.6175593044503678,0.7865243197045964,0.0
1975-01-07,-0.6166372880044689,0.787247391257979,0.0
1975-01-08,-0.6157121875407066,0.7879711302540454,0.0
1975-01-09,-0.6147840016332058,0.7886955251146429,0.0
1975-01-10,-0.6138527294078486,0.7894205638305444,0.0
1975-01-11,-0.6129183705636304,0.790146233950162,0.0
1975-01-12,-0.6119809253947184,0.7908725225679699,0.0
1975-01-13,-0.6110403948132257,0.7915994163126304,0.0
1975-01-14,-0.6100967803727295,0.7923269013348149,0.0
1975-01-15,-0.6091500842925505,0.793054963294713,0.0
1975-01-16,-0.6082003094828224,0.7937835873492214,0.0
1975-01-17,-0.6072474595703775,0.7945127581387996,0.0
1975-01-18,-0.6062915389254643,0.7952424597739939,0.0
1975-01-19,-0.6053325526893315,0.7959726758216124,0.0
1975-01-20,-0.6043705068027088,0.796703389290542,0.0
1975-01-21,-0.6034054080351966,0.7974345826172062,0.0
1975-01-22,-0.60243726401561,0.7981662376506452,0.0
1975-01-23,-0.6014660832632963,0.7988983356372132,0.0
1975-01-24,-0.6004918752204593,0.7996308572048832,0.0
1975-01-25,-0.5995146502855202,0.8003637823471464,0.0
1975-01-26,-0.5985344198475513,0.801097090406497,0.0
1975-01-27,-0.5975511963218076,0.8018307600574927,0.0
1975-01-28,-0.5965649931863954,0.8025647692893801,0.0
1975-01-29,-0.5955758250201157,0.8032990953882673,0.0
1975-01-30,-0.5945837075415081,0.8040337149188425,0.0
1975-01-31,-0.5935886576491436,0.8047686037056165,0.0
1975-02-01,-0.5925906934631964,0.8055037368136836,0.0
1975-02-02,-0.5915898343683336,0.8062390885289845,0.0
1975-02-03,-0.5905861010579714,0.8069746323380579,0.0
1975-02-04,-0.5895795155799286,0.807710340907269,0.0
1975-02-05,-0.5885701013835231,0.8084461860615024,0.0
1975-02-06,-0.5875578833681593,0.809182138762299,0.0
1975-02-07,-0.5865428879334463,0.8099181690854284,0.0
1975-02-08,-0.5855251430308972,0.8106542461978765,0.0
1975-02-09,-0.5845046782172464,0.8113903383342405,0.0
1975-02-10,-0.5834815247094508,0.8121264127725034,0.0
1975-02-11,-0.5824557154414088,0.812862435809182,0.0
1975-02-12,-0.5814272851224549,0.8135983727338272,0.0
1975-02-13,-0.5803962702976893,0.8143341878028526,0.0
1975-02-14,-0.5793627094101786,0.8150698442126888,0.0
1975-02-15,-0.5783266428651004,0.8158053040722294,0.0
1975-02-16,-0.5772881130958846,0.8165405283745524,0.0
1975-02-17,-0.5762471646323997,0.8172754769679071,0.0
1975-02-18,-0.5752038441712602,0.8180101085259305,0.0
1975-02-19,-0.5741582006482991,0.8187443805170863,0.0
1975-02-20,-0.5731102853132877,0.8194782491732908,0.0
1975-02-21,-0.5720601518069446,0.8202116694577172,0.0
1975-02-22,-0.5710078562403216,0.8209445950317429,0.0
1975-02-23,-0.569953457276622,0.8216769782210195,0.0
1975-02-24,-0.5688970162155194,0.8224087699806459,0.0
1975-02-25,-0.5678385970800572,0.8231399198594079,0.0
1975-02-26,-0.5667782667061922,0.8238703759630664,0.0
1975-02-27,-0.5657160948350601,0.8246000849166638,0.0
1975-02-28,-0.564652154208041,0.8253289918258164,0.0
1975-03-01,-0.5635865206646984,0.8260570402369678,0.0
1975-03-02,-0.5625192732436716,0.8267841720965705,0.0
1975-03-03,-0.5614504942866043,0.8275103277091639,0.0
1975-03-04,-0.5603802695451932,0.8282354456943126,0.0
