time,omega
0.5667351129363449,100.91203656830454
0.5694729637234771,101.81733734567678
0.5722108145106092,102.61311541368961
0.5749486652977412,103.2963275742458
0.5776865160848734,103.86435883929418
0.5804243668720055,104.31504750730713
0.5831622176591376,104.64670613575566
0.5859000684462696,104.85813803272494
0.5886379192334018,104.94864896570894
0.5913757700205339,104.91805387256662
0.5941136208076659,104.76667844978725
0.5968514715947981,104.4953555894376
0.5995893223819302,104.10541673207582
0.6023271731690623,103.59867829672527
0.6050650239561944,102.97742343901473
0.6078028747433265,102.24437946996873
0.6105407255304586,101.40269134069287
0.6132785763175906,100.45589165865997
3.1293634496919918,-100.48811062484376
3.132101300479124,-101.22967241007133
3.134839151266256,-101.90872107076211
3.137577002053388,-102.52311558149515
3.14031485284052,-103.07087305174986
3.143052703627652,-103.550182151385
3.1457905544147846,-103.95941562014121
3.1485284052019167,-104.29714170536688
3.1512662559890487,-104.56213438279316
3.154004106776181,-104.75338222851185
3.156741957563313,-104.87009582441128
3.159479808350445,-104.9117135986952
3.162217659137577,-104.87790602212847
3.164955509924709,-104.76857810320044
3.167693360711841,-104.58387014744024
3.1704312114989732,-104.32415677106839
3.1731690622861053,-103.99004418175372
3.1759069130732374,-103.58236576423104
3.1786447638603694,-103.1021760305384
3.1813826146475015,-102.5507430163282
3.184120465434634,-101.9295392249598
3.186858316221766,-101.24023123814925
3.189596167008898,-100.48466812726375
6.822724161533197,100.35385922183556
6.825462012320329,105.78167460128606
6.828199863107461,111.43809453828842
6.830937713894593,117.32864906624542
6.833675564681725,123.4580290816136
6.836413415468857,129.82986392574497
6.839151266255989,136.44646644431336
6.841889117043121,143.30854347730042
6.844626967830253,150.4148704063803
6.847364818617385,157.7619293842263
6.850102669404517,165.3435122717489
6.852840520191649,173.15029118141416
6.855578370978781,181.1693619428829
6.8583162217659135,189.38376881578702
6.861054072553046,197.7720223974145
6.863791923340178,206.30762687530833
6.86652977412731,214.95863745212006
6.869267624914442,223.68727371785315
6.872005475701574,232.44961963545137
6.874743326488707,241.19544517283066
6.877481177275839,249.86818784554066
6.880219028062971,258.4051337844191
6.882956878850103,266.7378366002998
6.885694729637235,274.79280744772996
6.888432580424367,282.49250062656256
6.891170431211499,289.75660539244467
6.893908281998631,296.5036364609389
6.896646132785763,302.65279368668587
6.899383983572895,308.12603702663813
6.9021218343600275,312.85029832815155
6.9048596851471595,316.7597294872783
6.907597535934292,319.7978701338081
6.910335386721424,321.9196100876456
6.913073237508556,323.0928245565337
6.915811088295688,323.2995743858109
6.91854893908282,322.5367890698453
6.921286789869952,320.8163845251247
6.924024640657084,318.1648072653864
6.926762491444216,314.62203719963026
6.929500342231348,310.24011824170697
6.93223819301848,305.08131529746754
6.934976043805612,299.2160152115825
6.937713894592744,292.7204966890215
6.940451745379876,285.6746904331232
6.9431895961670085,278.16003749691816
6.945927446954141,270.2575337691843
6.9486652977412735,262.0460246422895
6.951403148528406,253.60078915139786
6.954140999315538,244.99242969301338
6.95687885010267,236.2860635522116
6.959616700889802,227.54079691976767
6.962354551676934,218.80945115820813
6.965092402464066,210.13850456545083
6.967830253251198,201.5682101960313
6.97056810403833,193.1328506518783
6.973305954825462,184.86109331346205
6.976043805612594,176.7764134672241
6.978781656399726,168.8975575269098
6.981519507186858,161.23902351847954
6.98425735797399,153.81154081628347
6.9869952087611225,146.62253553370178
6.9897330595482545,139.6765718367471
6.992470910335387,132.97576271004507
6.995208761122519,126.52014635828039
6.997946611909651,120.30802651436626
7.000684462696783,114.33627650960474
7.003422313483915,108.60060811578225
7.006160164271047,103.09580696556199
9.519507186858316,-102.01477125508296
9.522245037645447,-104.20837782132526
9.52498288843258,-106.392467054573
9.527720739219713,-108.56194818886301
9.530458590006845,-110.7114323390059
9.533196440793978,-112.83524209159282
9.535934291581109,-114.92742487086
9.538672142368242,-116.98177033267335
9.541409993155373,-118.99183200407339
9.544147843942506,-120.95095332658991
9.546885694729637,-122.85229820579958
9.54962354551677,-124.688886085425
9.552361396303901,-126.45363148854955
9.555099247091034,-128.13938786284245
9.557837097878165,-129.7389954745281
9.560574948665298,-131.245332976235
9.56331279945243,-132.65137217386436
9.566050650239562,-133.95023539575072
9.568788501026694,-135.13525477311399
9.571526351813826,-136.20003263066224
9.574264202600958,-137.13850211386892
9.57700205338809,-137.94498709886804
9.579739904175222,-138.6142603950512
9.582477754962355,-139.1415992154805
9.585215605749486,-139.52283690362418
9.587953456536619,-139.75440992654475
9.59069130732375,-139.833399213936
9.593429158110883,-139.7575650011233
9.596167008898014,-139.52537446038167
9.598904859685147,-139.13602153152829
9.60164271047228,-138.5894385329161
9.604380561259411,-137.8862992961223
9.607118412046544,-137.02801375598406
9.609856262833675,-136.01671410963908
9.612594113620808,-134.85523283351066
9.61533196440794,-133.54707302606593
9.618069815195073,-132.096371687454
9.620807665982204,-130.5078566912821
9.623545516769337,-128.7867983031922
9.626283367556468,-126.93895619236781
9.6290212183436,-124.97052292613171
9.631759069130732,-122.88806497202626
9.634496919917865,-120.69846221857057
9.637234770704996,-118.4088470061346
9.639972621492129,-116.0265435970229
9.64271047227926,-113.55900895117279
9.645448323066393,-111.0137755756947
9.648186173853524,-108.39839712635002
9.650924024640657,-105.72039732235767
9.653661875427789,-102.98722263359325
9.656399726214921,-100.20619908010107
15.260780287474333,-101.42188271784262
15.263518138261464,-103.11377627559538
15.266255989048597,-104.77954190197887
15.268993839835728,-106.41559359773618
15.271731690622861,-108.01826944025595
15.274469541409994,-109.58384551086257
15.277207392197125,-111.10855124927713
15.279945242984258,-112.58858618802397
15.28268309377139,-114.02013799275917
15.285420944558522,-115.3994017069854
15.288158795345653,-116.72260007963622
15.290896646132786,-117.98600482012817
15.293634496919918,-119.1859586088786
15.29637234770705,-120.31889765801465
15.299110198494182,-121.38137460442945
15.301848049281315,-122.37008148819874
15.304585900068446,-123.28187256293414
15.307323750855579,-124.11378666292725
15.31006160164271,-124.86306885421153
15.312799452429843,-125.52719108457177
15.315537303216974,-126.1038715601864
15.318275154004107,-126.59109257582253
15.321013004791238,-126.98711654982817
15.323750855578371,-127.29050002518441
15.326488706365502,-127.50010543396
15.329226557152635,-127.61511044176794
15.331964407939767,-127.63501473562843
15.3347022587269,-127.55964414401242
15.33744010951403,-127.38915203128977
15.340177960301164,-127.12401793946964
15.342915811088295,-126.765043503654
15.345653661875428,-126.3133456998454
15.34839151266256,-125.77034753484054
15.351129363449692,-125.13776631606295
15.353867214236825,-124.41759968181185
15.356605065023956,-123.6121095996685
15.359342915811089,-122.72380456379035
15.36208076659822,-121.75542024917219
15.364818617385353,-120.70989888577472
15.367556468172484,-119.59036763524229
15.370294318959617,-118.40011624443737
15.373032169746748,-117.14257425924848
15.375770020533881,-115.82128806376744
15.378507871321013,-114.43989800779075
15.381245722108146,-113.00211586050618
15.383983572895277,-111.51170281746836
15.38672142368241,-109.97244825698277
15.38945927446954,-108.38814942721056
15.392197125256674,-106.76259221042514
15.394934976043805,-105.09953309462271
15.397672826830938,-103.40268244699465
15.40041067761807,-101.67568916801423
17.38261464750171,100.59696095084531
17.385352498288842,101.46368236863144
17.388090349075977,102.34620211673571
17.39082819986311,103.24480497144225
17.39356605065024,104.15977337361745
17.39630390143737,105.09138671731823
17.399041752224505,106.03992057678697
17.401779603011637,107.00564587274151
17.404517453798768,107.98882797025793
17.4072553045859,108.9897257093646
17.409993155373034,110.00859035993179
17.412731006160165,111.04566450045827
17.415468856947296,112.10118081366946
17.418206707734427,113.17536079889089
17.420944558521562,114.26841339366516
17.423682409308693,115.38053350369607
17.426420260095824,116.5119004335606
17.429158110882955,117.66267622016775
17.43189596167009,118.83300385972794
17.43463381245722,120.0230054295398
17.437371663244353,121.23278009718338
17.440109514031484,122.46240202026716
17.44284736481862,123.71191812893906
17.44558521560575,124.981345794091
17.44832306639288,126.27067037572691
17.451060917180012,127.57984265732908
17.453798767967147,128.90877616081082
17.456536618754278,130.25734434849707
17.45927446954141,131.62537771020638
17.462012320328544,133.01266074524156
17.464750171115675,134.41892884016613
17.467488021902806,135.84386504929265
17.470225872689937,137.28709679142096
17.472963723477072,138.748192467445
17.475701574264203,140.22665801648077
17.478439425051334,141.72193342054862
17.481177275838466,143.23338918138091
17.4839151266256,144.76032278330624
17.48665297741273,146.30195516954208
17.489390828199863,147.85742725244612
17.492128678986994,149.42579649314314
17.49486652977413,151.0060335753253
17.49760438056126,152.5970192129349
17.50034223134839,154.19754112508286
17.503080082135522,155.80629122535157
17.505817932922657,157.42186306332718
17.508555783709788,159.04274957040343
17.51129363449692,160.6673411543978
17.51403148528405,162.2939242020028
17.516769336071185,163.92068003611666
17.519507186858316,165.54568438978583
17.522245037645447,167.16690744683743
17.52498288843258,168.78221451464174
17.527720739219713,170.38936737724018
17.530458590006845,171.98602639041363
17.533196440793976,173.56975336495097
17.53593429158111,175.1380152954744
17.53867214236824,176.6881889734675
17.541409993155373,178.21756652287993
17.544147843942504,179.72336189714585
17.54688569472964,181.20271835231964
17.54962354551677,182.65271691681397
17.5523613963039,184.07038585384814
17.555099247091032,185.452711114662
17.557837097878167,186.7966477520674
17.560574948665298,188.0991322625412
17.56331279945243,189.35709579846753
17.56605065023956,190.56747819074417
17.568788501026695,191.72724268906848
17.571526351813826,192.83339132722273
17.574264202600958,193.88298079083395
17.57700205338809,194.873138666941
17.579739904175224,195.801079922661
17.582477754962355,196.66412346480317
17.585215605749486,197.459708607558
17.587953456536617,198.1854112841537
17.590691307323752,198.83895981479643
17.593429158110883,199.41825005721967
17.596167008898014,199.92135975207754
17.598904859685145,200.34656189754702
17.60164271047228,200.6923369738167
17.60438056125941,200.95738386784637
17.607118412046542,201.14062934664938
17.609856262833677,201.2412359610836
17.61259411362081,201.25860826535802
17.61533196440794,201.19239726667982
17.61806981519507,201.04250305056
17.620807665982205,200.80907553621105
17.623545516769337,200.49251335825744
17.626283367556468,200.09346088402705
17.6290212183436,199.61280341638408
