theta1,theta2,omega1,omega2,state
87.1150091608903,-0.030301651708259606,-21.16059599043431,-3.7248875766401954,1
87.05713373273329,-0.040614489419455294,-21.13900013434578,-3.7667639740142245,1
86.99931578151522,-0.05104279513632179,-21.118006682399944,-3.8089386630854882,1
86.94155366662709,-0.061587398478545365,-21.097612462891266,-3.851416370747162,1
86.88384575636647,-0.07224914204102466,-21.077814222690613,-3.89420183619556,1
86.82619042817777,-0.08302888142231893,-21.058608620923263,-3.9372998090177354,1
86.76858606890826,-0.09392748524746809,-21.039992223186456,-3.9807150471357304,1
86.71103107508407,-0.10494583518425016,-21.021961494288202,-4.024452314409648,1
86.65352385320334,-0.11608482595320882,-21.004512791935348,-4.068516378362155,1
86.59606282004822,-0.12734536533064242,-20.987642359908044,-4.11291200760762,1
86.53864640301802,-0.13872837414375944,-20.971346320279427,-4.157643968990989,1
86.4812730404819,-0.15023478625803088,-20.955620666319895,-4.202717024737644,1
86.42394118215483,-0.16186554855539953,-20.94046125395891,-4.248135929113907,1
86.36664928949543,-0.1736216209034801,-20.92586379384841,-4.293905425136426,1
86.30939583612727,-0.1855039761148004,-20.911823842721123,-4.340030240934739,1
86.25217930828404,-0.1975135998956691,-20.898336794737457,-4.386515085962291,1
86.19499820528091,-0.20965149078353276,-20.88539787189369,-4.4333646467921985,1
86.13785104001181,-0.2219186600725387,-20.873002114538853,-4.480583582809412,1
86.08073633947367,-0.23431613172661728,-20.861144371554317,-4.528176521652214,1
86.0236526453178,-0.2468449422793661,-20.849819290434468,-4.5761480543915045,1
85.9665985144326,-0.25950614071901495,-20.83902130581619,-4.624502730081743,1
85.90957251955625,-0.2723007883585833,-20.82874462858869,-4.673245050352344,1
85.85257324992013,-0.2852299586901263,-20.818983234593702,-4.722379463596068,1
85.79559931192591,-0.29829473722192207,-20.809730852387037,-4.771910358738416,1
85.73864932985542,-0.3114962212979637,-20.800980951247123,-4.821842058774202,1
85.68172194661703,-0.32483551989814796,-20.792726727821453,-4.872178813717302,1
85.62481582452683,-0.33831375341903347,-20.784961093444565,-4.922924793503442,1
85.5679296461277,-0.3519320534333933,-20.77767666028562,-4.974084080244909,1
85.51106211504722,-0.3656915624276668,-20.77086572714197,-5.025660660158417,1
85.45421195689438,-0.37959343351626734,-20.764520265325075,-5.077658415111327,1
85.39737792020055,-0.39363883013048856,-20.758631902420973,-5.1300811133443105,1
85.34055877740087,-0.4078289256823309,-20.753191907583883,-5.182932400310408,1
85.2837533258602,-0.4221649032009055,-20.74819117522926,-5.236215788659373,1
85.22696038894331,-0.43664795494065256,-20.743620208894935,-5.289934647942627,1
85.17017881713282,-0.45127928195926015,-20.739469103781264,-5.344092193546405,1
85.11340748919554,-0.4660600936640694,-20.735727529092987,-5.3986914751815975,1
85.05664531339715,-0.4809916073258753,-20.73238471035931,-5.4537353649745866,1
84.99989122876877,-0.4960750475579379,-20.72942941051602,-5.509226544760875,1
84.94314420642431,-0.5113116457592882,-20.726849911316712,-5.565167493043214,1
84.88640325093156,-0.5267026395202229,-20.724633993724055,-5.621560471181371,1
84.82966740173798,-0.5422492719884671,-20.722768917957445,-5.678407509026195,1
84.77293573465126,-0.5579527911943825,-20.721241403425456,-5.735710389960581,1
84.7162073633787,-0.5738144493328527,-20.72003760730093,-5.793470635076286,1
84.65948144112481,-0.5898355020005376,-20.719143103233144,-5.851689486871897,1
84.60275716224719,-0.6060172073868019,-20.718542860052246,-5.910367892333044,1
84.54603376397468,-0.6223608254157089,-20.71822121903409,-5.969506485058251,1
84.48931052818587,-0.6388676168381305,-20.71816187186245,-6.029105567039508,1
84.4325867832498,-0.6555388422715827,-20.71834783789767,-6.089165089568399,1
84.37586190593079,-0.6723757611855758,-20.718761440769537,-6.149684633336027,1
84.3191353233554,-0.6893796308313568,-20.71938428566253,-6.210663388121499,1
84.26240651504614,-0.7065517051127351,-20.720197234956753,-6.27210013127339,1
84.20567501501904,-0.7238932333972671,-20.7211803848976,-6.3339932059253075,1
84.14894041394548,-0.7414054592655922,-20.722313042116976,-6.396340498405766,1
84.09220236138094,-0.7590896191961634,-20.723573699198443,-6.459139414641127,1
84.03546056805892,-0.7769469411841372,-20.724940010867282,-6.522386856107462,1
83.97871480824833,-0.7949786432930163,-20.726388770820037,-6.586079195268022,1
83.92196492217622,-0.8131859321361501,-20.727895887838812,-6.650212249954644,1
83.865210818514,-0.8315700012870759,-20.72943636262391,-6.714781257375673,1
83.80845247692517,-0.8501320296170928,-20.730984265321002,-6.77978084753867,1
83.75168995067581,-0.8688731795574606,-20.732512712577996,-6.845205015719352,1
83.69492336930323,-0.8877945952860653,-20.733993846336606,-6.9110470948728215,1
83.63815294134301,-0.9068974008361723,-20.73539881246923,-6.977299727176602,1
83.58137895710918,-0.9261826981272031,-20.736697741405866,-7.043954835549011,1
83.52460179152772,-0.945651564915207,-20.737859728630237,-7.111003594318424,1
83.46782190701913,-0.965305052662868,-20.738852816760893,-7.1784363998331475,1
83.41103985642566,-0.9851441843282874,-20.739643979264624,-7.24624284079445,1
83.35425628598018,-1.0051699520719488,-20.740199105209825,-7.314411668372335,1
83.29747193831078,-1.0253833148820621,-20.740482986250782,-7.3829307663939066,1
83.24068765547837,-1.0457851961174425,-20.740459304537914,-7.451787121222684,1
83.18390438203744,-1.0663764809700866,-20.74009062429876,-7.52096679242822,1
83.12712316811675,-1.0871580138468175,-20.739338384530775,-7.590454883225978,1
83.07034517251137,-1.1081305956718475,-20.7381628948676,-7.660235511592195,1
83.01357166577985,-1.1292949811112263,-20.736523333686602,-7.73029178173313,1
82.95680403333598,-1.1506518757220916,-20.73437775012176,-7.800605756618573,1
82.90004377852877,-1.1722019330280131,-20.731683068335446,-7.871158430987772,1
82.84329252569871,-1.1939457515244156,-20.728395096177266,-7.94192970581103,1
82.78655202320014,-1.2158838716173466,-20.724468537602853,-8.012898363943044,1
82.72982414637967,-1.2380167724992301,-20.719857008678325,-8.084042047107994,1
82.67311090049766,-1.2603448689666856,-20.714513058403583,-8.155337234738132,1
82.6164144235818,-1.282868508184944,-20.708388193517777,-8.226759224468813,1
