date,drift_mas_per_year,direction_deg,parallel_mas_per_year
1978-01-01,4.762284567052539,146.92287876251507,-3.543353138994292
1978-01-02,4.73380545015871,146.99359137446302,-3.5182572969050754
1978-01-03,4.705414064988245,147.07121435493696,-3.492888019379606
1978-01-04,4.677114359973526,147.15582231430952,-3.4672491912937655
1978-01-05,4.6489111023137175,147.24748605887396,-3.4413454158524286
1978-01-06,4.620809520823868,147.34627920489925,-3.415181378723477
1978-01-07,4.5928159012049,147.45227799985807,-3.388762293254274
1978-01-08,4.564936818995296,147.56556485009222,-3.3620931367190225
1978-01-09,4.537179672679859,147.68621785100774,-3.335179603015466
1978-01-10,4.509552227073863,147.81431175925678,-3.3080276989559008
1978-01-11,4.482063900659599,147.94992309307142,-3.2806444018466334
1978-01-12,4.454725400980277,148.0931293688513,-3.253037414446181
1978-01-13,4.427549685014462,148.24400893888506,-3.2252158537605586
1978-01-14,4.400551055279231,148.4026432485294,-3.19718944443675
1978-01-15,4.373745530449843,148.56911687323813,-3.1689687617787454
1978-01-16,4.347150117192265,148.7435162354042,-3.1405647428828085
1978-01-17,4.320782644779259,148.92593290816276,-3.1119883682691736
1978-01-18,4.294661660851645,149.1164572632408,-3.0832508940156957
1978-01-19,4.268805474361773,149.31517799467866,-3.0543631619815406
1978-01-20,4.243233617319473,149.52217017414682,-3.025337242668886
1978-01-21,4.217965539689691,149.73750204948044,-2.996185110230468
1978-01-22,4.1930212184443,149.9612289436446,-2.9669193637524924
1978-01-23,4.168420612542399,150.19339597397737,-2.9375526663056206
1978-01-24,4.144183389268735,150.4340483716695,-2.9080969939900876
1978-01-25,4.120327987985195,150.68322644984886,-2.8785632225103126
1978-01-26,4.096872624074885,150.94097327471036,-2.8489614260337355
1978-01-27,4.073834693976207,151.20734032399233,-2.8193001575621306
1978-01-28,4.051230598346607,151.48237815678613,-2.7895867991718215
1978-01-29,4.029076628918509,151.76613778083745,-2.7598280939405493
1978-01-30,4.007388524408903,152.0586775644432,-2.730029468992238
1978-01-31,3.986181716035345,152.36006229306926,-2.7001952383239876
1978-02-01,3.9654715069267517,152.67035357545694,-2.6703291970729213
1978-02-02,3.9452722768279043,152.98959550160512,-2.6404348006863785
1978-02-03,3.925598345203277,153.31780462918314,-2.6105162463417986
1978-02-04,3.906463122962607,153.65498204301045,-2.5805772759405374
1978-02-05,3.8878798934520833,154.00110000905497,-2.5506223738122302
1978-02-06,3.8698611055392886,154.35610457476156,-2.520656162559112
1978-02-07,3.8524181178354864,154.71992182970735,-2.49068292656625
1978-02-08,3.835561948817405,155.09244434228611,-2.4607078095084307
1978-02-09,3.819302489806051,155.47353645655363,-2.430736050975359
1978-02-10,3.8036486825510867,155.8630385601869,-2.400772912565284
1978-02-11,3.7886084714217882,156.26076715400364,-2.370823677653376
1978-02-12,3.77419030553073,156.66653606710034,-2.3408935265034714
1978-02-13,3.7604033760001307,157.0801605308662,-2.310987462272947
1978-02-14,3.7472572473683288,157.50147086323705,-2.2811093575199552
1978-02-15,3.7347626681340977,157.93030377759192,-2.2512628763791267
1978-02-16,3.7229308602512683,158.3664892334382,-2.221451695817473
1978-02-17,3.7117734791033388,158.80984448798824,-2.191679780609354
1978-02-18,3.701302132007408,159.26017104991453,-2.161951255188626
1978-02-19,3.69152819610535,159.71725373603147,-2.1322703605398474
1978-02-20,3.6824628740444862,160.180872131918,-2.102640903086865
1978-02-21,3.6741166809127166,160.6507925892469,-2.073066401630352
1978-02-22,3.6664996268673855,161.1267752703726,-2.043549854192692
1978-02-23,3.65962209731268,161.6085738416701,-2.014094268337301
1978-02-24,3.653494373116277,162.09592489815495,-1.9847029674994052
1978-02-25,3.648126654956668,162.58855389387563,-1.955379315679872
1978-02-26,3.6435294550677866,163.08617199881104,-1.9261271202664823
1978-02-27,3.6397125477992542,163.5884849162548,-1.89694962464956
1978-02-28,3.6366856658092415,164.09518341276964,-1.8678504303868795
1978-03-01,3.634457457317679,164.60595276297724,-1.8388324899063555
1978-03-02,3.6330358088006043,165.12046458106795,-1.8098987845697683
1978-03-03,3.632427533149686,165.63838471908073,-1.7810518053928563
1978-03-04,3.632638877142604,166.15936318860608,-1.7522944327404841
1978-03-05,3.6336755784702657,166.68300617184158,-1.723631598744433
1978-03-06,3.6355425827318126,167.2088765182705,-1.6950702440967578
1978-03-07,3.638243989560245,167.73649008039183,-1.666619635298743
1978-03-08,3.6417832103185637,168.2653076868813,-1.6382920421914204
1978-03-09,3.6461629691232207,168.79476365189058,-1.610101276311043
1978-03-10,3.651385321487077,169.32427290233198,-1.5820624155424894
1978-03-11,3.6574522227168327,169.8532212269631,-1.554192726354163
1978-03-12,3.6643654086473565,170.3809691136867,-1.5265115052116234
1978-03-13,3.6721259122830756,170.90685996646397,-1.49903951694914
1978-03-14,3.680734357638146,171.43022007539741,-1.471799238981276
1978-03-15,3.6901906949068795,171.95036489133267,-1.4448145009513753
1978-03-16,3.700494468577059,172.46660394156373,-1.4181104104644398
1978-03-17,3.711644082714942,172.9782486384617,-1.3917127052177891
1978-03-18,3.7236366028760113,173.48461889792776,-1.3656473916047838
1978-03-19,3.7364681142400786,173.98506836814846,-1.3399394418587023
1978-03-20,3.7501332928313316,174.47898980246038,-1.314612348551731
1978-03-21,3.764626155227186,174.96581958427228,-1.2896881362842378
1978-03-22,3.7799394104041517,175.44502723307514,-1.2651877848861555
1978-03-23,3.7960649947408043,175.9161267735735,-1.2411307221342096
1978-03-24,3.8129945500275184,176.378669868904,-1.2175353861872396
1978-03-25,3.8307188371313767,176.83225260483428,-1.1944185791161528
1978-03-26,3.849228178692253,177.27651574985762,-1.1717955524482935
1978-03-27,3.8685122423558913,177.7111441891011,-1.149679922372486
1978-03-28,3.8885603128382478,178.13586663722353,-1.128083712656602
1978-03-29,3.9093612269718294,178.5504573531314,-1.1070171533706563
1978-03-30,3.930902829476876,178.95472800477106,-1.0864889874617005
1978-03-31,3.953172053257573,179.34852965989316,-1.0665063122203589
1978-04-01,3.9761550000955714,179.7317616483831,-1.0470739441409447
1978-04-02,3.9998363808732362,180.1043540373754,-1.028195361304859
1978-04-03,4.024200566368917,180.46627882748353,-1.0098721646441144
1978-04-04,4.049231496487963,180.81754400671394,-0.9921043532537817
1978-04-05,4.074912732474705,181.15818541920552,-0.9748908010279729
1978-04-06,4.101226672956856,181.4882637247509,-0.9582292028257531
1978-04-07,4.128155713273853,181.8078517759087,-0.9421171674232403
1978-04-08,4.155681930716133,182.11703624029755,-0.9265519741555691
1978-04-09,4.183787417357619,182.4159143895586,-0.9115308175529814
1978-04-10,4.212453439767224,182.70458711710552,-0.8970510716775565
1978-04-11,4.241660785223935,182.98316506322794,-0.8831098991653381
1978-04-12,4.2713894456240755,183.25177041585317,-0.8697040075946114
1978-04-13,4.301619320630602,183.51054447691752,-0.8568291846091606
1978-04-14,4.332329339206799,183.7596320276018,-0.8444811977431526
1978-04-15,4.363498245241442,183.99920621184873,-0.8326540585835002
1978-04-16,4.395104305891956,184.22943939309144,-0.8213420464781633
1978-04-17,4.427125082602743,184.45052218899642,-0.8105381942917812
1978-04-18,4.459538524394371,184.66265070231196,-0.8002353816702313
1978-04-19,4.492322169611519,184.86603075628688,-0.7904258049762285
1978-04-20,4.525454205039796,185.06086336824478,-0.7811022291635653
1978-04-21,4.558912820609751,185.24734914883228,-0.7722574999042383
1978-04-22,4.592676539202434,185.42568948817103,-0.7638844698607771
1978-04-23,4.626724680537633,185.59608337707724,-0.7559762853271976
1978-04-24,4.661037182907551,185.7587271182701,-0.7485263435026028
1978-04-25,4.695595209774579,185.9138090950244,-0.7415287802815812
