s,x,y,theta,curvature
0.0,9.408568938328,247.6684320917733,2.2386333090345834,-0.28582952655645255
102.47550218666377,9.287546401584503,247.8310490139094,2.1834535536285467,-0.2588276266294988
207.7547244423722,9.17234294369743,248.00436935307317,2.1322862790039956,-0.2332318075936193
316.01882153647153,9.06283204974297,248.1881381150825,2.084977640381236,-0.20945724927581322
427.411967123171,8.958887204797328,248.38210030575542,2.041323652549107,-0.18770883796530752
542.0452706621497,8.86038189393669,248.58600093090973,2.0010914854316435,-0.1680378473046447
660.0005380938427,8.767189602237252,248.79958499636345,1.9640356986876273,-0.15039172053730798
781.3337678768464,8.679183814775207,249.02259750793436,1.9299099317579163,-0.13465367980199672
906.0783276890977,8.596238016626753,249.25478347144056,1.8984748436370225,-0.12067202419847285
1034.2477942138266,8.518225692868079,249.49588789269978,1.8695031396100474,-0.1082805119187701
1165.8384622729445,8.44502032857538,249.74565577753006,1.8427824411615166,-0.0973117226218008
1300.8315435897973,8.376495408824855,250.00383213174928,1.8181166245252327,-0.0876052413943719
1439.1950826555214,8.312524418692693,250.27016196117546,1.7953261158248075,-0.07901221294185808
1580.8856198794674,8.252980843255092,250.54439027162633,1.7742475074641744,-0.07139746409527235
1725.8496321319,8.197738167588243,250.82626206891996,1.7547327590637736,-0.06464007050077386
1874.0247791187937,8.146669876768339,251.1155223588742,1.7366481673782157,-0.05863298091520565
2025.3409815469054,8.09964945587158,251.411916147307,1.719873230618351,-0.05328211347822878
2179.7213542385953,8.056550389974158,251.7151884400363,1.704299489728698,-0.04850519444604775
2337.083014539132,8.017246164152265,252.02508424287996,1.689829398776228,-0.04423050952668639
2497.3377836927993,7.9816102634820965,252.34134856165593,1.6763752555250893,-0.040395670001171564
2660.392796432589,7.949516173039846,252.66372640218214,1.6638582089654026,-0.03694645100381783
2826.1510318644,7.920837377901711,252.99196277027664,1.6522073510865138,-0.03383573057593483
2994.511776832692,7.895447363143881,253.32580267175706,1.6413588940897457,-0.03102254021740382
3165.3710313157585,7.8732196138425525,253.6649911124415,1.6312554304720333,-0.028471226975598157
3338.621863992177,7.854027615073917,254.00927309814784,1.6218452712295828,-0.026150721104129956
3514.1547249193673,7.837744851914173,254.35839363469404,1.6130818563018852,-0.02403390028625626
3691.8577212443256,7.82424480943951,254.71209772789794,1.6049232309339276,-0.022097040213723416
3871.616861000705,7.813400972726127,255.07013038357755,1.597331581626225,-0.02031934119856294
4053.316269313103,7.805086826850216,255.43223660755075,1.5902728255973066,-0.018682520995268615
4236.838380708911,7.79917585688797,255.7981614056355,1.5837162480871747,-0.01717046482276448
4422.064110713146,7.795541547915587,256.16764978364967,1.5776341823078652,-0.01576892451445844
4608.873009457575,7.794057385009259,256.54044674741124,1.5720017273503046,-0.014465259680484503
4797.1433996596725,7.794596853245178,256.916297302738,1.5667964998552042,-0.013248214677012262
4986.752501008734,7.797033437699539,257.2949464554479,1.5619984157320888,-0.012107726011414065
5177.576542727075,7.801240623448538,257.676139211359,1.5575894986551684,-0.011034755555742844
5369.490865846019,7.807091895568369,258.05962057628915,1.5535537124734762,-0.010021145591915382
5562.370016543079,7.814460739135222,258.44513555605613,1.549876815044673,-0.009059492273855553
5756.087831723214,7.8232206392252985,258.8324291564781,1.5465462313385205,-0.008143034571368212
5950.517517888764,7.833245080914787,259.2212463833728,1.5435509439597863,-0.007265556165679642
