date,vx,vy,zach_75W_parallel,zach_75W_perp,adhikari_100W_parallel,adhikari_100W_perp,observed_326_parallel,observed_326_perp,v_mag,direction_deg
1973-01-13,-683.200125,-422.04637500000126,584.4906974706049,-550.6870054949391,534.270998918768,-599.5331960492255,-330.39323536374695,-731.932963785983,803.0476657401211,211.70566836708616
1973-01-14,-693.7923749999986,-409.81049999999993,575.4132258313457,-564.0852108119423,524.0603392637707,-612.0892633669782,-346.0168230593978,-727.7120747096822,805.7868859185961,210.56957170796184
1973-01-15,-705.6629999999982,-396.2962500000003,565.431806560689,-579.0490993539112,512.8127134866434,-626.1262717851137,-363.415089889838,-723.1462229545427,809.3274907804999,209.31831401743344
1973-01-16,-718.8120000000013,-381.6862500000006,554.7228418626598,-595.5314042927369,500.7079721032782,-641.6125088051881,-382.4859132510743,-718.3868115072524,813.8642913797513,207.96812039905456
1973-01-17,-733.0567500000018,-366.1631249999992,543.4154671131693,-613.3084565962761,487.8942531311203,-658.3364114128555,-402.9757675524182,-713.483120750498,819.4190825397772,206.54220824815238
1973-01-18,-747.8493749999998,-350.6400000000003,532.249892848016,-631.6147155118902,475.17567165430376,-675.5998655682014,-423.9198308138222,-708.8857978057333,825.9703973435674,205.12021174231432
1973-01-19,-762.2767499999986,-334.9342500000006,520.8133827226125,-649.6154368475651,462.2138146646997,-692.5353311902071,-444.6632107058481,-703.9328266662878,832.6144338249387,203.72004691998157
1973-01-20,-775.7910000000008,-319.22849999999823,509.14053845664796,-666.7341471631138,449.0933951828616,-708.5715442327473,-464.6495756644389,-698.4692425068602,838.9031594250018,202.36656621322453
1973-01-21,-787.8442499999987,-303.3401250000002,496.9131573617657,-682.4889066745608,435.5394251975618,-723.2006656465782,-483.52683933351716,-692.0372745287752,844.2237817623218,201.05797793446794
1973-01-22,-797.7059999999991,-287.2691250000014,483.94217212551507,-696.1741065658097,421.4250547150107,-735.7032933681317,-500.6893897663399,-684.228432316047,847.8551837514854,199.80491448070282
1973-01-23,-805.924125000002,-271.38074999999816,470.7221876402803,-708.2244197927159,407.20512226233166,-746.5555539481974,-516.3871907149801,-675.6518896540373,850.3888561873212,198.61004573644271
1973-01-24,-813.0464999999997,-256.22287499999845,457.92421100248066,-719.0272524830125,393.5143168825522,-756.2018614391084,-530.7680833275012,-667.0682233148009,852.4639422494738,197.49168596284733
1973-01-25,-819.2557500000007,-241.97812500000052,445.7719112442545,-728.7117400126225,380.5642015900121,-764.7903538583212,-543.8813479866033,-658.7309588890255,854.244342613154,196.45520921661387
1973-01-26,-824.3692499999993,-228.28125,433.86521712943227,-737.196013833739,367.96336285447205,-772.2046056868295,-555.7798269135885,-650.2351677993321,855.3928860162,195.4782754305919
1973-01-27,-828.0217499999985,-215.68012499999952,422.63880161387175,-743.9854690539767,356.187927226724,-777.9897783975091,-565.8543463230932,-641.8308137977955,855.6505915343456,194.59978061482673
1973-01-28,-829.848000000002,-203.80949999999993,411.64532663329885,-748.8218349215106,344.8147686780887,-781.8495959554685,-574.006345449737,-633.0108457030501,854.509224873701,193.79865088613687
1973-01-29,-830.2132500000012,-192.3041250000021,400.62652143588383,-752.1524495006076,333.5476111736707,-784.2071843893797,-580.7428754748805,-623.6767027497086,852.1941779709487,193.0415526240565
1973-01-30,-829.1174999999972,-180.79875000000166,389.22958161357076,-754.0718464474942,322.0267536816782,-785.1259686961374,-586.2681816065201,-613.5255789643925,848.6012118821234,192.3014446981611
1973-01-31,-826.3781249999997,-168.92812499999948,377.0544359301989,-754.4981572143765,309.86078267187963,-784.4895233567499,-590.6351060659678,-602.1525457697358,843.4675553300972,191.55322519228503
