date,filtered_drift_mas_per_year,direction_deg,parallel_mas_per_year
1975-07-03,9.052664535756042,210.71204897894134,2.451487706079629
1975-07-04,9.009373800548069,210.6658237349403,2.4327666425179495
1975-07-05,8.966217242424474,210.61977406301622,2.4141738407874955
1975-07-06,8.923195048642098,210.57390321895335,2.3957091909706487
1975-07-07,8.880307403237225,210.52821449351822,2.3773725796166
1975-07-08,8.837554487029488,210.48271121277412,2.3591638897510134
1975-07-09,8.79493647762615,210.43739673839715,2.3410830008859143
1975-07-10,8.752453549426697,210.3922744679939,2.323129789029819
1975-07-11,8.71010587362779,210.3473478354209,2.3053041266981316
1975-07-12,8.667893618228518,210.30262031110541,2.2876058829237236
1975-07-13,8.625816948036029,210.2580954023682,2.270034923267813
1975-07-14,8.58387602467147,210.21377665374763,2.252591109831066
1975-07-15,8.542071006576286,210.16966764732513,2.235274301264907
1975-07-16,8.50040204901886,210.1257720030525,2.2180843527831016
1975-07-17,8.45886930410149,210.08209337908042,2.2010211161735604
1975-07-18,8.417472920767755,210.03863547208823,2.1840844398103694
1975-07-19,8.37621304481016,209.9954020176154,2.1672741686660637
1975-07-20,8.335089818878197,209.95239679039403,2.1505901443241324
1975-07-21,8.294103382486728,209.90962360468276,2.1340322049917564
1975-07-22,8.253253872024727,209.8670863146017,2.117600185512753
1975-07-23,8.212541420764396,209.82478881446866,2.1012939173807914
1975-07-24,8.17196615887061,209.7827350391365,2.085113228752787
1975-07-25,8.131528213410748,209.7409289643313,2.0690579444625468
1975-07-26,8.091227708364867,209.69937460699182,2.0531278860346514
1975-07-27,8.051064764636267,209.6580760256096,2.0373228716985206
1975-07-28,8.01103950006238,209.61703732057003,2.0216427164027335
1975-07-29,7.971152029426064,209.57626263449413,2.0060872318295484
1975-07-30,7.931402464467241,209.53575615258103,1.9906562264096537
1975-07-31,7.891790913894902,209.49552210295138,1.9753495053371242
1975-08-01,7.852317483399524,209.45556475699067,1.9601668705845896
1975-08-02,7.81298227566578,209.41588842969375,1.945108120918637
1975-08-03,7.773785390385711,209.3764974800091,1.9301730519153895
1975-08-04,7.734726924272202,209.33739631118394,1.9153614559763223
1975-08-05,7.69580697107287,209.29858937110907,1.9006731223442834
1975-08-06,7.657025621584332,209.26008115266424,1.8861078371196878
1975-08-07,7.618382963666815,209.22187619406319,1.871665383276977
1975-08-08,7.57987908225918,209.18397907919888,1.8573455406812114
1975-08-09,7.541514059394318,209.1463944379883,1.8431480861049068
1975-08-10,7.503287974214909,209.10912694671708,1.8290727932450581
1975-08-11,7.465200902989581,209.0721813283839,1.8151194327403588
1975-08-12,7.42725291912945,209.0355623530438,1.8012877721886111
1975-08-13,7.389444093205029,208.99927483815142,1.7875775761643224
1975-08-14,7.3517744929635285,208.96332364890324,1.7739886062365107
1975-08-15,7.314244183346552,208.92771369857866,1.7605206209866813
1975-08-16,7.276853226508162,208.8924499488805,1.7471733760269927
1975-08-17,7.239601681833316,208.85753741027395,1.7339466240186177
1975-08-18,7.202489605956749,208.82298114232418,1.7208401146902512
1975-08-19,7.165517052782154,208.7887862540328,1.7078535948568554
1975-08-20,7.128684073501823,208.7549579041724,1.694986808438529
1975-08-21,7.091990716616642,208.72150130161896,1.6822394964795633
1975-08-22,7.055437027956465,208.6884217056832,1.6696113971676991
1975-08-23,7.019023050700908,208.6557244264388,1.657102245853517
1975-08-24,6.982748825400485,208.62341482504894,1.644711775070019
1975-08-25,6.946614389998169,208.59149831409002,1.632439714552368
1975-08-26,6.910619779851319,208.55998035787266,1.6202857912577815
1975-08-27,6.874765027754005,208.52886647276,1.6082497293856095
1975-08-28,6.83905016395969,208.49816222748282,1.5963312503975493
1975-08-29,6.803475216204353,208.46787324345118,1.5845300730380216
1975-08-30,6.768040209729935,208.4380051950626,1.572845913354708
1975-08-31,6.732745167308212,208.40856381000654,1.5612784847192265
1975-09-01,6.697590109265031,208.379554869565,1.5498274978479696
1975-09-02,6.662575053504942,208.35098420890841,1.5384926608230782
1975-09-03,6.627700015536176,208.3228577173876,1.5272736791135615
1975-09-04,6.592965008496086,208.29518133882058,1.5161702555965617
1975-09-05,6.558370043176843,208.2679610717746,1.5051820905787534
1975-09-06,6.523915128051639,208.2412029698429,1.4943088818178785
1975-09-07,6.489600269301179,208.21491314191545,1.4835503245444128
1975-09-08,6.455425470840571,208.18909775244455,1.472906111483362
1975-09-09,6.4213907343466206,208.16376302170383,1.4623759328762103
1975-09-10,6.3874960592854455,208.13891522604075,1.451959476502942
1975-09-11,6.3537414429405,208.11456069812255,1.441656427704238
1975-09-12,6.320126880440944,208.09070582717496,1.4314664694037689
1975-09-13,6.286652364790399,208.06735705921326,1.4213892821305878
1975-09-14,6.253317886896049,208.0445208972662,1.4114245440416868
1975-09-15,6.220123435598099,208.0222039015908,1.4015719309446077
1975-09-16,6.18706899769962,208.0004126898795,1.3918311163202017
1975-09-17,6.154154557996709,207.97915393745788,1.3822017713454808
1975-09-18,6.12138009930904,207.9584343774732,1.3726835649165707
1975-09-19,6.088745602510732,207.93826080107345,1.3632761636717698
1975-09-20,6.0562510465615915,207.91864005757586,1.3539792320147017
1975-09-21,6.0238964085386755,207.89957905462526,1.3447924321375604
1975-09-22,5.9916816636681896,207.8810847583413,1.3357154240444613
1975-09-23,5.959606785357759,207.8631641934541,1.3267478655748561
1975-09-24,5.927671745228976,207.84582444342828,1.3178894124270646
1975-09-25,5.8958765131503235,207.82907265057432,1.3091397181818625
1975-09-26,5.864221057270384,207.81291601614726,1.3004984343261663
1975-09-27,5.832705344051387,207.79736180043182,1.291965210276788
1975-09-28,5.801329338303063,207.78241732281393,1.2835396934042733
1975-09-29,5.770093003216802,207.76808996183735,1.2752215290567996
1975-09-30,5.738996300400119,207.75438715524587,1.2670103605841538
1975-10-01,5.708039189911413,207.7413164000095,1.2589058293617679
1975-10-02,5.677221630295018,207.72888525233463,1.2509075748148222
1975-10-03,5.646543578616537,207.71710132765787,1.2430152344424128
1975-10-04,5.616004990498461,207.70597230062185,1.2352284438417622
1975-10-05,5.585605820156049,207.69550590503368,1.2275468367325013
1975-10-06,5.5553460204334755,207.68570993380462,1.2199700449809945
1975-10-07,5.525225542840256,207.6765922388702,1.2124976986247082
1975-10-08,5.495244337587879,207.66816073109098,1.205129425896637
1975-10-09,5.465402353626732,207.6604233801321,1.1978648532497607
1975-10-10,5.435699538683228,207.6533882143218,1.1907036053815496
1975-10-11,5.406135839297164,207.64706332048794,1.1836453052585034
1975-10-12,5.376711200859313,207.64145684377146,1.176689574140719
1975-10-13,5.347425567649205,207.63657698741633,1.1698360316065015
1975-10-14,5.318278882873116,207.6324320125354,1.1630842955769891
1975-10-15,5.289271088702253,207.6290302378506,1.1564339823408094
1975-10-16,5.26040212631111,207.6263800394076,1.149884706578763
1975-10-17,5.231671935916002,207.6244898502633,1.1434360813885123
1975-10-18,5.203080456813743,207.62336816014596,1.1370877183093038
1975-10-19,5.174627627420501,207.62302351508637,1.1308392273466912
1975-10-20,5.146313385310746,207.62346451701993,1.1246902169972668
1975-10-21,5.118137667256369,207.62469982335796,1.1186402942734146
1975-10-22,5.090100409265882,207.62673814652797,1.1126890647280563
1975-10-23,5.062201546623737,207.62958825348156,1.1068361324793967
1975-10-24,5.034441013929711,207.63325896516898,1.1010811002356802
1975-10-25,5.0068187451383865,207.6377591559792,1.0954235693199303
1975-10-26,4.979334673598676,207.64309775314533,1.0898631396946927
1975-10-27,4.951988732093397,207.64928373611278,1.0843994099867542
1975-10-28,4.924780852878882,207.65632613587067,1.0790319775118673
1975-10-29,4.8977109677245965,207.66423403424463,1.0737604382994435
1975-10-30,4.87077900795274,207.67301656314967,1.0685843871172367
1975-10-31,4.843984904477879,207.68268290380257,1.0635034174960014
1975-11-01,4.817328587846491,207.69324228589224,1.0585171217541263
1975-11-02,4.790809988276479,207.70470398670722,1.0536250910222489
1975-11-03,4.7644290356966295,207.71707733021847,1.0488269152678213
1975-11-04,4.738185659785965,207.73037168611714,1.0441221833196679
1975-11-05,4.712079790012985,207.7445964688055,1.0395104828924935
1975-11-06,4.686111355674809,207.75976113633956,1.0349914006113476
1975-11-07,4.660280285936137,207.775875189323,1.0305645220360642
1975-11-08,4.634586509868077,207.79294816974993,1.0262294316856437
1975-11-09,4.609029956486749,207.8109896597966,1.0219857130626002
1975-11-10,4.583610554791713,207.83000928055884,1.0178329486772433
1975-11-11,4.558328233804144,207.85001669073603,1.0137707200719293
1975-11-12,4.533182922604754,207.87102158525838,1.0097986078452412
1975-11-13,4.508174550371444,207.8930336938573,1.005916191676117
1975-11-14,4.483303046416631,207.91606277957695,1.0021230503479226
1975-11-15,4.458568340224276,207.9401186372255,0.9984187617724536
1975-11-16,4.433970361486536,207.96521109176513,0.994802903013878
1975-11-17,4.409509040140041,207.9913499966387,0.9912750503126181
1975-11-18,4.385184306401766,208.01854523203212,0.9878347791091379
1975-11-19,4.360996090804454,208.04680670307064,0.9844816640676933
1975-11-20,4.336944324231613,208.07614433794774,0.9812152790999739
1975-11-21,4.3130289379519695,208.10656808598492,0.9780351973886902
1975-11-22,4.289249863653437,208.1380879156213,0.974940991411066
1975-11-23,4.26560703347651,208.170713812331,0.9719322329622597
1975-11-24,4.242100380047098,208.20445577646672,0.9690084931786883
1975-11-25,4.218729836508713,208.23932382102913,0.9661693425612783
1975-11-26,4.19549533655403,208.27532796935873,0.9634143509986115
1975-11-27,4.172396814455763,208.31247825275008,0.9607430877899932
1975-11-28,4.149434205096815,208.3507847079863,0.9581551216684107
1975-11-29,4.126607443999694,208.39025737479233,0.9556500208234121
1975-11-30,4.103916467355115,208.43090629320548,0.9532273529238661
1975-12-01,4.081361212049814,208.47274150086176,0.9508866851406443
1975-12-02,4.058941615693477,208.51577303019639,0.9486275841691724
1975-12-03,4.036657616644777,208.56001090555705,0.9464496162518987
1975-12-04,4.014509154036484,208.6054651402284,0.9443523472006432
1975-12-05,3.9924961677995916,208.65214573336647,0.9423353424188365
1975-12-06,3.9706185986864297,208.70006266684098,0.9403981669236517
1975-12-07,3.9488763882927174,208.74922590198508,0.9385403853680137
1975-12-08,3.9272694790785367,208.79964537625014,0.9367615620625015
1975-12-09,3.9057978143881393,208.85133099976477,0.9350612609971253
1975-12-10,3.8844613384686046,208.90429265179662,0.9334390458629804
1975-12-11,3.8632599964872356,208.95854017711548,0.9318944800737875
1975-12-12,3.8421937345477204,209.0140833822569,0.9304271267873032
1975-12-13,3.821262499704958,209.070932031684,0.9290365489265999
1975-12-14,3.800466239978539,209.12909584384803,0.9277223092012212
1975-12-15,3.779804904364802,209.18858448714462,0.9264839701282152
1975-12-16,3.759278442847462,209.24940757576618,0.925321094053017
1975-12-17,3.7388868064067293,209.31157466544846,0.9242332431702099
1975-12-18,3.71862994702688,209.37509524911113,0.9232199795441538
1975-12-19,3.6985078177022364,209.43997875239046,0.9222808651294633
1975-12-20,3.6785203724415068,209.50623452906453,0.9214154617913572
1975-12-21,3.658667566270437,209.57387185636912,0.9206233313258614
1975-12-22,3.6389493552327066,209.64289993020455,0.919904035479872
1975-12-23,3.61936569638906,209.71332786023223,0.9192571359710721
1975-12-24,3.599916547814575,209.78516466486096,0.9186821945077049
1975-12-25,3.580601868594053,209.8584192661223,0.9181787728081927
1975-12-26,3.561421618815474,209.93310048443507,0.9177464326206195
1975-12-27,3.542375759561446,210.00921703325875,0.9173847357420494
1975-12-28,3.5234642528986275,210.08677751363558,0.9170932440377029
1975-12-29,3.504687061865058,210.16579040862166,0.9168715194599707
1975-12-30,3.4860441504553314,210.2462640776077,0.9167191240672837
1975-12-31,3.4675354836035996,210.328206750529,0.9166356200428142
1976-01-01,3.449161027164312,210.41162652196604,0.9166205697130333
1976-01-02,3.430920747890677,210.4965313451359,0.9166735355660957
1976-01-03,3.4128146134107835,210.58292902577534,0.9167940802700729
1976-01-04,3.3948425922013086,210.67082721591734,0.9169817666910258
1976-01-05,3.377004653558816,210.76023340756106,0.9172361579109051
1976-01-06,3.359300767568541,210.85115492623797,0.9175568172453026
1976-01-07,3.3417309050706567,210.9435989244748,0.9179433082610202
1976-01-08,3.3242950376239464,211.03757237515543,0.9183951947934932
1976-01-09,3.306993137466849,211.13308206478408,0.9189120409640256
1976-01-10,3.2898251774758385,211.23013458665113,0.9194934111968719
1976-01-11,3.272791131121082,211.32873633390525,0.9201388702361454
1976-01-12,3.2558909724193366,211.4288934925333,0.9208479831625566
1976-01-13,3.239124675884046,211.53061203425173,0.9216203154099749
1976-01-14,3.2224922164725953,211.6338977093124,0.9224554327818341
1976-01-15,3.205993569530695,211.73875603922596,0.9233529014673427
1976-01-16,3.189628710733838,211.84519230940703,0.924312288057544
1976-01-17,3.1733976160258126,211.95321156174438,0.9253331595611802
1976-01-18,3.1573002615542327,212.06281858710105,0.9264150834204048
1976-01-19,3.1413366236030535,212.17401791774822,0.9275576275262918
1976-01-20,3.125506678522039,212.28681381973823,0.9287603602341971
1976-01-21,3.1098104026531734,212.40121028522086,0.9300228503789184
1976-01-22,3.0942477722539756,212.51721102470955,0.9313446672896916
1976-01-23,3.0788187634176847,212.63481945930178,0.9327253808050082
1976-01-24,3.063523351990347,212.75403871286053,0.9341645612872475
1976-01-25,3.0483615134847324,212.87487160416254,0.9356617796371344
1976-01-26,3.0333332229910956,212.9973206390202,0.9372166073080131
1976-01-27,3.0184384550847794,213.12138800238375,0.9388286163199496
1976-01-28,3.00367718373065,213.24707555043094,0.9404973792736419
1976-01-29,2.9890493821843345,213.3743848026519,0.9422224693641589
1976-01-30,2.974555022890321,213.50331693393647,0.944003460394491
1976-01-31,2.960194077376868,213.6338727666729,0.9458399267889259
1976-02-01,2.9459665161477706,213.76605276286537,0.9477314436062343
1976-02-02,2.9318723085709903,213.89985701628015,0.9496775865526856
1976-02-03,2.917911422764145,214.0352852446284,0.9516779319948673
1976-02-04,2.904083825476928,214.17233678179574,0.9537320569723318
1976-02-05,2.890389481970432,214.31101057012776,0.955839539210059
1976-02-06,2.876828355893453,214.45130515278186,0.9579999571307347
1976-02-07,2.863400409155793,214.5932186661552,0.9602128898668456
1976-02-08,2.8501056017985964,214.7367488323995,0.9624779172725962
1976-02-09,2.836943891861789,214.88189295203398,0.9647946199356378
1976-02-10,2.823915235248666,215.0286478966661,0.9671625791886179
1976-02-11,2.8110195855876774,215.17701010183333,0.9695813771205484
1976-02-12,2.7982568940914896,215.32697555997606,0.9720505965879875
1976-02-13,2.7856271094133835,215.47853981355388,0.9745698212260437
1976-02-14,2.7731301775010793,215.63169794831745,0.9771386354591963
1976-02-15,2.760766041448057,215.78644458674796,0.9797566245119296
1976-02-16,2.7485346413424607,215.94277388167663,0.9824233744191978
1976-02-17,2.736435914113696,216.10067951009668,0.9851384720366949
1976-02-18,2.724469793376811,216.26015466718073,0.9879015050509515
1976-02-19,2.712636209274763,216.42119206051618,0.9907120619892518
1976-02-20,2.700935088318692,216.5837839045715,0.9935697322293641
1976-02-21,2.6893663532263243,216.74792191540686,0.9964741060091007
1976-02-22,2.677929922758618,216.91359730564136,0.9994247744356877
1976-02-23,2.6666257115548015,217.08080077969078,1.0024213294949706
1976-02-24,2.6554536299659146,217.24952252928827,1.0054633640604256
1976-02-25,2.6444135838870366,217.41975222930137,1.0085504719020029
1976-02-26,2.633505474588311,217.59147903385823,1.0116822476947938
1976-02-27,2.6227291985449526,217.76469157279587,1.0148582870275142
1976-02-28,2.612084647266385,217.9393779484436,1.0180781864108222
1976-02-29,2.601571707124684,218.11552573275338,1.021341543285447
1976-03-01,2.5911902591824916,218.29312196479083,1.02464795603016
1976-03-02,2.580940179020596,218.4721531485977,1.0279970239695557
1976-03-03,2.570821336565342,218.65260525143867,1.0313883473816712
1976-03-04,2.5608335959160806,218.83446370244422,1.0348215275054318
1976-03-05,2.550976815172849,219.01771339165967,1.0382961665479167
1976-03-06,2.541250846264469,219.2023386695132,1.0418118676914654
1976-03-07,2.5316555347772756,219.3883233467119,1.045368235100609
1976-03-08,2.5221907197847035,219.5756506945764,1.0489648739288309
1976-03-09,2.512856233677901,219.76430344582423,1.0526013903251654
1976-03-10,2.503651901997633,219.95426379581002,1.0562773914406205
1976-03-11,2.4945775432676656,220.14551340423236,1.0599924854344467
1976-03-12,2.4856329688298575,220.33803339731418,1.06374628148023
1976-03-13,2.476817982681199,220.5318043704644,1.0675383897718285
1976-03-14,2.4681323813130023,220.7268063914281,1.07136842152914
1976-03-15,2.4595759535524873,220.92301900393022,1.075235989003713
1976-03-16,2.4511484804070087,221.12042123181857,1.079140705484194
1976-03-17,2.442849734911102,221.3189915837113,1.0830821853016188
1976-03-18,2.4346794819766457,221.51870805815102,1.0870600438345375
1976-03-19,2.4266374782463336,221.7195481492702,1.0910738975139964
1976-03-20,2.4187234719506865,221.9214888529684,1.0951233638283449
1976-03-21,2.410937202768852,222.1245066736038,1.0992080613279072
1976-03-22,2.4032784016934152,222.3285776311983,1.103327609629485
1976-03-23,2.3957467908994325,222.5336772691563,1.1074816294207193
1976-03-24,2.388342083617935,222.73978066249504,1.111669742464291
1976-03-25,2.381063984014103,222.94686242658443,1.1158915716019822
