from,to,start_idx,end_idx,dwell_time
0,1,0,398,398
1,0,398,675,277
0,1,675,1149,474
1,2,1149,2225,1076
2,1,2225,4304,2079
1,2,4304,5234,930
2,3,5234,6599,1365
3,2,6599,13152,6553
2,1,13152,16160,3008
1,0,16160,17755,1595
0,1,17755,18652,897
