phi,r,theta1,theta2,state
203.66293437936167,123.62509832620394,163.6440163527828,319.9810819734211,1
203.80444941524436,123.41930752920253,163.61187847222345,319.80742905697906,1
203.94498365607532,123.21241302639524,163.57869834123528,319.63371468515993,1
204.0845525432729,123.00442534353354,163.54448894340322,319.45993640013035,1
204.22317144775317,122.79535493073102,163.5092631892421,319.2860917414889,1
204.36085566955012,122.58521216215408,163.4730339158521,319.112178246302,1
204.49762043748075,122.37400733577249,163.43581388662662,318.93819344914584,1
204.63348090885304,122.16175067316773,163.3976157910104,318.76413488215735,1
204.7684521692147,121.94845231939638,163.35845224430554,318.59000007509087,1
204.9025492321408,121.73412234290659,163.3183357875237,318.4157865553829,1
205.035787039059,121.5187707355053,163.27727888728214,318.2414918482232,1
205.16818045910964,121.30240741237417,163.2352939357419,318.06711347663224,1
205.2997442890403,121.08504221213204,163.19239325058618,317.8926489615459,1
205.430493253132,120.86668489694226,163.14858907503714,317.71809582190514,1
205.56044200315642,120.64734515266261,163.1038935779095,317.5434515747531,1
205.68960511836218,120.42703258903629,163.05831885369923,317.36871373533705,1
205.81799710548881,120.20575673992211,163.01187692270545,317.19387981721667,1
205.94563239880728,119.98352706356222,162.96457973118476,317.0189473323775,1
206.07252536018544,119.76035294288569,162.91643915153557,316.84391379135013,1
206.1986902791775,119.53624368584647,162.86746698251198,316.6687767033345,1
206.32414137313597,119.31120852579424,162.8176749494651,316.4935335763291,1
206.44889278734513,119.08525662187655,162.76707470461085,316.3181819172657,1
206.5729585951749,118.85839705947109,162.715677827323,316.1427192321481,1
206.69635279825403,118.63063885064658,162.6634958244503,315.96714302619625,1
206.81908932666153,118.40199093465118,162.61054013065635,315.79145080399485,1
206.94118203913553,118.17246217842703,162.55682210878126,315.61564006964574,1
207.0626447232985,117.94206137714981,162.50235305022414,315.43970832692565,1
207.18349109589798,117.71079725479235,162.44714417534516,315.2636530794472,1
207.3037348030621,117.47867846471095,162.39120663388653,315.0874718308244,1
207.42338942056887,117.24571359025363,162.33455150541124,314.9111620848424,1
207.54246845412862,117.0119111453892,162.2771897997589,314.7347213456303,1
207.66098533967892,116.77727957535632,162.21913245751762,314.5581471178387,1
207.7789534436911,116.54182725733149,162.1603903505113,314.38143690682017,1
207.89638606348782,116.30556250111536,162.1009742823016,314.2045882188138,1
208.0132964275711,116.06849354983635,162.0408949887037,314.0275985611326,1
208.1296976959601,115.83062858067092,161.9801631383155,313.8504654423554,1
208.2456029605381,115.59197570557971,161.9187893330589,313.67318637252083,1
208.36102524540846,115.35254297205897,161.8567841087337,313.49575886332525,1
208.47597750725836,115.11233836390639,161.79415793558238,313.318180428324,1
208.59047263573066,114.871369802001,161.73092121886583,313.14044858313514,1
208.70452345380272,114.6296451450963,161.66708429944953,312.9625608456468,1
208.81814271817228,114.38717219062625,161.60265745439926,312.784514736227,1
208.93134311964965,114.14395867552341,161.53765089758653,312.6063077779369,1
209.04413728355598,113.90001227704899,161.47207478030248,312.4279374967465,1
209.15653777012722,113.65534061363405,161.40593919188063,312.2494014217534,1
209.26855707492348,113.40995124573166,161.33925416032758,312.0706970854041,1
209.3802076292434,113.16385167667944,161.2720296529614,311.891822023718,1
209.49150180054326,112.91704935357217,161.20427557705773,311.71277377651444,1
209.60245189286064,112.66955166814417,161.1360017805024,311.53354988764175,1
209.71307014724218,112.42136595766098,161.06721805245158,311.3541479052094,1
209.82336874217538,112.17249950582017,160.99793412399777,311.1745653818224,1
209.93335979402423,111.92295954366085,160.92815966884254,310.99479987481834,1
210.04305535746832,111.67275325048178,160.85790430397503,310.81484894650674,1
210.1524674259453,111.4218877547677,160.7871775903565,310.6347101644112,1
210.26160793209664,111.17037013512373,160.71598903361019,310.45438110151355,1
210.3704887482163,110.91820742121766,160.64434808471697,310.27385933650066,1
210.47912168670246,110.66540659472984,160.57226414071616,310.0931424540137,1
210.5875185005118,110.41197459031066,160.49974654541123,309.91222804489945,1
210.69569088361678,110.15791829654535,160.42680459008108,309.73111370646427,1
210.80365047146503,109.90324455692603,160.35344751419552,309.5497970427305,1
210.9114088414416,109.64796017083091,160.27968450613628,309.36827566469464,1
211.01897751333343,109.3920718945106,160.205524703922,309.1865471905886,1
211.12636794979596,109.13558644208116,160.13097719593856,309.0046092461426,1
211.23359155682243,108.87851048652443,160.05605102167343,308.822459464851,1
211.34065968421498,108.62085066069483,159.9807551724549,308.6400954882399,1
211.4475836260581,108.36261355833327,159.90509859219569,308.4575149661376,1
211.55437462119428,108.10380573508779,159.82909017814103,308.2747155569468,1
211.6610438537017,107.84443370954098,159.75273878162133,308.09169492791966,1
211.76760245337405,107.58450396424426,159.67605320880915,307.9084507554351,1
211.87406149620261,107.32402294675906,159.59904222148083,307.7249807252782,1
211.9804320048602,107.06299707070474,159.5217145377825,307.54128253292225,1
212.0867249491876,106.80143271681364,159.44407883300062,307.357353883813,1
212.19295124668184,106.53933623399294,159.3661437403374,307.17319249365556,1
212.2991217629869,106.27671394039375,159.28791785169034,306.9887960887034,1
212.40524731238662,106.01357212448717,159.2094097184369,306.8041624060503,1
212.51133865829976,105.74991704614777,159.13062785222377,306.61928919392403,1
212.61740651377755,105.4857549377443,159.0515807257609,306.43417421198336,1
212.7234615420036,105.22109200523785,158.97227677362073,306.24881523161713,1
212.8295143567962,104.9559344292877,158.89272439304196,306.0632100362457,1
212.93557552311322,104.69028836636473,158.81293194473898,305.87735642162573,1
213.04165555755952,104.42415994987283,158.73290775371618,305.69125219615665,1
213.14776492889717,104.15755529127824,158.6526601100877,305.50489518119053,1
213.2539140585583,103.89048048124707,158.5721972699027,305.31828321134435,1
213.3601133211609,103.62294159079111,158.491527455976,305.1314141348151,1
213.46637304502747,103.35494467242232,158.4106588587249,304.94428581369743,1
213.57270351270682,103.08649576131579,158.3295996370113,304.7568961243045,1
213.679114961499,102.81760087648175,158.2483579189904,304.5692429574914,1
213.78561758398337,102.54826602194667,158.16694180296503,304.38132421898166,1
213.89222152855015,102.2784971879436,158.08535935824688,304.19313782969675,1
213.99893689993553,102.00830035211204,158.00361862602378,304.0046817260883,1
214.10577375976015,101.73768148070766,157.92172762023392,303.81595386047377,1
214.21274212707155,101.46664652982187,157.8396943284467,303.62695220137516,1
214.31985197889028,101.19520144661168,157.75752671275097,303.4376747338607,1
214.42711325076016,100.92335217054004,157.6752327106501,303.24811945988995,1
214.53453583730257,100.6511046346269,157.59282023596472,303.0582843986622,1
214.64212959277506,100.37846476671119,157.51029717974313,302.86816758696807,1
214.74990433163424,100.10543849072414,157.42767141117918,302.67776707954494,1
214.85786982910338,99.83203172797408,157.34495077853873,302.4870809494354,1
214.96603582174458,99.5582503984431,157.26214311009386,302.2961072883493,1
215.0744120080359,99.28410042209573,157.1792562150658,302.10484420702994,1
215.18300804895335,99.0095877202001,157.09629788457673,301.91328983562335,1
215.29183356855825,98.73471821666173,157.01327589260998,301.72144232405174,1
215.40089815458964,98.45949783937043,156.93019799698004,301.5292998423904,1
215.51021135906242,98.1839325215604,156.84707194031142,301.33686058124897,1
215.61978269887106,97.90802820318407,156.76390545102757,301.1441227521565,1
215.72962165639908,97.63179083229991,156.6807062443495,300.9510845879504,1
215.8397376801346,97.35522636647451,156.59748202330456,300.75774434317,1
215.95014018529204,97.07834077419938,156.5142404797457,300.5641002944537,1
216.06083855444024,96.8011400363227,156.43098929538147,300.37015074094126,1
216.171842138137,96.52363014749653,156.34773614281676,300.1758940046798,1
216.2831602555705,96.24581711763965,156.26448868660506,299.98132843103457,1
216.39480219520746,95.96770697341654,156.181254584312,299.7864523891045,1
