anisotropy
802
813
828
807
830
830
804
795
815
807
797
823
809
818
801
829
809
805
809
809
816
809
812
791
840
816
797
852
824
797
808
785
832
840
829
815
827
861
797
804
801
808
848
821
816
814
797
840
812
814
839
811
820
801
835
786
807
810
801
826
821
798
811
843
806
785
872
798
799
815
788
810
822
811
820
799
813
796
814
823
817
814
810
794
813
823
818
830
854
824
817
844
808
821
848
840
809
811
842
794
802
773
820
828
821
817
803
804
811
806
869
801
802
797
826
832
823
812
821
816
834
797
805
809
856
826
809
799
792
834
797
780
837
802
790
833
797
820
818
798
851
847
818
793
826
827
786
820
828
801
780
825
795
811
807
817
847
848
833
798
801
829
827
797
796
800
782
831
831
818
815
810
791
843
796
839
820
804
800
803
859
809
798
796
803
833
813
796
804
822
832
817
822
825
799
800
818
809
792
817
805
821
843
799
855
815
845
831
837
807
842
801
835
819
808
828
806
786
814
819
843
803
813
786
809
828
814
799
814
808
800
802
816
789
820
806
773
802
830
806
821
834
808
805
796
806
823
822
803
809
832
801
865
804
797
783
807
836
801
830
840
821
819
808
805
815
788
833
815
831
858
804
821
795
803
813
822
810
846
780
800
809
805
774
810
805
795
806
807
786
820
832
814
805
817
822
808
802
845
792
814
817
836
805
830
830
833
839
837
799
795
797
803
787
791
800
813
810
827
814
841
782
804
802
792
797
834
808
827
811
804
803
806
816
836
836
801
792
817
812
802
794
802
805
813
834
793
814
806
831
804
805
860
807
793
776
810
827
852
783
831
794
820
795
802
826
796
864
810
778
812
800
816
830
803
809
829
827
828
839
808
819
801
807
829
828
817
808
798
806
811
827
803
833
788
818
824
817
809
846
835
821
808
830
783
833
796
826
846
809
812
839
823
816
805
818
811
838
812
793
809
791
789
791
797
823
808
801
809
790
787
784
836
819
840
801
799
812
797
790
798
819
806
801
808
820
784
803
807
838
813
807
814
807
803
819
835
824
838
791
817
794
792
801
802
807
818
785
793
813
789
799
788
811
828
814
820
854
819
833
777
835
791
823
787
804
788
795
828
814
801
804
821
821
782
797
809
801
815
843
