theta1,theta2,state
279.2301748319195,353.9112844334239,0
271.5460245446867,354.06261500157893,1
279.205428770172,353.87550306311994,0
271.51933608043186,354.02658247873757,1
279.1805062010246,353.83950792673454,0
271.4924750076009,353.99033442849907,1
279.1554056330629,353.80329757439097,0
271.46544006270796,353.9538693858453,1
279.1301255620309,353.76687054434393,0
271.4382299739451,353.9171858737242,1
279.10466447042677,353.73022536286305,0
271.41084346085984,353.8802824029317,1
279.07902082714446,353.69336054411485,0
271.38327923408065,353.843157471992,1
279.053193087153,353.65627459004276,0
271.35553599508074,353.8058095670358,1
279.0271796912064,353.61896599024544,0
271.32761243597463,353.76823716167667,1
279.00097906557886,353.58143322185373,0
271.2995072393408,353.730438716886,1
278.9745896218201,353.5436747494054,0
271.27121907806657,353.6924126808658,1
278.9480097565271,353.5056890247187,0
271.2427466152102,353.65415748892013,1
278.92123785112983,353.4674744867643,0
271.21408850387945,353.6156715633246,1
278.8942722716874,353.429029561535,0
271.1852433871211,353.57695331319445,1
278.86711136869286,353.39035266191485,0
271.15620989782167,353.53800113435074,1
278.83975347688556,353.35144218754573,0
271.12698665861666,353.4988134091851,1
278.81219691506845,353.312296524693,0
271.0975722818073,353.4593885065227,1
278.7844399859309,353.27291404610895,0
271.0679653692834,353.4197247814836,1
278.7564809758742,353.233293110895,0
271.03816451245194,353.37982057534225,1
278.7283181548406,353.19343206436236,0
271.0081682921698,353.3396742153858,1
278.6999497761442,353.15332923789055,0
270.9779752786809,353.2992840147701,1
278.6713740763034,353.1129829487848,0
270.9475840315569,353.25864827237444,1
278.6425892748754,353.07239150013146,0
270.9169930996414,353.21776527265456,1
278.61359357429114,353.03155318065177,0
270.88620102099657,353.1766332854936,1
278.58438515969124,352.990466264554,0
270.8552063228532,353.1352505660516,1
278.55496219876255,352.94912901138383,0
270.824007521563,353.0936153546131,1
278.525322841575,352.9075396658729,0
270.7926031225531,353.0517258764334,1
278.49546522041885,352.8656964577859,0
270.7609916202839,353.00958034158214,1
278.4653874496422,352.82359760176547,0
270.72917149820825,352.96717694478593,1
278.4350876254887,352.7812412971758,0
270.6971412287334,352.92451386526875,1
278.40456382593527,352.7386257279439,0
270.6648992731857,352.8815892665906,1
278.3738141105301,352.69574906239944,0
270.63244408177684,352.8384012964843,1
278.3428365202306,352.65260945311275,0
270.5997740935731,352.7949480866903,1
278.31162907724183,352.6092050367306,0
270.56688773646715,352.75122775278976,1
278.2801897848546,352.56553393381057,0
270.5337834271516,352.70723839403564,1
278.2485166272841,352.5215942486532,0
270.50045957109626,352.66297809318183,1
278.2166075695089,352.4773840691322,0
270.46691456252677,352.61844491631035,1
278.1844605571096,352.43290146652333,0
270.43314678440726,352.57363691265675,1
278.15207351610877,352.3881444953304,0
270.39915460842496,352.5285521144331,1
278.1194443528104,352.34311119311,0
270.3649363949785,352.4831885366496,1
278.08657095364066,352.2977995802942,0
270.33049049316855,352.4375441769335,1
278.0534511849886,352.2522076600108,0
270.2958152407924,352.39161701534647,1
278.0200828930478,352.20633341790204,0
270.26090896434124,352.3454050141997,1
277.9864639036587,352.1601748219409,0
270.22576997900154,352.298906117867,1
277.95259202215203,352.11372982224606,0
270.1903965886595,352.2521182525957,1
277.9184650331927,352.0669963508936,0
270.1547870859095,352.2050393263158,1
277.88408070062536,352.0199723217279,0
270.1189397520666,352.1576672284463,1
277.8494367673204,351.9726556301695,0
270.0828528571828,352.1099998297002,1
277.8145309550222,351.9250441530214,0
270.0465246600678,352.06203498188665,1
277.7793609641978,351.8771357482729,0
270.00995340831395,352.0137705177115,1
277.74392447388794,351.8289282549015,0
269.97313733832596,351.96520425057525,1
277.70821914155925,351.78041949267254,0
269.9360746753551,351.91633397436897,1
277.6722426029586,351.73160726193674,0
269.89876363353875,351.8671574632679,1
277.63599247196913,351.6824893434254,0
269.8612024159446,351.81767247152305,1
277.5994663404689,351.63306349804367,0
269.8233892146207,351.7678767332502,1
277.56266177819134,351.5833274666612,0
269.78532221065063,351.717767962217,1
277.5255763325885,351.5332789699011,0
269.7469995742146,351.6673438516276,1
277.4882075286968,351.48291570792605,0
269.7084194646566,351.61660207390486,1
277.4505528690056,351.4322353602227,0
269.66958003055737,351.56554028047066,1
277.41260983332876,351.3812355853834,0
269.6304794098144,351.51415610152344,1
277.37437587867987,351.32991402088595,0
269.59111572972853,351.4624471458138,1
277.3358484391502,351.27826828287084,0
269.5514871070964,351.41041100041764,1
277.2970249257906,351.2262959659163,0
269.51159164831193,351.3580452305067,1
277.2579027264976,351.1739946428111,0
269.47142744947365,351.3053473791173,1
277.2184792059031,351.1213618643251,0
269.4309925965005,351.2523149669161,1
277.1787517052687,351.0683951589769,0
269.3902851652558,351.1989454919641,1
277.13871754238454,351.0150920328001,0
269.3493032216789,351.1452364294777,1
277.0983740114727,350.96144996910664,0
269.30804482192576,351.0911852315878,1
277.0577183830964,350.9074664282477,0
269.2665080125188,351.03678932709664,1
277.01674790407407,350.8531388473727,0
269.2246908305052,350.9820461212314,1
276.97545979739886,350.7984646401858,0
269.18259130362554,350.9269529953967,1
276.93385126216504,350.7434411966997,0
269.14020745049174,350.87150730692343,1
276.8919194734997,350.6880658829877,0
269.0975372807755,350.8157063888164,1
276.8496615825018,350.63233604093307,0
269.05457879540756,350.75954754949856,1
276.80707471618786,350.576248987976,0
