t_center,mean_f,mean_D,V_range
1500.0,43.64056310016065,426748.1692491715,2435937.4246536777
2000.0,28.698425267753322,159151.76133195145,2616391.6558149103
2500.0,27.897196728873237,111697.68501058462,2761578.1702027097
3000.0,38.07607666994966,346640.06576195045,1619350.6648603496
3500.0,25.08607214694227,569882.4493571135,1089757.6825277107
4000.0,32.61812329794363,1061313.8446315918,1061079.5433560582
4500.0,9.069300258504942,148486.28137018057,388424.8551519871
5000.0,10.508734535883802,274220.7240026588,441858.14477352536
5500.0,14.820676833340057,280393.50292586064,953617.0550396156
6000.0,17.11286085190368,221828.84831611224,1622385.6581408335
6500.0,23.37519563150084,218671.3626980361,2201603.2536409204
7000.0,19.277019729434333,127935.10869469105,873270.7620450817
7500.0,24.093012258863894,134824.92451480168,2222012.4982669926
8000.0,20.291632307276487,442517.5938533413,1021869.6890349832
8500.0,30.87979119882367,734516.0630576045,1407268.9791140296
9000.0,19.048731981854186,847241.7040445925,997219.4723257557
9500.0,18.262232560141076,619690.356958216,796875.9473220452
10000.0,15.190375851208737,395086.57462009543,316296.7746098374
10500.0,15.442438874750708,487137.29139518616,252405.50233373334
11000.0,14.87501872298152,521791.57907228486,300535.44957352604
11500.0,10.130936393093608,306335.0087901544,557940.5979813518
12000.0,19.476867672181363,496549.5072956781,2125661.6793382037
12500.0,22.36136053831355,484344.02764389134,1616844.9235206542
13000.0,20.23277505259685,485957.996981124,1550343.3683524881
13500.0,12.571886195920827,125506.88686839248,1204212.1243945607
14000.0,13.120013297944713,269882.56666455814,1046199.4268918294
14500.0,8.810632151536723,121532.6287791604,383972.96721738926
15000.0,9.728914058560846,342995.4596781078,346496.42408434756
15500.0,9.78025029726111,389689.6502304186,416056.8872279613
16000.0,9.20699335819893,422690.81303049,422881.6925441265
16500.0,17.584419867687966,254382.9553062996,1166033.4523761894
17000.0,20.167863020474222,503038.353349192,1756082.2635018413
17500.0,20.735475479683835,263243.9045790289,603438.559053583
