phi,theta1,theta2,state
87.19304718060347,0.0,0.0,1
87.33721621412992,113.57661569026322,75.54960464338075,1
87.48229760480712,114.08397972299292,75.17592396940609,1
87.62830391987282,114.5942912331733,74.80021608917002,1
87.77524789945602,115.10757681101262,74.42246394313298,1
87.92314245932516,115.62386305255768,74.04265052369499,1
88.07200069366907,116.14317654809588,73.66075888487694,1
88.22183587791007,116.66554386993448,73.27677215248156,1
88.3726614715491,117.19099155952921,72.89067353475372,1
88.52449112104247,117.71954611393392,72.50244633356175,1
88.67733866270991,118.2512339715446,72.1120739561191,1
88.83121812567322,118.78608149710647,71.71953992726901,1
88.98614373482528,119.32411496595313,71.32482790235622,1
89.14212991382867,119.8653605474467,70.92792168070679,1
89.29919128814319,120.40984428758492,70.52880521974237,1
89.45734268808164,120.95759209074112,70.1274626497538,1
89.6165991518929,121.5086297005007,69.7238782893595,1
89.77697592887152,122.06298267955776,69.31803666167673,1
89.93848848249274,122.62067638863249,68.90992251123316,1
90.1011524935718,123.18173596437038,68.49952082164822,1
90.26498386344646,123.74618629618129,68.08681683411396,1
90.42999871718123,124.31405200197588,67.6717960667064,1
90.59621340679207,124.88535740275506,67.25444433456028,1
90.76364451448984,125.46012649600613,66.83474777093977,1
90.93230885594096,126.03838292785929,66.41269284923925,1
91.10222348354337,126.62014996395413,65.98826640595058,1
91.27340568971587,127.20545045896614,65.56145566463266,1
91.44587301019874,127.79430682474015,65.13224826092147,1
91.6196432273634,128.3867409969771,64.70063226861953,1
91.7947343735286,128.9827744004179,64.266596226905,1
91.97116473428066,129.58242791246585,63.83012916870206,1
92.14895285179487,130.18572182518898,63.391220650254866,1
92.32811752815509,130.7926758056396,62.94986078195012,1
92.50867782866845,131.4033088544283,62.50604026043209,1
92.69065308517166,132.0176392624868,62.059750402058285,1
92.8740628993253,132.6356845659513,61.61098317774275,1
93.0589271458923,133.25746149909827,61.159731249236586,1
93.24526597599657,133.88298594525946,60.70598800689652,1
