date,vx,vy,zach_75W_parallel,zach_75W_perp,adhikari_100W_parallel,adhikari_100W_perp,observed_326_parallel,observed_326_perp,v_mag,direction_deg
1973-01-23,-52.51168644103299,36.90997197210111,-22.061270634066982,-60.275397815967274,-27.23066790488584,-58.12326530156817,-64.17395545194859,1.2355911597186555,64.1858492493685,144.89697600661958
1973-01-24,-52.48892016056702,36.9239190207027,-22.0806347954825,-60.257017039497704,-27.248356389595493,-58.103266771631525,-64.16288044065735,1.259884529510618,64.17524862024135,144.875100518044
1973-01-25,-52.46589173957237,36.93769084550115,-22.099897550662508,-60.23833770346397,-27.265917832770405,-58.08297965637576,-64.1514901211113,1.2841792193095252,64.16434213039473,144.85321099110513
1973-01-26,-52.44260146882687,36.95128732245357,-22.119058704531916,-60.21936005663121,-27.28335206175911,-58.062404220621325,-64.1397846650123,1.308474963678254,64.15312995953292,144.83130734251108
1973-01-27,-52.41904964250034,36.96470832978527,-22.138118063328676,-60.20008435162805,-27.30065890555494,-58.04154073292296,-64.12776424814263,1.332771497163339,64.14161229131219,144.8093894888343
1973-01-28,-52.395236558144234,36.977953747989844,-22.15707543460647,-60.18051084493658,-27.31783819479776,-58.02038946555959,-64.1154290503565,1.3570685543008274,64.12978931333215,144.78745734650914
1973-01-29,-52.37116251667862,36.99102345983434,-22.175930627243112,-60.16063979688114,-27.334889761781433,-57.99895069452235,-64.1027792555721,1.3813658696278104,64.11766121712783,144.76551083182432
1973-01-30,-52.346827822389656,37.00391735035404,-22.194683451436163,-60.14047147162455,-27.351813440449085,-57.977224699511176,-64.08981505176666,1.4056631776795712,64.10522819816447,144.7435498609288
1973-01-31,-52.32223278293731,37.016635306842105,-22.21333371869092,-60.12000613717282,-27.368609066381552,-57.95521176394067,-64.07653663097696,1.429960212976635,64.09249045583756,144.72157434984604
1973-02-01,-52.297377709342406,37.029177218870345,-22.231881241843837,-60.099244065368104,-27.385276476820096,-57.93291217493088,-64.06294418930031,1.4542567100492398,64.0794481934741,144.69958421445568
1973-02-02,-52.272262915976256,37.041542978304754,-22.250325835080183,-60.07818553188261,-27.401815510683498,-57.91032622329985,-64.04903792689457,1.4785524034560282,64.06610161833281,144.6775793704794
1973-02-03,-52.24688872055805,37.05373247931594,-22.268667313944846,-60.05683081621884,-27.4182260085788,-57.88745420356281,-64.03481804798182,1.5028470277941395,64.05245094160792,144.65555973347546
1973-02-04,-52.221255444147076,37.06574561838427,-22.286905495349288,-60.035180201703426,-27.434507812807702,-57.86429641392546,-64.02028476084486,1.5271403177078327,64.03849637842563,144.63352521883382
1973-02-05,-52.19536341113232,37.077582294268765,-22.305040197544177,-60.013233975468964,-27.45066076733775,-57.84085315626825,-64.00543827780109,1.5514320078685166,64.02423814781746,144.61147574179648
1973-02-06,-52.16921294921954,37.08924240801744,-22.323071240132744,-59.99099242844424,-27.46668471781475,-57.81712473613554,-63.99027881519764,1.575721832990542,64.0096764727154,144.58941121744658
