s,x,y,theta,curvature,tx,ty,nx,ny
0.0,21.864403436810072,223.20800648225315,-2.5800347620380792,,-0.8464265526962352,-0.5325054843609871,0.5325054843609871,-0.8464265526962352
1026.2408122565778,20.63211337982213,222.52442230472548,-2.699227904831648,,-0.903741894627782,-0.4280777825058184,0.4280777825058184,-0.903741894627782
1877.7826218053262,19.540884844786746,222.10128882387397,-2.8562721512832607,,-0.9595714917469848,-0.2814650106194009,0.2814650106194009,-0.9595714917469848
2591.5677521137895,18.584793965619816,221.9174084429928,-3.061673444040148,,-0.9968081593796524,-0.07983416164856989,0.07983416164856989,-0.9968081593796524
3211.8117596693883,17.757916876237196,221.95158356537573,2.965308980543129,,-0.9845022297028039,0.17537206071082673,-0.17537206071082673,-0.9845022297028039
3787.185043499353,17.05432971055475,222.18261659431658,2.677401390898615,,-0.8941839294966238,0.44769978802230515,-0.44769978802230515,-0.8941839294966238
4362.242301368458,16.468108602488364,222.58930993310955,2.397524235775324,,-0.7357191697668142,0.6772867215610023,-0.6772867215610023,-0.7357191697668142
4968.553915091464,15.993329685953896,223.15046598504838,2.1589649528568073,,-0.5548383276526371,0.8319581901361622,-0.8319581901361622,-0.5548383276526371
5622.526843855992,15.62406909486722,223.84488715342707,1.970453212426815,,-0.38910229012536185,0.9211945547975284,-0.9211945547975284,-0.38910229012536185
6328.646010068063,15.354402963144203,224.6513758415395,1.8245344820859046,,-0.25102416732599653,0.9679808197428119,-0.9679808197428119,-0.25102416732599653
7083.59856808159,15.17840742470072,225.54873445267958,1.710031652731831,-0.1610482048225211,-0.13878588142978227,0.990322411686854,-0.990322411686854,-0.13878588142978227
7879.30702980298,15.090158613452639,226.51576539014124,1.6173549478639309,-0.1741165883324761,-0.046541801997358426,0.9989163431647836,-0.9989163431647836,-0.046541801997358426
8704.82487687525,15.083732663315832,227.5312710572185,1.5393246093247734,-0.19600043388601568,0.031466522433600236,0.999504806362485,-0.999504806362485,0.031466522433600236
9547.482502623885,15.153205708206166,228.57405385720523,1.4706442606731298,-0.22545806819356928,0.09998472191533486,0.9949889724814938,-0.9949889724814938,0.09998472191533486
10393.602604027745,15.292653882039515,229.62291619339535,1.4072108825392329,-0.24779935471633668,0.162856823371224,0.98664971243993,-0.98664971243993,0.162856823371224
11228.987623404755,15.496153318731743,230.65666046908277,1.3455174454112746,-0.24611016264663596,0.2233782053788443,0.9747318489398947,-0.9747318489398947,0.2233782053788443
12039.308863534234,15.757780152198725,231.6540890875614,1.2821214600373956,-0.22580395532148753,0.28468217359619596,0.958621958861711,-0.958621958861711,0.28468217359619596
12810.498762132223,16.071610516356326,232.5940044521253,1.213070758381894,-0.19364733921461874,0.35014469064406734,0.9366956259040802,-0.9366956259040802,0.35014469064406734
13529.26244142977,16.431720545120427,233.45520896606823,1.133118441049531,-0.16235325156802002,0.42383738183616443,0.9057383031154417,-0.9057383031154417,0.42383738183616443
14183.900686144181,16.832186372406888,234.21650503268418,1.0344548509205687,-0.13651710041655424,0.5109946099423098,0.8595839159612955,-0.8595839159612955,0.5109946099423098
14765.83543936897,17.26708413213158,234.8566950552671,0.9045444626649999,-0.11591906370924976,0.6180437618403721,0.7861436945087287,-0.7861436945087287,0.6180437618403721
15272.680041892181,17.730489958210374,235.35458143711088,0.7229160278334665,-0.09927574999870681,0.7498797514127825,0.6615741518391145,-0.6615741518391145,0.7498797514127825
15714.400231794294,18.216479984559143,235.6889665815095,0.460274187617935,-0.08512073076487528,0.8959307387507343,0.44419377676447264,-0.44419377676447264,0.8959307387507343
16123.07462460381,18.719130345093753,235.8386528917568,0.09844390109986699,-0.0720649962021436,0.995158311187736,0.09828497151159096,-0.09828497151159096,0.995158311187736
16556.816474645213,19.232517173730077,235.78244277114675,-0.3112020702517064,-0.059079209400347145,0.9519661799921706,-0.3062031876140476,0.3062031876140476,0.9519661799921706
17076.668815346602,19.750952976195297,235.50085074060675,-0.6435092081925459,-0.04633930479144513,0.799995140318814,-0.6000064794881871,0.6000064794881871,0.799995140318814
17655.591424156162,20.27916008848036,235.04979309531285,-0.7313854037221167,-0.034061931465623266,0.744249803830357,-0.6679013620767126,0.6679013620767126,0.744249803830357
18222.14381500989,20.836135596700654,234.5885827717955,-0.6177288055230122,-0.022313790298713148,0.8151960002375394,-0.5791851872772789,0.5791851872772789,0.8151960002375394
18754.626508192752,21.437953612582273,234.26529877897374,-0.3640090275175065,-0.010936117426239365,0.9344770293506127,-0.3560234284123648,0.3560234284123648,0.9344770293506127
19276.840676964694,22.075164918916034,234.1072559810743,-0.12621847740064968,0.0005245497904313035,0.9920450173513757,-0.1258836109666788,0.1258836109666788,0.9920450173513757
19801.349118548387,22.728189172096148,234.09383361381813,0.079256383160717,0.012960991355621232,0.9968608565915633,0.07917343340669036,-0.07917343340669036,0.9968608565915633
20330.144708931024,23.377420428983417,234.20428978821883,0.2527208931359384,0.02804714466912898,0.9682356762355787,0.25003934735719036,-0.25003934735719036,0.9682356762355787
20857.645921227548,24.003252746438623,234.41788261528978,0.4018960725006465,0.04885057215677337,0.9203209733692388,0.391164039680007,-0.391164039680007,0.9203209733692388
21373.52435838523,24.58608018132255,234.7138702060444,0.5369627240379221,0.07977078811582677,0.8592662956372602,0.5115285262261056,-0.5115285262261056,0.8592662956372602
21871.909982577647,25.108184078091245,235.07285300626367,0.6685070317858525,0.12080374864318413,0.7847479043096739,0.6198150745516322,-0.6198150745516322,0.7847479043096739
