date,phi_deg,theta_deg,quadrupole_power,dipole_magnitude,lambda1,lambda2,lambda3,phi_unwrapped_deg
1973-01-02,130.08183494735135,90.0,0.5940389505355446,0.9806828336082425,0.6289286507562508,-0.29559531742291745,-0.3333333333333333,130.08183494735135
1973-02-01,126.32002474928339,90.0,0.5614943939901675,0.9709247343135083,0.6109794660116219,-0.2776461326782887,-0.3333333333333333,126.32002474928339
1973-03-03,121.99740975324784,90.0,0.4965432717494904,0.9478891435328888,0.5727926354761137,-0.23945930214278016,-0.3333333333333333,121.99740975324784
1973-04-02,118.60116199052096,90.0,0.3985560874162945,0.8953471687630263,0.5071732163464253,-0.1738398830130919,-0.3333333333333333,118.60116199052096
1973-05-02,118.24434334302411,90.0,0.3195693110040714,0.8105216035315181,0.4431649888472946,-0.10983165551396142,-0.3333333333333333,118.24434334302411
1973-06-01,120.15977134969445,90.0,0.2769489955195015,0.7124905911276841,0.4014882253584048,-0.06815489202507144,-0.3333333333333333,120.15977134969445
1973-07-01,122.97750029211743,90.0,0.25551332095523505,0.6182059463643416,0.3774350873190125,-0.04410175398567912,-0.3333333333333333,122.97750029211743
1973-07-31,126.0331895940317,90.0,0.24484422194484554,0.5406319928204868,0.3643754870037711,-0.03104215367043786,-0.3333333333333333,126.0331895940317
1973-08-30,129.0736966973996,90.0,0.24023346804306864,0.49259771972101263,0.3584566577720447,-0.02512332443871132,-0.3333333333333333,129.0736966973996
1973-09-29,132.01322704680746,90.0,0.23975420812014533,0.4847228749850286,0.3578309173170938,-0.02449758398376037,-0.3333333333333333,132.01322704680746
1973-10-29,134.81794096582635,90.0,0.24293716339150934,0.5187455105843874,0.3619491501679304,-0.028615816834596894,-0.3333333333333333,134.81794096582635
1973-11-28,137.44302052500115,90.0,0.2504513946737166,0.5859236057462596,0.37134290857941277,-0.03800957524607945,-0.3333333333333333,137.44302052500115
1973-12-28,139.76163390638473,90.0,0.2645645815354457,0.6732325191969056,0.3879107794344181,-0.054577446101084816,-0.3333333333333333,139.76163390638473
1974-01-27,141.3873642358702,90.0,0.2906949954676683,0.7675005968218901,0.41569309980279145,-0.08235976646945814,-0.3333333333333333,141.3873642358702
1974-02-26,141.23852272030055,90.0,0.3383737592092756,0.8529250439368643,0.45967442470611597,-0.1263410913727825,-0.3333333333333333,141.23852272030055
1974-03-28,137.69748092355923,90.0,0.39990506213857885,0.9073019982495912,0.5081621977296018,-0.17482886439626852,-0.3333333333333333,137.69748092355923
1974-04-27,131.76720062049228,90.0,0.41534566198944683,0.916648217231769,0.5192847286847518,-0.18595139535141822,-0.3333333333333333,131.76720062049228
1974-05-27,127.2139355014477,90.0,0.3636849639493001,0.8767420994195028,0.4805283378552919,-0.14719500452195858,-0.3333333333333333,127.2139355014477
1974-06-26,126.70669163836585,90.0,0.3154638415198248,0.7895700149592554,0.4394277112213814,-0.10609437788804812,-0.3333333333333333,126.70669163836585
1974-07-26,127.71867949066024,90.0,0.2974184981153776,0.6810979473928748,0.4223538108963981,-0.08902047756306468,-0.3333333333333333,127.71867949066024
1974-08-25,128.36160055429943,90.0,0.2928171565532738,0.5714347336421247,0.4178145214122399,-0.08448118807890659,-0.3333333333333333,128.36160055429943
1974-09-24,128.41810704826662,90.0,0.2925193053218119,0.4741180906618848,0.4175178562743156,-0.0841845229409821,-0.3333333333333333,128.41810704826662
1974-10-24,128.04097114709919,90.0,0.29310720573834254,0.4048276200599936,0.41810307917654543,-0.0847697458432122,-0.3333333333333333,128.04097114709919
1974-11-23,127.41945549659351,90.0,0.2932728118477909,0.3821131033784227,0.418267685326294,-0.08493435199296055,-0.3333333333333333,127.41945549659351
1974-12-23,126.75473511988062,90.0,0.2926514167372264,0.4145884266216551,0.41764948487396925,-0.08431615154063582,-0.3333333333333333,126.75473511988062
1975-01-22,126.29222853905189,90.0,0.2916511631915526,0.4911190806723357,0.41665116271080727,-0.08331782937747402,-0.3333333333333333,126.29222853905189
1975-02-21,126.35836850520177,90.0,0.29204225567097675,0.5935420997384752,0.41704197395984816,-0.08370864062651472,-0.3333333333333333,126.35836850520177
1975-03-23,127.30308436616286,90.0,0.29925199156695786,0.7073109968848178,0.4241402817229392,-0.09080694838960575,-0.3333333333333333,127.30308436616286
1975-04-22,128.83218207597346,90.0,0.32918312185354837,0.8185818609224845,0.4517249547297238,-0.11839162139639058,-0.3333333333333333,128.83218207597346
1975-05-22,128.29302063227587,90.0,0.40744781652436596,0.9050216429331127,0.513640116557072,-0.18030678322373878,-0.3333333333333333,128.29302063227587
1975-06-21,124.42582415493652,90.0,0.49965179511682356,0.9500972814529566,0.574701670342918,-0.24136833700958485,-0.3333333333333333,124.42582415493652
1975-07-21,120.32682511977374,90.0,0.5598974692436565,0.9705388690000414,0.6100800192943192,-0.2767466859609859,-0.3333333333333333,120.32682511977374
1975-08-20,117.10446889876812,90.0,0.5982624173925961,0.9818373027749726,0.6312071658300493,-0.29787383249671595,-0.3333333333333333,117.10446889876812
1975-09-19,114.77787537302177,90.0,0.6248401054146178,0.9891492672444552,0.6452967110370296,-0.3119633777036961,-0.3333333333333333,114.77787537302177
1975-10-19,113.2971226724092,90.0,0.642553374165143,0.9938405266830954,0.6544610431709866,-0.32112770983765315,-0.3333333333333333,113.2971226724092
1975-11-18,112.66075196298097,90.0,0.6508000635163158,0.9959834462232166,0.6586694089606752,-0.3253360756273419,-0.3333333333333333,112.66075196298097
