theta1,theta2,state
87.17294371527889,-0.0201034653245766,1
86.6713526501479,359.4075164065674,1
86.18607100007564,358.8212448581767,1
85.71788643162954,358.2212316757739,1
85.26749567479222,357.60774917696796,1
159.97444305118083,340.74016912949526,0
160.7348515067383,340.7086784298938,0
161.49527347014015,340.67751561580906,0
162.25570846046304,340.646672320642,0
163.01615601575202,340.61614038694427,0
163.77661569205554,340.58591185753335,0
164.53708706251206,340.5559789669082,0
165.29756971648462,340.5263341329453,0
166.0580632587403,340.4969699488551,0
166.81856730867156,340.4678791753799,0
167.5790814995567,340.43905473321445,0
168.33960547785688,340.4104896956314,0
169.10013890254703,340.38217728129337,0
169.86068144447864,340.35411084723415,0
170.62123278577187,340.3262838819916,0
171.3817926192353,340.29868999887486,0
172.14236064781105,340.27132292934834,0
172.90293658404337,340.24417651651504,0
173.6635201495693,340.2172447086815,0
174.4241110746292,340.1905215529859,0
175.18470909759563,340.16400118907114,0
175.94531396451927,340.13767784278343,0
176.70592542868988,340.1115458198767,0
177.46654325021103,340.0855994997019,0
178.22716719558704,340.0598333288594,0
178.9877970373207,340.03424181479113,0
179.74843255352002,340.00881951928886,0
180.50907352751292,339.9835610518909,0
181.26971974746792,339.9584610631404,0
182.03037100601958,339.93351423767433,0
182.7910270998969,339.9087152871098,0
183.55168782955312,339.8840589426925,0
184.312352998795,339.85953994766714,0
185.07302241440996,339.8351530493274,0
185.8336958857888,339.8108929906969,0
186.5943732245421,339.7867545017891,0
187.3550542441077,339.76273229038674,0
188.1157387593471,339.7388210322757,0
188.87642658612756,339.71501536086043,0
189.63711754088698,339.69130985607745,0
190.39781144017806,339.6676990325158,0
191.15850810018793,339.64417732663946,0
191.91920733622857,339.62073908299254,0
192.67990896219325,339.5973785392544,0
193.44061278997336,339.5740898099903,0
194.2013186288287,339.55086686892304,0
194.9620262847041,339.52770352952535,0
195.72273555948365,339.5045934237023,0
196.483446250172,339.48152997829834,0
197.24415814799147,339.4585063891217,0
198.004871037381,339.43551559213006,0
132.87667809299683,309.1979265965698,1
133.27732821635882,308.55086234008206,1
133.68809164710018,307.9101704659598,1
134.10876653739984,307.27594234414937,1
134.53915073115698,306.64826239400946,1
