theta1,theta2,omega1,omega2,state,impulse
87.17294371527889,-0.02010346532457666,-21.16059599043431,-3.7248875766401954,1,0
87.1150091608903,-0.030301651708259606,-21.14979806238989,-3.74582577532721,1,0
87.05713373273329,-0.040614489419455294,-21.128503408373945,-3.7878513185498566,1,0
86.99931578151522,-0.05104279513632179,-21.107809572646147,-3.830177516916325,1,0
86.94155366662709,-0.061587398478545365,-21.087713342791176,-3.8728091034713614,1,0
86.88384575636647,-0.07224914204102466,-21.068211421807064,-3.915750822606647,1,0
86.82619042817777,-0.08302888142231893,-21.04930042205342,-3.9590074280767347,1,0
86.76858606890826,-0.09392748524746809,-21.03097685873763,-4.002583680772688,1,0
86.71103107508407,-0.10494583518425016,-21.013237143111837,-4.046484346385899,1,0
86.65352385320334,-0.11608482595320882,-20.996077575920935,-4.0907141929848905,1,0
86.59606282004822,-0.12734536533064242,-20.97949434009388,-4.135277988299304,1,0
86.53864640301802,-0.13872837414375944,-20.963483493300373,-4.180180496864317,1,0
86.4812730404819,-0.15023478625803088,-20.948040960141952,-4.225426476925772,1,0
86.42394118215483,-0.16186554855539953,-20.933162523901046,-4.271020677125168,1,0
86.36664928949543,-0.1736216209034801,-20.918843818284586,-4.31696783303558,1,0
86.30939583612727,-0.1855039761148004,-20.905080318729233,-4.363272663448516,1,0
86.25217930828404,-0.1975135998956691,-20.89186733331553,-4.40993986637725,1,0
86.19499820528091,-0.20965149078353276,-20.87919999321639,-4.456974114800801,1,0
86.13785104001181,-0.2219186600725387,-20.867073243049163,-4.5043800522308075,1,0
86.08073633947367,-0.23431613172661728,-20.855481830993085,-4.5521622880218615,1,0
86.0236526453178,-0.2468449422793661,-20.844420298124533,-4.60032539223662,1,0
85.9665985144326,-0.25950614071901495,-20.833882967204772,-4.64887389021704,1,0
85.90957251955625,-0.2723007883585833,-20.823863931593223,-4.697812256974203,1,0
85.85257324992013,-0.2852299586901263,-20.81435704348769,-4.747144911167254,1,0
