date,mean_direction,direction_std,mean_magnitude,zach_75W_parallel,adhikari_100W_parallel,greenland_45_parallel
1978-01-01,64.11589047919625,56.98167151455137,14.46354887671931,-8.409293829817775,-8.942532423137443,4.03996987997052
1978-01-31,62.58128490791023,57.17545733556058,13.971007293699468,-8.21829247654628,-8.70606609562636,4.139553544043922
1978-03-02,61.03960535481963,57.352856652516316,13.48199447291917,-8.021918365019593,-8.46468711470308,4.2319619973098925
1978-04-01,59.49123139665278,57.510890635841726,12.998764019716589,-7.8210597963434845,-8.219463586132216,4.316913625512477
1978-05-01,57.93673554957172,57.6468034037715,12.523482675834996,-7.616636740509703,-7.971488403186895,4.39419302658453
1978-05-31,56.37689890115712,57.758023583059526,12.058207330376536,-7.409590774923812,-7.721867347088397,4.463653061652564
1978-06-30,54.812724333049516,57.842136259649095,11.604864443872186,-7.200875965955925,-7.471708113431722,4.525217799875057
1978-07-30,53.245448508379866,57.8968804146766,11.165232689076216,-6.99144785916089,-7.222107683973686,4.578882508755088
1978-08-29,51.67654997203101,57.92017699995145,10.740928697236365,-6.782251084918376,-6.974138639306541,4.624710608447638
1978-09-28,50.107748334229484,57.91018639834032,10.33339550572772,-6.574206415922461,-6.728835310551638,4.662827942179277
1978-10-28,48.540988841762385,57.865387071521,9.943893146183395,-6.368198311833598,-6.4871808298136,4.693415096648402
1978-11-27,46.97840841263928,57.78466126467772,9.573490837609835,-6.16506400156528,-6.2500961119039635,4.716698762262533
1978-12-27,45.42228340927977,57.66737043507231,9.22306045502971,-5.9655849895778665,-6.018431596703764,4.732943208502091
1979-01-26,43.87496499839398,57.513404134140224,8.893271259389131,-5.7704815457143885,-5.792962226659257,4.742442834632516
1979-02-25,42.33881297696689,57.32319170518157,8.584586202401654,-5.580410321158939,-5.574385704155637,4.745516477400853
1979-03-27,40.81614152671034,57.09767489566874,8.297260336554215,-5.395964798684704,-5.363323642578856,4.742503770664506
1979-04-26,39.30918957956669,56.83824878434909,8.031341923634287,-5.217677934449387,-5.160324891802075,4.7337634533441495
1979-05-26,37.82012487849323,56.546685843339525,7.786676708540835,-5.046026113225077,-4.965870111200901,4.71967316426274
1979-06-25,36.35108611560844,56.225061917045494,7.562915533041497,-4.881433455825391,-4.780376613201322,4.700630002805481
1979-07-25,34.904263887144,55.875702970440294,7.359525064896553,-4.724275596078732,-4.604202610966293,4.677051017006667
1979-08-24,33.48202038565893,55.501168388532726,7.175801012107022,-4.574882278811345,-4.4376502630846595,4.649372834066317
1979-09-23,32.087050653772906,55.104281862810225,7.010882877244042,-4.433538474640642,-4.2809672669052565,4.618049856133186
1979-10-23,30.722595064096595,54.68821585667423,6.8637691584195,-4.300484064487828,-4.134347110900504,4.583550736292395
1979-11-22,29.392723853605332,54.25663038596654,6.7333319638181655,-4.175912470395406,-3.9979284097226877,4.546353182591554
1979-12-22,28.102730433066768,53.813861087779316,6.618330318188475,-4.059968851961344,-3.8717939670146078,4.506937465202041
1980-01-21,26.859690739144867,53.36514475014702,6.517422041974992,-3.952748612344481,-3.75597030774235,4.465779267303338
1980-02-20,25.673267674178476,52.916863921182554,6.4291750769304645,-3.8542969435053176,-3.65042837782835,4.423342678594673
1980-03-21,24.556847931559275,52.47679478863435,6.352080733468914,-3.764609982944183,-3.555085925227947,4.380074147953733
1980-04-20,23.529048937495645,52.0543832585163,6.284573842877646,-3.683637882356325,-3.4698117871328735,4.336398083342283
1980-05-20,22.615414426758548,51.661218454903505,6.225068304554351,-3.6112897469218357,-3.394431960711877,4.29271453055929
1980-06-19,21.84949412884248,51.31217581225587,6.172019856523592,-3.547440051294536,-3.328736989778825,4.249399020938651
1980-07-19,21.271189812924888,51.02783723715732,6.124026063106888,-3.491935845508671,-3.2724899275585986,4.206804312546497
