window,axis_angle,anisotropy,planarity
3,-147.80541468341173,0.5400909873427683,0.8515398764937192
7,-147.77341330692923,0.5401013459281983,0.8515043658731062
15,-147.68353069978718,0.5401727905927467,0.8512594810684041
31,-147.40688991891517,0.5405284675870416,0.850041320606244
61,-146.57905082235686,0.542041313494993,0.844877825920989
