date,lambda1,lambda2,variance_ratio,principal_angle
1975-01-02,561.346231826291,11.275579882241058,0.9803088536767434,128.4050298803033
1975-01-03,555.4076613267647,11.240625175534793,0.9801629592054028,128.33854734135366
1975-01-04,549.5103145826353,11.205991676573095,0.9800148639312215,128.2719014691773
1975-01-05,543.6541717828131,11.171680229976184,0.9798645283210078,128.20509237304037
1975-01-06,537.8392102383775,11.13769167277803,0.9797119120421928,128.13812019594556
1975-01-07,532.0654043996101,11.104026834549657,0.9795569739458281,128.07098511583257
1975-01-08,526.3327258732493,11.07068653751636,0.9793996720492454,128.00368734681632
1975-01-09,520.6411434399641,11.037671596672379,0.9792399635183663,127.93622714046444
1975-01-10,514.9906230720424,11.004982819890586,0.9790778046496618,127.86860478711445
1975-01-11,509.3811279512945,10.972621008027527,0.9789131508517578,127.80082061723243
1975-01-12,503.812618487167,10.940586955024077,0.9787459566266795,127.7328750028144
1975-01-13,498.2850523350668,10.908881447999715,0.9785761755507337,127.66476835883132
1975-01-14,492.79838441488977,10.877505267343476,0.9784037602550203,127.5965011447197
1975-01-15,487.35256692975486,10.846459186796492,0.9782286624055764,127.52807386591843
1975-01-16,481.94754938494,10.815743973530793,0.9780508326831425,127.45948707545396
1975-01-17,476.5832786070159,10.785360388219452,0.9778702207625533,127.39074137557493
1975-01-18,471.2596987631786,10.755309185103041,0.9776867752917414,127.32183741943767
1975-01-19,465.9767513807739,10.72559111204564,0.977500443870365,127.25277591284444
1975-01-20,460.7343753670163,10.696206910585085,0.9773111730280437,127.18355761603588
1975-01-21,455.532507028895,10.667157315975999,0.9771189082022055,127.11418334553916
1975-01-22,450.37108009326914,10.638443057222958,0.9769235937155464,127.04465397607372
1975-01-23,445.2500257271445,10.610064857106495,0.9767251727530959,126.97497044251637
1975-01-24,440.16927255813613,10.582023432198566,0.9765235873388914,126.90513374192734
1975-01-25,435.12874669510757,10.554319492870317,0.9763187783122574,126.83514493563932
1975-01-26,430.128371748988,10.526953743288495,0.9761106853036932,126.76500515141157
1975-01-27,425.1680688537649,10.499926881401645,0.9758992467103682,126.6947155856504
1975-01-28,420.24775668764875,10.473239598916589,0.9756843996712234,126.62427750569886
1975-01-29,415.36735149440574,10.446892581261624,0.9754660800416878,126.55369225219737
1975-01-30,410.52676710486065,10.420886507539295,0.9752442223680033,126.48296124151702
1975-01-31,405.72591495856307,10.395222050466598,0.9750187598611675,126.41208596826873
1975-02-01,400.964704125616,10.369899876300954,0.9747896243704975,126.3410680078895
1975-02-02,396.2430413286653,10.344920644754302,0.9745567463568175,126.2699090193087
1975-02-03,391.5608309650464,10.320285008891867,0.9743200548652773,126.19861074769673
1975-02-04,386.9179751290868,10.295993615016243,0.9740794774978087,126.12717502729843
1975-02-05,382.31437363456007,10.272047102536629,0.9738349403852266,126.0556037843537
1975-02-06,377.7499240372931,10.248446103821253,0.973586368158985,125.98389904010807
1975-02-07,373.22452165791844,10.225191244033644,0.9733336839225951,125.91206291391612
1975-02-08,368.7380596047754,10.202283140950309,0.9730768092227219,125.84009762644007
1975-02-09,364.2904287969522,10.179722404762085,0.9728156640199646,125.76800550294665
1975-02-10,359.88151798747094,10.157509637854252,0.9725501666593421,125.69578897670524
1975-02-11,355.51121378661173,10.135645434568108,0.9722802338404962,125.62345059249019
1975-02-12,351.1794006853721,10.114130380942123,0.972005780587625,125.5509930101903
1975-02-13,346.8859610790626,10.092965054430314,0.9717267202191762,125.47841900852909
1975-02-14,342.6307752910333,10.072150023599919,0.9714429643173077,125.40573148889835
1975-02-15,338.4137215965311,10.05168584780422,0.9711544226971514,125.33293347930916
1975-02-16,334.23467624668524,10.031573076832009,0.9708610033758929,125.26002813846347
1975-02-17,330.09351349261743,10.011812250531756,0.970562612541702,125.18701875994948
1975-02-18,325.9901056096775,9.992403898409526,0.9702591545225392,125.11390877656511
1975-02-19,321.9243229217989,9.97334853919897,0.9699505317548726,125.0407017647727
1975-02-20,317.89603382597465,9.954646680404064,0.9696366447523346,124.96740144928934
1975-02-21,313.90510481685163,9.936298817811165,0.9693173920743603,124.8940117078161
1975-02-22,309.95140051143875,9.918305434971622,0.9689926702948441,124.82053657591082
1975-02-23,306.03478367393075,9.900667002651087,0.9686623739708583,124.7469802520085
1975-02-24,302.15511524064186,9.883383978247132,0.9683263956114783,124.67334710259293
1975-02-25,298.3122543450518,9.866456805171273,0.967984625646767,124.599641667525
1975-02-26,294.5060583429579,9.84988591219595,0.9676369523969659,124.52586866553128
1975-02-27,290.7363828377347,9.833671712764284,0.967283262041954,124.45203299985761
1975-02-28,287.0030817056982,9.81781460426061,0.9669234385910342,124.37813976409294
1975-03-01,283.306007121573,9.802314967242069,0.9665573638531086,124.30419424816766
1975-03-02,279.64500958406063,9.787173164627328,0.9661849174073172,124.23020194453143
1975-03-03,276.0199379415092,9.772389540843609,0.9658059765742065,124.15616855451589
1975-03-04,272.4306394176796,9.757964420927147,0.9654204163875163,124.08209999488712
1975-03-05,268.8769596376093,9.74389810957918,0.9650281095666554,124.00800240459323
1975-03-06,265.3587426535731,9.73019089017155,0.9646289264899699,123.93388215171247
1975-03-07,261.8758309711364,9.716843023704095,0.964222735168885,123.85974584060736
1975-03-08,258.42806557530196,9.70385474770918,0.9638094012230278,123.78560031929074
1975-03-09,255.0152859567493,9.691226275102423,0.9633887878564391,123.711452687009
1975-03-10,251.63733013816392,9.678957792977734,0.962960755834982,123.6373103020489
1975-03-11,248.29403470065628,9.667049461344725,0.9625251634650684,123.56318078977355
1975-03-12,244.98523481027001,9.655501411805675,0.9620818665738344,123.4890720508942
1975-03-13,241.71076424457726,9.644313746170596,0.9616307184908928,123.41499226998329
1975-03-14,238.47045541936154,9.6334865350077,0.9611715700318075,123.34094992423609
1975-03-15,235.2641394153856,9.623019816127318,0.9607042694834406,123.26695379248638
1975-03-16,232.09164600524684,9.612913592996131,0.9602286625913282,123.19301296448361
1975-03-17,228.95280368031501,9.60316783308043,0.9597445925492535,123.11913685043767
1975-03-18,225.84743967775648,9.593782466114629,0.9592518999911912,123.04533519083817
1975-03-19,222.7753800076412,9.584757382293292,0.9587504229858125,122.97161806655527
1975-03-20,219.7364494801335,9.576092430383373,0.9582399970337419,122.89799590922868
1975-03-21,216.73047173276677,9.56778741575428,0.9577204550677746,122.8244795119523
1975-03-22,213.7572692578002,9.559842098322507,0.9571916274562701,122.75108004026116
1975-03-23,210.81666342965985,9.552256190408563,0.9566533420099471,122.67780904342823
1975-03-24,207.90847453246204,9.545029354501995,0.9561054239923231,122.60467846607793
1975-03-25,205.03252178762006,9.53816120093303,0.9555476961340433,122.53170066012402
1975-03-26,202.1886233815351,9.531651285445625,0.9549799786513683,122.45888839703892
1975-03-27,199.37659649337002,9.525499106670415,0.9544020892690912,122.38625488046172
1975-03-28,196.5962573229075,9.519704103493261,0.953813843248173,122.31381375915264
1975-03-29,193.84742111849363,9.514265652315974,0.9532150534184021,122.24157914030042
1975-03-30,191.1299022050662,9.509183064205622,0.9526055302163902,122.16956560319082
1975-03-31,188.4435140122693,9.5044555819295,0.9519850817292341,122.09778821324291
1975-04-01,185.7880691026544,9.500082376870415,0.9513535137441943,122.0262625364202
1975-04-02,183.16337919997045,9.49606254582053,0.9507106298047394,121.95500465402411
1975-04-03,180.56925521754152,9.49239510764788,0.9500562312733436,121.884031177876
1975-04-04,178.0055072867352,9.489078999832872,0.9493901174014182,121.81335926589493
1975-04-05,175.47194478552206,9.4861130748701,0.9487120854067883,121.74300663807776
1975-04-06,172.96837636712823,9.483496096530997,0.9480219305591402,121.67299159288706
1975-04-07,170.49460998878115,9.481226735984043,0.9473194462738708,121.60333302405371
1975-04-08,168.05045294055202,9.479303567767152,0.9466044242148052,121.53405043779924
1975-04-09,165.63571187429426,9.477725065608013,0.9458766544062481,121.46516397048319
1975-04-10,163.25019283268242,9.476489598088326,0.945135925354865,121.3966944066806
1975-04-11,160.89370127835085,9.475595424147137,0.9443820241818947,121.32866319769322
1975-04-12,158.56604212313545,9.475040688418055,0.9436147367662248,121.26109248049892
1975-04-13,156.2670197574202,9.47482341639641,0.9428338478988677,121.19400509714173
1975-04-14,153.9964380795907,9.47494150943119,0.9420391414493973,121.12742461456496
1975-04-15,151.75410052559602,9.475392739536993,0.9412304005449224,121.06137534488906
1975-04-16,149.53981009862258,9.476174744021149,0.9404074077621919,120.99588236613431
1975-04-17,147.3533693988805,9.477285019920778,0.9395699453334385,120.93097154338838
1975-04-18,145.19458065350628,9.47872091824584,0.9387177953665862,120.86666955041672
1975-04-19,143.06324574658294,9.480479638021743,0.9378507400804665,120.80300389171283
1975-04-20,140.95916624928094,9.48255822012804,0.9369685620556933,120.74000292498461
1975-04-21,138.88214345012148,9.484953540927478,0.9360710445018702,120.67769588407016
1975-04-22,136.83197838536444,9.48766230568075,0.935157971541811,120.61611290227586
1975-04-23,134.80847186952406,9.49068104174207,0.9342291285134696,120.5552850361272
1975-04-24,132.8114245260136,9.494006091531046,0.9332843022902841,120.49524428952076
1975-04-25,130.84063681792202,9.497633605275992,0.9323232816206489,120.43602363826307
