phi,r,theta1,theta2,state
87.19304718060347,87.15284024995431,0.0,0.0,1
86.8849965355,86.72728736599525,86.80614195074762,359.9211454152476,1
86.57723214063272,86.29732713419189,86.4372796374123,359.8600474967796,1
86.26992170891884,85.86292979507027,86.06642575199456,359.79650404307574,1
85.96323847828951,85.42406508750513,85.69365178289732,359.7304133046078,1
85.65736126059825,84.98070216899104,85.31903171479465,359.6616704541964,1
85.35247448746145,84.5328095325175,84.94264200998947,359.590167522528,1
85.04876825311638,84.08035492025051,84.56456158668345,359.51579333356705,1
84.74643835440956,83.6233052342601,84.18487179433484,359.4384334399253,1
84.44568632805624,83.16162644457064,83.80365638631343,359.3579700582572,1
84.14671948533957,82.69528349485081,83.4210014900952,359.2742820047556,1
83.8497509444464,82.22424020610129,83.03699557527383,359.1872446308274,0
84.3741419911046,82.62534806195805,83.49974502653131,359.1256030354267,0
84.90662763652253,83.03395525436758,83.97029144544506,359.0636638089225,0
85.44735810794235,83.45006702364239,84.44871256579236,359.00135445785,0
85.99648520726436,83.87368729092067,84.9350862490925,358.9386010418282,0
86.55416236157754,84.30481850802335,85.42949043480044,358.87532807322293,0
87.12054467210638,84.7434615001178,85.93200308611209,358.8114584140057,0
87.69578896105531,85.1896153005888,86.44270213082206,358.74691316976674,0
88.2800538157673,85.64327697748286,86.96166539662508,358.68161158085775,0
88.87349962954191,86.10444145085793,87.48897054019992,358.615470910658,0
89.47628863838187,86.57310130033662,88.02469496935925,358.5484063309774,0
90.08858495285408,87.0492465621277,88.56891575749088,358.4803308046368,0
90.71055458416117,87.53286451474938,89.12170954945528,358.4111549652941,0
91.34236546342382,88.02393945265739,89.68315245804061,358.3407869946168,0
91.98418745307013,88.52245244695446,90.2533199500123,358.2691324969422,0
92.63619234911828,89.0283810923334,90.83228672072585,358.19609437160756,0
93.29855387301986,89.54169923938717,91.42012655620351,358.1215726831837,0
93.9714476516068,90.06237671140522,92.016912181506,358.0454645298992,0
94.65505118355091,90.5903790047686,92.62271509415976,357.96766391060885,0
95.34954379060575,91.12566697205682,93.23760538133129,357.88806159072556,0
96.05510655175286,91.6681964869906,93.86165151937172,357.8065449676189,0
96.77192221822094,92.21791809035578,94.49492015428837,357.72299793606743,0
97.5001751071869,92.77477661608948,95.1374758616382,357.6373007544513,0
98.240050971803,93.33871079675934,95.78938088428117,357.5493299124782,0
98.99173684502553,93.90965284773503,96.45069484638029,357.45895800135474,0
99.75542085454985,94.48752802943905,97.12147444199445,357.3660535874446,0
100.53129200598421,95.07225418717458,97.8017730965794,357.2704810905952,0
101.3195399312251,95.66374126816486,98.49164059969497,357.17210066846985,0
102.1203545988306,96.26189081560312,99.19112270721686,357.07076810838623,0
102.93392598302997,96.86659543970967,99.90026071136981,356.96633472833986,0
103.76044368786019,97.477738266024,100.61909097694209,356.8586472890819,0
104.60009652278917,98.09519236143115,101.34764444211015,356.747547919321,0
105.45307202607457,98.71882013873297,102.08594608240377,356.63287405632923,0
106.31955593202359,99.34847274093302,102.8340143364783,356.51445840445473,0
107.19973157826949,99.98398940680839,103.59186049253894,356.39212891426945,0
108.09377924917139,100.62519681979842,104.35948803448491,356.2657087853135,0
109.00187545148556,101.27190844274864,105.1368919471171,356.13501649563153,0
109.92419211855628,101.92392384161212,105.9240579800842,355.99986586152795,0
110.86089573944398,102.58102800182846,106.72096187063622,355.86006613119224,0
111.81214640965847,103.24299064177416,107.5275685257163,355.7154221160578,0
112.77809680050696,103.909565528404,108.34383116445548,355.56573436394854,0
113.75889104451264,104.58048980097858,109.16969042274562,355.410799378233,0
114.75466353492308,105.25548330959253,110.00507342225781,355.25040988733474,0
115.7655376380196,105.934247976074,110.8498928070468,355.0843551690272,0
116.79162431777287,106.61646718570746,111.70404575174017,354.9124214339673,0
117.83302067337688,107.30180521912662,112.56741294625175,354.73439227287486,0
118.88980839134256,107.98990673461527,113.43985756297891,354.5500491716364,0
119.96205211515328,108.68039631192106,114.32122421353716,354.3591720983839,0
121.0497977369806,109.37287806950793,115.21133790324427,354.16154016626365,0
122.15307061763244,110.06693536791913,116.11000299277578,353.95693237514337,0
123.27187374275505,110.76213061256415,117.0170021776596,353.74512843490453,0
124.40618582532409,111.45800516974573,117.9320954975349,353.52590967221084,0
125.55595936662651,112.15407941006899,118.85501938834776,353.29906002172123,0
126.72111869022898,112.84985289348664,119.78548579185781,353.0643671016288,0
127.90155796582081,113.54480471008893,120.72318133795487,352.82162337213407,0
129.0971392422691,114.23839399030602,121.66776661628757,352.57062737401844,0
130.30769051168116,114.93006059741357,122.61887555454737,352.3111850428662,0
131.53300382867545,115.6192260140831,123.57611492137927,352.04311109270384,0
132.7728335113461,116.3052944331682,124.53906397225715,351.76623046091106,0
134.0268944524915,116.98765406094104,125.50727425671627,351.48037980422475,0
135.29486057147457,117.66567863857895,126.48026960502676,351.1854090335522,0
136.5763634385026,118.33872918484838,127.45754631167549,350.88118287317286,0
137.87099110405853,119.00615595965637,128.43857353185746,350.5675824277989,0
139.17828716659025,119.66730064447077,129.4227939055305,350.24450673894023,0
140.49775011127525,120.3214987315993,130.4096244214373,349.91187431016203,0
141.8288329516439,120.96808211003412,131.398457530839,349.5696245791951,0
143.17094320399292,121.60638183110251,132.38866251754771,349.21771931355477,0
144.52344322180193,122.23573103262446,133.3795871272132,348.8561439054113,0
145.88565091375187,122.85546799578793,134.3705594547699,348.48490854101806,0
147.25684086443516,123.46493930465448,135.36089008454482,348.1040492201097,0
148.63624587147837,124.06350307424599,136.34987447286218,347.7136286013838,0
150.02305890663806,124.65053220969244,137.33679555816525,347.31373665152717,0
151.41643550158412,125.2254176560871,138.3209265788356,346.90449107725146,0
152.8154965516971,125.78757159663863,139.30153407416788,346.4860375224708,0
154.21933152345215,126.33643055555011,140.27788103950112,346.05854951604897,0
155.62700204304755,126.87145836188736,141.24923020246746,345.62222815941993,0
157.03754583609066,127.39214893158822,142.21484738383944,345.1773015477488,0
158.44998098061976,127.89802882673713,143.17400490367845,344.72402392305867,0
159.8633104287627,128.38865955427144,144.12598499151707,344.26267456275434,0
161.27652674615163,128.86363957034195,145.0700831582468,343.79355641209514,0
162.68861701304758,129.3226059615217,146.00561148728463,343.31699447423705,0
164.09856782716727,129.76523577980848,146.93190180348788,342.8333339763206,0
165.5053703455988,130.19124701472745,147.84830868016314,342.34293833456434,0
166.90802530204198,130.60039919261573,148.75421224732884,341.8461869452869,0
168.3055479359629,130.99249360014787,149.64902076805538,341.3434728320925,0
169.69697277209963,131.36737313612144,150.53217295411054,340.8352001820109,0
171.08135819203275,131.72492180224833,151.40313999714056,340.3217818051078,0
172.45779074412155,132.06506384998886,152.2614272970552,339.80363655293365,0
173.82538914384097,132.38776260614222,153.1065758749916,339.2811867311506,0
175.1833079232311,132.69301900481813,153.93816346402463,338.7548555407935,0
176.53074069556135,132.98086985744771,154.75580527650453,338.2250645809432,0
177.86692300916863,133.25138589557136,155.55915445237,337.69223144320136,0
179.1911347725024,133.50466962323222,156.3479021978673,337.15676742536493,0
180.50270224045568,133.74085301691113,157.1217776286834,336.6190753882277,0
181.80099955985244,133.9600951111,157.88054733547622,336.0795477756238,0
183.08544987929864,134.16257950689766,158.62401469309816,335.5385648137995,0
184.35552603531445,134.34851183952009,159.35201893741726,334.99649290210283,0
185.61075083261846,134.5181172384581,160.06443403553828,334.4536832029198,0
186.85069694153276,134.6716378113171,160.76116737642494,333.9104704348922,0
188.0749864396654,134.80933017926404,161.44215830946473,333.36717186979934,0
189.2832900282815,134.93146308861594,162.10737655844872,332.8240865301672,0
190.47532595610784,135.03831511955607,162.75682053783197,332.28149458172413,0
191.65085868476723,135.13017250936903,163.39051559706814,331.7396569123009,0
192.80969733067232,135.20732710404653,164.00851221735942,331.1988148866871,0
193.9516939181017,135.27007444871322,164.61088418340745,330.65919026530577,0
195.07674147742762,135.31871202412714,165.19772675077738,330.1209852733498,0
196.18477202116358,135.353537633571,165.7691548273673,329.58438280620373,0
197.2757544287524,135.37484794180784,166.32530118528013,329.0495467565277,0
198.34969226891948,135.38293716544644,166.86631471718295,328.5166224482635,0
199.40662158607032,135.37809591205936,167.39235874906484,327.9857371629945,0
200.44660867469915,135.3606101637167,167.90360941920792,327.4570007445088,0
201.4697478631781,135.33076039923068,168.4002541312044,326.9305062680263,0
202.47615932568132,135.2888208483334,168.88249008700734,326.40633076132605,0
203.46598693842344,135.23505887020804,169.35052290431574,325.88453596589227,0
204.43939619390406,135.16973444823836,169.8045653210712,325.3651691271672,0
205.39657218448738,135.09309979250182,170.2448359884946,324.8482638040072,0
206.3377176644361,135.00539904138267,170.6715583529094,324.3338406884733,0
207.26305119747985,134.90686805369072,171.08495962558527,323.8219084281054,0
208.17280539514485,134.797734282815,171.48526983897992,323.3124644438351,0
209.0672252494054,134.67821672469213,171.87272098704875,322.80549573764335,0
209.94656656174283,134.5485259317044,172.24754624672363,322.3009796849808,0
210.81109446940667,134.40886408501885,172.60997927721274,321.7988848078061,0
211.66108206855984,134.25942511832295,172.9602535934414,321.29917152488156,0
212.4968091330455,134.10039488638114,173.2986020097133,320.80179287666783,0
213.3185609267233,133.931951372323,173.62525614952315,320.3066952227998,0
214.12662710667757,133.75426492806236,173.94044601736996,319.81381891069236,0
214.92130071408397,133.56749854272883,174.2443996284064,319.32309891432243,0
215.70287724912077,133.3718081344638,174.53734269179228,318.8344654426715,0
216.47165382601494,133.16734286138205,174.8194983436985,318.34784451768354,0
217.2279284041055,132.95424544792832,175.0910869260169,317.8631585219114,0
217.97199909067902,132.73265252325825,175.35232580696862,317.38032671628963,0
218.70416351126926,132.50269496864627,175.60342923995776,316.89926572868853,0
219.42471824310834,132.26449827126575,175.84460825718705,316.4198900140787,0
220.13395830745762,132.01818288200167,176.07607059472963,315.94211228727204,0
220.832176716627,131.76386457523972,176.29802064593338,315.46584392930635,0
221.51966407160216,131.50165480883322,176.5106594402177,314.99099536861553,0
222.19670820633442,131.2316610826772,176.7141846445058,314.5174764381714,0
222.86359387490248,130.9539872945231,176.9087905847128,314.0451967098103,0
223.5206024779223,130.66873409184583,177.09466828488405,313.57406580696176,0
224.16801182475854,130.37599921873064,177.27200552174457,313.10399369698604,0
224.80609592827395,130.07587785688312,177.44098689257854,312.6348909643046,0
225.43512482903827,129.76846295998095,177.60179389450963,312.16666906547135,0
226.0553644461043,129.4538455806844,177.75460501339435,311.6992405672901,0
226.66707645164286,129.1321151897054,177.8995958206741,311.23251936903125,0
227.27051816690937,128.80335998640334,178.03693907665635,310.766420909747,0
227.865942477191,128.46766720043234,178.1668048388117,310.30086236162066,0
228.45359776355437,128.1251233840087,178.28936057378155,309.83576281022715,0
229.0337278493787,127.77581469440435,178.40477127189152,309.3710434225128,0
229.60657195981722,127.41982716629829,178.51319956305775,308.9066276032405,0
230.1723646924816,127.05724697363954,178.6148058330606,308.442441140579,0
230.7313359977875,126.68816068068975,178.70974833923862,307.97841234145113,0
231.28371116753786,126.31265548192441,178.79818332473113,307.51447215719327,0
231.8297108304497,125.93081943047866,178.88026513046418,307.0505543000145,0
232.36955095345485,125.54274165482862,178.95614630414173,306.5865953506869,0
232.9034428477207,125.1485125634022,179.02597770556144,306.1225348578408,0
233.43159317844862,124.74822403681638,179.0899086076325,305.65831542918386,0
233.95420397761143,124.34196960744,179.1480867925257,305.1938828149143,0
234.47147265888987,123.92984462598554,179.2006586424377,304.72918598354784,0
234.98359203416086,123.51194641483758,179.24776922449922,304.2641771903384,0
