x_center,y_center
21.864400818711093,223.2079076453
15.573933245681763,230.98284436187328
19.552075002161313,235.56914611273237
20.937177056096175,234.66177668046876
22.27469679231558,234.17876375968655
23.547896623077904,234.15807968514738
24.713948804446062,234.61531226371582
25.714206650046307,235.5299665536316
26.491570067323938,236.8446083850795
27.004862780540588,238.47678034082193
27.23329806206068,240.336861352486
27.170939458777035,242.34272116338917
26.81710785716815,244.42507354808424
26.17039305550819,246.52353581059694
25.23066130213807,248.57865407603947
24.007746723075666,250.52653613964998
22.531189340457985,252.29993320410577
20.854977104536115,253.8349788386732
19.054577358667597,255.07948410654296
17.85219785990714,253.67065929066663
18.225414767950898,252.86160428400987
18.21617487221584,252.2072429469013
17.811102917803417,251.8144258505568
17.030335449157228,251.76272584963627
15.909251110825334,252.0957553764644
14.485667773847027,252.8265523753128
12.798725194526122,253.9494119150786
11.620843314005537,253.32879311053563
10.475557581067264,252.53889092619764
9.928281070084246,252.24187426627867
10.032851735403277,253.31526000020952
9.834415029652435,254.15571193584154
9.30352423566735,253.912047641596
8.810233394438352,253.91526550282768
8.727744048612529,255.14954288213275
8.211030705539361,255.9212855154721
7.7823151594819135,256.2023236755111
7.465839317961497,255.9760666811334
7.262283666042097,255.24823836909545
7.145925520343483,254.06496335804397
7.078950815109948,252.52168547033
7.033160234855111,250.75406621074856
7.004525727457668,248.9123262953208
7.010391496130074,247.13062290824539
7.069911789031724,245.50678862535113
7.1790318338338555,244.10259251671442
7.295428548254582,242.96338967125288
7.343843312345366,242.14505878672685
7.241142009497015,241.73179700230395
6.92960157928188,241.83304643694188
6.4023795804369685,242.55887376116502
5.709179415596315,243.98434581114287
4.9402177728648065,246.1188281043722
4.197049538099043,248.8932578393242
3.564134957088063,252.16945470625615
3.0929501626714138,255.76554662879337
1.1148850911940433,256.4934586545017
0.434556434971661,256.5232949389085
1.1200998663477162,257.4773075871684
1.792621823379276,258.1031553320495
1.628633209059654,258.3793789290466
1.9536405289627066,259.2239782248478
2.2532829814798534,259.57540529427405
2.107101258435447,260.0025416628794
2.11446837623258,260.7026860950985
2.44319869320951,260.85389658505227
2.009767039004011,261.30936805211553
1.8313399743843184,261.80658530838787
1.6171245402630035,262.17896758935495
1.398501670325234,262.41416415920224
1.1936919126751988,262.5076303944895
1.0037537083716734,262.4701886621617
0.8145481024846748,262.3361198773627
0.6057077005268571,262.167376913019
0.363790979963524,262.04970088539545
0.09386455276778183,262.07941345710236
-0.17620290158692714,262.34401522559835
-0.4010555621324526,262.9029572881161
0.01860391193750175,263.5244669911531
-0.5301451973309106,263.77503602941005
-1.2530507131041864,263.74052652321905
-0.5208286924835626,264.93564465972776
-0.34610447393167443,266.3224522171464
0.005548719536747697,267.8447143188889
0.6136223677919924,268.7322913608175
0.535745154036271,269.3913539062225
1.1482591006337364,269.66768498191294
1.241513747578309,270.83606942869636
0.670676809183195,270.77841111923755
0.039502367383012,270.3655787114195
-0.15199844361663503,271.4024423987721
-0.04708085309309732,271.7834167138412
0.2551282388799367,271.53848956119606
2.1154511902598445,272.04182611411096
3.1399752456243175,272.86924286747285
3.436493572001641,272.17127322425944
4.279845328134262,273.1918448039512
4.839340615346614,272.8881236646936
5.4793582628743795,272.91661627443034
6.668470835446119,272.0036701202341
7.776835691435431,270.47735687126357
9.361701617148322,272.00659598673514
8.543582209918881,273.62966162673456
7.6376873628386015,274.92099972292726
6.676943908640835,275.71818222880614
5.716238191060438,275.8912922152451
4.820010682273948,275.36183031308616
4.736643456185585,274.9518317872344
4.04668224291534,274.1101757320775
4.520068005234678,276.84643066074676
4.123904274254895,278.5282824383197
3.5192370760170504,280.0091499079775
2.7326080444947256,281.3235944667062
1.8386454224479616,282.49080321064486
0.9301023999236163,283.48982534957725
0.08034432486057624,284.2600340864527
-0.6830472260782275,284.7255659940231
-1.3811235404355247,284.8304171582968
-2.0629994630380164,284.5660652568673
-2.77402630606461,283.97819658703384
-3.5300650714793504,283.15051775981084
-4.31114204239253,282.1754773936372
-5.076974823668048,281.12782171842196
-5.795284909146793,280.05442262034705
-6.467400988675004,278.984564138669
-7.137296566812389,277.95390326468566
-7.878662179479545,277.028119870627
-8.765440393665934,276.31223941043777
-9.839144378672046,275.9384930456292
-11.087662546323614,276.03581633936125
-12.444781752148423,276.6927350310979
-13.810257646487013,277.9284745143092
-15.081440353070185,279.6835451937183
-16.183013913790607,281.8327543058329
-17.968846145109584,281.7689105650522
-18.32464710232114,279.5909496044449
-18.63056446251279,277.6398917561275
-18.898952554117397,275.92257705980063
-19.178252710988502,274.4674442471854
-19.519935619170443,273.33645864490535
-19.883052599788442,272.84822094188314
-19.945886348001235,272.6112590940982
-19.911040677091197,272.5111901360675
-20.432969350988884,272.36106072822804
-20.921767123561878,272.60905452279576
-21.281676507020165,273.0460558667651
-21.343541106180474,273.31418650929896
-21.18882474416293,273.62667939016933
-21.650390645552907,274.3766034871318
-22.19381991941218,274.2251660477207
-22.613898723148523,273.5032078373916
-22.926590498859845,274.6448993981519
-23.421464517085678,274.90053894602494
-23.71061651208458,275.0308427873495
-23.827223144875642,275.1042352908514
-23.815006354111446,275.21234059053063
-23.735741029618424,275.4507212459347
-23.66770627604439,275.892737872751
-23.693200477302824,276.5661611411756
-23.87897197172576,277.44139108643935
-24.70261531291576,277.4401043490063
-24.256873864154876,278.4357269010277
-24.18546995497214,278.6433425705307
-24.008070905358995,278.4819438616674
-23.559548300277548,278.3136301154762
-22.914794261948174,278.0905760941386
-22.285378951049307,278.02697935376983
-21.862687594635414,278.025670966283
-21.73236376784822,278.14792054272397
-21.952550204275045,278.3845363364463
-21.881845838807486,278.7560596992211
-21.80483704512481,279.2626488936691
-21.643069221093036,279.5510088920023
-21.426998262654124,279.6239908780893
-21.214768109673287,279.49438434395125
-21.08347931555803,279.2009616181098
-21.105799743213232,278.8154340961596
-21.32357020526736,278.4328975571433
-21.974200341862293,279.6191640685161
-22.00414917933009,280.6746896368171
-22.04467428829563,281.4927294020052
-22.500730531230882,281.4544415805624
-22.283065223430363,282.003402876174
-22.093969237051198,282.01621675506294
