date,theta_deg,theta_wrapped,x_phase,y_phase
1975-01-03,0.0,0.0,1.0,0.0
1975-01-04,-0.06671610412169628,-0.06671610412169571,0.9999993220681375,-0.0011644154178954507
1975-01-05,-0.13359904383813134,-0.1335990438381316,0.9999972814880739,-0.0023317410795340252
1975-01-06,-0.2006480623508679,-0.20064806235086508,0.9999938681116873,-0.003501962167871666
1975-01-07,-0.26786240286146856,-0.267862402861482,0.9999890718293233,-0.004675063842196466
1975-01-08,-0.335241308571506,-0.33524130857151135,0.9999828825702218,-0.0058510312381663656
1975-01-09,-0.402784022682533,-0.402784022682539,0.9999752903029452,-0.007029849467848526
1975-01-10,-0.470489788396122,-0.4704897883961223,0.9999662850358019,-0.008211503619762335
1975-01-11,-0.5383578489138359,-0.5383578489138472,0.9999558568172706,-0.009395978758923583
1975-01-12,-0.6063874474372372,-0.6063874474372426,0.9999439957364211,-0.01058325992689169
1975-01-13,-0.6745778271678985,-0.6745778271678944,0.9999306919233345,-0.011773332141819363
1975-01-14,-0.7429282313073727,-0.74292823130736,0.9999159355495209,-0.012966180398503916
1975-01-15,-0.8114379030572324,-0.8114379030572252,0.9998997168283361,-0.01416178966844218
1975-01-16,-0.8801060856190401,-0.8801060856190475,0.9998820260153968,-0.015360144899886569
1975-01-17,-0.9489320221960119,-0.9489320221960043,0.9998628534089916,-0.016561231017933102
1975-01-18,-1.0179152777107634,-1.017915277710756,0.9998421892507424,-0.01776503853873053
1975-01-19,-1.087055565375454,-1.087055565375465,0.9998200237495649,-0.01897156054254452
1975-01-20,-1.1563522469982215,-1.1563522469982104,0.99979634724228,-0.020180783953910642
1975-01-21,-1.2258044773206216,-1.2258044773206223,0.9997711501770722,-0.021392692060937225
1975-01-22,-1.2954113519201766,-1.2954113519201655,0.9997444230774308,-0.02260726709655283
1975-01-23,-1.3651719052151192,-1.3651719052151066,0.9997161565497092,-0.023824490203933648
1975-01-24,-1.4350851084071148,-1.4350851084071223,0.9996863412910052,-0.025044341400881662
1975-01-25,-1.5051498673600379,-1.5051498673600463,0.9996549680973739,-0.02626679954312164
1975-01-26,-1.5753650204130019,-1.5753650204129883,0.9996220278723829,-0.027491842286487326
1975-01-27,-1.6457293361254701,-1.64572933612547,0.9995875116360239,-0.028719446047960832
1975-01-28,-1.7162415109526525,-1.716241510952642,0.999551410533992,-0.029949585965535732
1975-01-29,-1.7869001668486164,-1.7869001668486248,0.9995137158473449,-0.03118223585686102
1975-01-30,-1.8577038487956143,-1.8577038487956088,0.9994744190025576,-0.03241736817664189
1975-01-31,-1.9286510222566158,-1.9286510222566164,0.9994335115819822,-0.03365495397274693
1975-02-01,-1.9997400705493575,-1.9997400705493646,0.9993909853347316,-0.034894962840994456
1975-02-02,-2.0709692921393277,-2.070969292139324,0.9993468321879958,-0.036137362878575295
1975-02-03,-2.1423368978489976,-2.142336897848992,0.9993010442588112,-0.03738212063606751
1975-02-04,-2.213841007981291,-2.2138410079813013,0.9992536138662933,-0.03862920106801048
1975-02-05,-2.285479649354154,-2.2854796493541585,0.9992045335443513,-0.03987856748198608
1975-02-06,-2.3572507522441404,-2.3572507522441413,0.9991537960548988,-0.04113018148617343
1975-02-07,-2.4291521472357327,-2.429152147235726,0.9991013944015785,-0.04238400293532254
1975-02-08,-2.501181561973921,-2.501181561973908,0.9990473218440159,-0.04363998987510653
1975-02-09,-2.5733366178171737,-2.5733366178171764,0.9989915719126207,-0.044898098484805395
1975-02-10,-2.645614826387529,-2.6456148263875434,0.9989341384239532,-0.04615828301826729
1975-02-11,-2.718013586015106,-2.718013586015104,0.9988750154966728,-0.04742049574310316
1975-02-12,-2.7905301780736598,-2.7905301780736522,0.9988141975680889,-0.04868468687805933
1975-02-13,-2.8631617632040305,-2.863161763204033,0.9987516794113309,-0.04995080452851613
1975-02-14,-2.9359053774221926,-2.9359053774221877,0.9986874561531591,-0.05121879462005879
1975-02-15,-3.008757928108409,-3.008757928108423,0.9986215232924345,-0.052488600830062876
1975-02-16,-3.081716189874185,-3.081716189874186,0.9985538767192681,-0.05376016451724055
1975-02-17,-3.1547768003030914,-3.1547768003030967,0.9984845127348715,-0.05503342464908247
1975-02-18,-3.2279362555621405,-3.2279362555621276,0.9984134280721285,-0.05630831772714156
1975-02-19,-3.3011909058796083,-3.301190905879622,0.9983406199169096,-0.05758477771009087
1975-02-20,-3.374536950885639,-3.3745369508856413,0.9982660859301521,-0.058862735934495584
1975-02-21,-3.447970434811572,-3.447970434811566,0.9981898242707266,-0.06014212103323248
1975-02-22,-3.5214872415436718,-3.5214872415436673,0.9981118336191143,-0.061422858851485906
1975-02-23,-3.5950830895274692,-3.5950830895274635,0.9980321132019169,-0.0627048723602581
1975-02-24,-3.668753526518046,-3.66875352651806,0.9979506628172228,-0.06398808156731714
1975-02-25,-3.742493924171919,-3.7424939241719244,0.9978674828608542,-0.06527240342551124
1975-02-26,-3.8162994724762203,-3.8162994724762314,0.9977825743535174,-0.06655775173837859
1975-02-27,-3.89016517401015,-3.89016517401015,0.9976959389688816,-0.06784403706297018
1975-02-28,-3.9640858380341712,-3.9640858380341797,0.9976075790626124,-0.0691311666098112
1975-03-01,-4.03805607440211,-4.038056074402107,0.9975174977023811,-0.07041904413992112
1975-03-02,-4.112070287290912,-4.112070287290919,0.9974256986988778,-0.07170756985880636
1975-03-03,-4.186122668743259,-4.186122668743252,0.9973321866378523,-0.07299664030734646
1975-03-04,-4.260207192017582,-4.260207192017589,0.9972369669132085,-0.0742861482494832
1975-03-05,-4.334317604740165,-4.334317604740164,0.9971400457611762,-0.07557598255662586
1975-03-06,-4.408447421853962,-4.408447421853964,0.997041430295587,-0.07686602808868291
1975-03-07,-4.482589918358402,-4.4825899183584,0.996941128544279,-0.07815616557162625
1975-03-08,-4.556738121834529,-4.556738121834542,0.996839149486655,-0.07944627147149376
1975-03-09,-4.63088480474977,-4.630884804749769,0.9967355030924192,-0.08073621786473584
1975-03-10,-4.705022476536099,-4.705022476536101,0.9966302003615164,-0.08202587230480253
1975-03-11,-4.779143375435649,-4.779143375435638,0.9965232533652991,-0.08331509768487194
1975-03-12,-4.8532394601078455,-4.853239460107858,0.9964146752889448,-0.08460375209662181
1975-03-13,-4.927302400991311,-4.927302400991323,0.9963044804751462,-0.08589168868493119
1975-03-14,-5.001323571414422,-5.001323571414417,0.9961926844690983,-0.08717875549840998
1975-03-15,-5.075294038447857,-5.075294038447851,0.996079304064803,-0.08846479533564497
1975-03-16,-5.149204553492648,-5.149204553492638,0.9959643573527108,-0.08974964558705331
1975-03-17,-5.223045542596783,-5.223045542596793,0.9958478637687199,-0.09103313807222634
1975-03-18,-5.296807096493736,-5.296807096493723,0.9957298441445513,-0.0923150988726522
1975-03-19,-5.370478960355896,-5.370478960355882,0.9956103207595153,-0.09359534815969829
1975-03-20,-5.444050523255834,-5.444050523255839,0.9954893173936851,-0.09487370001773344
1975-03-21,-5.517510807328384,-5.517510807328392,0.9953668593824911,-0.0961499622622705
1975-03-22,-5.590848456626386,-5.590848456626389,0.995242973672746,-0.09742393625300709
1975-03-23,-5.664051725662878,-5.664051725662887,0.9951176888801091,-0.09869541670164053
1975-03-24,-5.737108467632283,-5.737108467632282,0.9949910353479994,-0.09996419147432874
1975-03-25,-5.810006122303588,-5.810006122303577,0.9948630452079558,-0.10123004138867575
1975-03-26,-5.8827317035778295,-5.882731703577832,0.9947337524414487,-0.10249274000510819
1975-03-27,-5.955271786702787,-5.955271786702781,0.9946031929431385,-0.10375205341251859
1975-03-28,-6.02761249513749,-6.027612495137475,0.9944714045855731,-0.10500774000804508
1975-03-29,-6.099739487059132,-6.099739487059139,0.9943384272853159,-0.10625955027085669
1975-03-30,-6.171637941505125,-6.171637941505139,0.9942043030704842,-0.10750722652981425
1975-03-31,-6.243292544143148,-6.243292544143145,0.994069076149684,-0.10875050272487823
1975-04-01,-6.314687472662098,-6.3146874726620865,0.9939327929823077,-0.10998910416213482
1975-04-02,-6.385806381776793,-6.385806381776803,0.9937955023501689,-0.1112227472623091
1975-04-03,-6.456632387839772,-6.456632387839761,0.9936572554304316,-0.11245113930264147
1975-04-04,-6.527148053053415,-6.527148053053423,0.9935181058697917,-0.11367397815199999
1975-04-05,-6.597335369275972,-6.5973353692759815,0.9933781098598555,-0.11489095199910594
1975-04-06,-6.667175741415348,-6.667175741415349,0.9932373262136548,-0.11610173907375325
1975-04-07,-6.736649970404757,-6.7366499704047555,0.993095816443229,-0.11730600736090402
1975-04-08,-6.805738235754793,-6.805738235754802,0.9929536448381935,-0.11850341430754958
1975-04-09,-6.8744200776767626,-6.874420077676774,0.9928108785452051,-0.11969360652222807
1975-04-10,-6.94267437877276,-6.94267437877275,0.9926675876482226,-0.12087621946709934
1975-04-11,-7.010479345288222,-7.010479345288218,0.9925238452494486,-0.1220508771424793
1975-04-12,-7.077812487923734,-7.0778124879237225,0.9923797275508276,-0.12321719176375183
1975-04-13,-7.144650602203151,-7.144650602203143,0.9922353139359573,-0.12437476343057798
1975-04-14,-7.210969748396038,-7.210969748396025,0.9920906870522599,-0.12552317978833602
