date,x,y,z,angle_170,angle_31
1975-01-03,-0.00033704324412496637,0.0005843421134395036,0.9999997724730472,0.024831575825567033,0.0006907573109652545
1975-01-04,-0.0006729155472955915,0.0011691225777953934,0.9999990901681183,0.049601446852951585,0.0014519574744724126
1975-01-05,-0.0010058581380835033,0.00175378274241845,0.9999979562456609,0.07420482012989962,0.002353491888135108
1975-01-06,-0.0013358594768715963,0.0023383305767747053,0.9999963738382115,0.09864112812482083,0.0033961624618952116
1975-01-07,-0.001662907623620446,0.0029227739649149657,0.9999943460493091,0.12290977967934089,0.004580788250993041
1975-01-08,-0.0019869902322184737,0.0035071207007848484,0.9999918759541037,0.14701015964484654,0.005908205595143307
1975-01-09,-0.0023080945447677024,0.004091378483348072,0.9999889665999714,0.17094162851349726,0.0073792682553791514
1975-01-10,-0.0026262073857960576,0.004675554911504751,0.9999856210071406,0.19470352204301286,0.008994847548470644
1975-01-11,-0.0029413151564139667,0.005259657478818199,0.9999818421693248,0.2182951508763747,0.010755832478445164
1975-01-12,-0.003253403828401077,0.00584369356800833,0.9999776330543664,0.24171580015522473,0.012663129864669592
1975-01-13,-0.0035624589382376257,0.0064276704452389585,0.9999729966048889,0.2649647291280559,0.014717664466587635
1975-01-14,-0.003868465581086732,0.007011595254181208,0.9999679357389615,0.2880411707533722,0.01692037910427952
1975-01-15,-0.004171408404718337,0.007595475009828514,0.9999624533507727,0.3109443312970522,0.01927223477457744
1975-01-16,-0.00447127160339553,0.008179316592080989,0.9999565523113169,0.3336733899252654,0.021774210762243028
1975-01-17,-0.004768038911710857,0.008763126739056156,0.9999502354690917,0.3562274982918159,0.024427304745548654
1975-01-18,-0.005061693598390398,0.009346912040147363,0.9999435056508093,0.3786057801211287,0.02723253289601864
1975-01-19,-0.00535221846006407,0.009930678928803238,0.9999363656621201,0.4008073307865313,0.030190929971620987
1975-01-20,-0.005639595815015873,0.010514433675033635,0.9999288182883505,0.4228312168846579,0.033303549402898286
1975-01-21,-0.005923807496911596,0.01109818237761107,0.9999208662952551,0.44467647580553155,0.036571463371245276
1975-01-22,-0.006204834848516979,0.011681930955973542,0.9999125124297841,0.4663421152991176,0.03999576287887048
1975-01-23,-0.006482658715410183,0.012265685141816477,0.9999037594208665,0.48782711303844517,0.043577557809892094
1975-01-24,-0.006757259439706532,0.012849450470373463,0.9998946099802092,0.5091304161803107,0.047317976981677
1975-01-25,-0.00702861685379211,0.013433232271340821,0.9998850668031138,0.5302509409229235,0.0512181681852656
1975-01-26,-0.0072967102740808506,0.014017035659463403,0.9998751325693115,0.5511875720614972,0.05527929821467785
1975-01-27,-0.007561518494810132,0.014600865524769432,0.9998648099438149,0.5719391625425125,0.05950255288400621
1975-01-28,-0.007823019781877532,0.015184726522428686,0.9998541015777913,0.592504533016551,0.06388913703140607
1975-01-29,-0.00808119186674216,0.01576862306224293,0.9998430101094545,0.6128824713911089,0.06844027450910005
1975-01-30,-0.008336011940391316,0.016352559297729618,0.9998315381649775,0.6330717323830507,0.07315720815820996
1975-01-31,-0.008587456647394739,0.0169365391148167,0.9998196883594272,0.6530710370721388,0.07804119976784941
1975-02-01,-0.008835502080060979,0.017520566120122427,0.9998074632977214,0.6728790724562003,0.0830935300169979
1975-02-02,-0.00908012377270494,0.01810464362880479,0.9997948655756076,0.6924944910082924,0.08831549839825703
1975-02-03,-0.009321296696058872,0.01868877465198836,0.9997818977806671,0.7119159102377716,0.09370842312213692
1975-02-04,-0.009558995251823422,0.019272961883711155,0.999768562493343,0.7311419122545002,0.09927364100034584
1975-02-05,-0.009793193267394725,0.019857207687432512,0.9997548622879943,0.7501710433386396,0.10501250730753121
1975-02-06,-0.010023863990782367,0.020441514082063003,0.9997407997339749,0.7690018135164758,0.11092639561959011
1975-02-07,-0.01025098008574376,0.021025882727520727,0.9997263773967409,0.7876326961437721,0.11701669762742903
1975-02-08,-0.01047451362715275,0.02161031490978101,0.9997115978389842,0.8060621274973209,0.12328482292432678
1975-02-09,-0.010694436096627824,0.022194811525415907,0.999696463621797,0.824288506376105,0.1297321987655471
1975-02-10,-0.010910718378451208,0.02277937306562696,0.9996809773058621,0.8423101937138616,0.136360269798772
1975-02-11,-0.011123330755797968,0.02336399959973755,0.9996651414526773,0.8601255122038031,0.14317049776342497
1975-02-12,-0.011332242907313538,0.023948690758161775,0.9996489586258069,0.8777327459378341,0.15016436115749662
1975-02-13,-0.011537423904063931,0.024533445714820246,0.9996324313921676,0.8951301400613412,0.15734335486981438
1975-02-14,-0.011738842206893382,0.025118263169003577,0.9996155623233439,0.9123159004455288,0.1647089897760705
1975-02-15,-0.011936465664227186,0.025703141326679002,0.9995983539969382,0.9292881933793942,0.1722627922966247
1975-02-16,-0.012130261510349192,0.026288077881213526,0.9995808089979531,0.9460451452827374,0.18000630391385017
1975-02-17,-0.012320196364191514,0.026873069993517764,0.9995629299202086,0.9625848424423804,0.1879410806473043
1975-02-18,-0.012506236228685819,0.027458114271619656,0.9995447193677928,0.9789053307744667,0.19606869248457345
1975-02-19,-0.012688346490706751,0.028043206749634886,0.999526179956548,0.9950046156142499,0.2043907227653131
1975-02-20,-0.012866491921654927,0.028628342866156953,0.9995073143155923,1.010880661536276,0.2129087675168359
1975-02-21,-0.013040636678730386,0.02921351744206088,0.9994881250888757,1.026531392207776,0.22162443473857169
1975-02-22,-0.013210744306934707,0.029798724657704157,0.999468614936773,1.0419546902772692,0.23053934363304093
1975-02-23,-0.013376777741861794,0.030383958029557012,0.999448786537711,1.0571483973020872,0.23965512378134485
1975-02-24,-0.013538699313320034,0.030969210386225833,0.9994286425898335,1.0721103137168697,0.24897341426001185
1975-02-25,-0.0136964707498426,0.031554473843905244,0.9994081858127004,1.0868381988466016,0.25849586269745617
1975-02-26,-0.013850053184145202,0.03213973978126866,0.9993874189490224,1.1013297709676326,0.26822412426743464
1975-02-27,-0.01399940715958608,0.0327249988137812,0.9993663447664316,1.1155827074196236,0.2781598606163326
1975-02-28,-0.014144492637686206,0.03331024076746523,0.9993449660592862,1.1295946447719922,0.2883047387223306
1975-03-01,-0.014285269006775028,0.03389545465214662,0.9993232856505089,1.1433631790488314,0.2986604296840683
1975-03-02,-0.014421695091826737,0.03448062863418046,0.9993013063934573,1.1568858660159609,0.30922860743558717
1975-03-03,-0.014553729165545657,0.035065750008685184,0.9992790311738282,1.1701602215337097,0.3200109473855204
1975-03-04,-0.014681328960776887,0.035650805171325566,0.9992564629115901,1.1831837219801358,0.3310091249779929
1975-03-05,-0.014804451684304583,0.03623577958964153,0.9992336045629462,1.1959538047481764,0.34222481417207756
1975-03-06,-0.014923054032112828,0.03682065777399424,0.9992104591223239,1.208467868821674,0.35365968583823126
1975-03-07,-0.015037092206174229,0.03740542324813654,0.9991870296243897,1.2207232754340305,0.36531540606872764
1975-03-08,-0.015146521932848104,0.037990058519488945,0.9991633191460861,1.2327173488149203,0.37719363440045667
1975-03-09,-0.015251298482954683,0.03857454504912907,0.9991393308086899,1.244447377028892,0.3892960219470643
1975-03-10,-0.015351376693599674,0.03915886322156661,0.999115067779886,1.2559106129107784,0.40162420943890675
1975-03-11,-0.015446710991829133,0.03974299231436431,0.9990905332758566,1.2671042751030306,0.4141798251686765
1975-03-12,-0.015537255420182838,0.04032691046765876,0.9990657305633808,1.2780255491993577,0.42696448284093513
1975-03-13,-0.015622963664225364,0.04091059465366571,0.9990406629619387,1.288671588999996,0.43997977932416377
1975-03-14,-0.015703789082123422,0.04149402064621775,0.9990153338458203,1.2990395178829481,0.4532272923033705
1975-03-15,-0.01577968473634466,0.042077162990460715,0.9989897466462286,1.309126430296695,0.4667085778332882
1975-03-16,-0.01585060342754628,0.04265999497276567,0.9989639048533768,1.3189293933788062,0.48042516779047867
1975-03-17,-0.015916497730724493,0.0432424885909679,0.9989378120185701,1.3284454487055668,0.49437856722413726
1975-03-18,-0.015977320033686893,0.04382461452502338,0.9989114717562685,1.3376716141770189,0.508570251605216
1975-03-19,-0.016033022577912767,0.04440634210821475,0.9988848877461227,1.3466048860424027,0.5230016639745596
1975-03-20,-0.016083557501857224,0.04498763929899829,0.9988580637349771,1.3552422410700586,0.5376742119900019
1975-03-21,-0.016128876886752117,0.04556847265363862,0.9988310035388301,1.3635806388662328,0.5525892648741452
1975-03-22,-0.016168932804954184,0.04614880729976488,0.9988037110447469,1.3716170243469663,0.56774815026428
1975-03-23,-0.016203677370876596,0.04672860691097005,0.9987761902127126,1.3793483303663006,0.5831521509662527
1975-03-24,-0.016233062794542633,0.047307833682619434,0.998748445077421,1.3867714805046476,0.5988025016152634
1975-03-25,-0.016257041437784957,0.04788644830899994,0.9987204797499848,1.393883392019936,0.6147003852463145
1975-03-26,-0.016275565873109604,0.04846440996200276,0.9986922984195609,1.4006809789645271,0.6308469297790438
1975-03-27,-0.01628858894523239,0.04904167627148194,0.9986639053548779,1.4071611554697385,0.647243204420751
1975-03-28,-0.0162960638352818,0.04961820330747933,0.9986353049056569,1.413320839199528,0.6638902159935164
1975-03-29,-0.016297944127657622,0.050193945564493525,0.998606501503911,1.419156954974478,0.6807889051911645
1975-03-30,-0.01629418387951488,0.05076885594796229,0.9985774996651164,1.4246664385660441,0.6979401427725483
1975-03-31,-0.016284737692831154,0.0513428857631709,0.9985483039892391,1.4298462406607884,0.7153447256994684
1975-04-01,-0.016269560789004687,0.05191598470675446,0.9985189191616056,1.434693330993289,0.73300337322674
1975-04-02,-0.01624860908590792,0.05248810086101601,0.9984893499536074,1.4392047026456625,0.7509167229546466
1975-04-03,-0.01622183927731064,0.05305918069126004,0.9984596012232211,1.44337737651081,0.7690853268538478
