date,theta_deg,theta_wrapped,angle_to_170E,angle_to_31E
1975-01-03,-0.03865040636486949,-0.03865040636486583,80.0386504063649,58.961349593635134
1975-01-04,-0.07728913038369734,-0.07728913038369001,80.0772891303837,58.92271086961631
1975-01-05,-0.1158385714053996,-0.11583857140539067,80.11583857140543,58.88416142859461
1975-01-06,-0.1542993455920665,-0.15429934559207936,80.15429934559211,58.84570065440794
1975-01-07,-0.19267206602853804,-0.19267206602853548,80.19267206602852,58.80732793397146
1975-01-08,-0.2309573427399605,-0.23095734273996982,80.23095734273997,58.769042657260044
1975-01-09,-0.26915578270969953,-0.26915578270970286,80.26915578270973,58.730844217290304
1975-01-10,-0.30726798989674403,-0.30726798989675785,80.30726798989681,58.69273201010326
1975-01-11,-0.3452945652540771,-0.3452945652540791,80.34529456525411,58.654705434745914
1975-01-12,-0.3832361067458255,-0.3832361067458123,80.38323610674585,58.616763893254166
1975-01-13,-0.4210932093652744,-0.4210932093652673,80.42109320936528,58.57890679063473
1975-01-14,-0.45886646515333995,-0.45886646515333496,80.45886646515335,58.541133534846665
1975-01-15,-0.49655646321632957,-0.4965564632163364,80.49655646321635,58.503443536783664
1975-01-16,-0.5341637897447709,-0.5341637897447811,80.53416378974482,58.46583621025523
1975-01-17,-0.5716890280311209,-0.5716890280311304,80.57168902803112,58.428310971968884
1975-01-18,-0.6091327584882387,-0.6091327584882436,80.60913275848827,58.390867241511756
1975-01-19,-0.6464955586675529,-0.6464955586675387,80.64649555866758,58.353504441332454
1975-01-20,-0.6837780032778906,-0.6837780032778937,80.68377800327791,58.31622199672211
1975-01-21,-0.7209806642036443,-0.7209806642036369,80.72098066420364,58.27901933579635
1975-01-22,-0.7581041105232449,-0.7581041105232487,80.75810411052326,58.24189588947675
1975-01-23,-0.7951489085277361,-0.7951489085277501,80.79514890852776,58.20485109147227
1975-01-24,-0.832115621740214,-0.8321156217402006,80.83211562174026,58.16788437825979
1975-01-25,-0.8690048109340452,-0.869004810934058,80.86900481093409,58.13099518906596
1975-01-26,-0.9058170341514411,-0.905817034151454,80.90581703415144,58.09418296584855
1975-01-27,-0.9425528467224398,-0.9425528467224353,80.94255284672244,58.057447153277565
1975-01-28,-0.9792128012833277,-0.9792128012833246,80.97921280128335,58.02078719871668
1975-01-29,-1.0157974477958245,-1.0157974477958192,81.01579744779586,57.98420255220417
1975-01-30,-1.0523073335653015,-1.0523073335652953,81.05230733356534,57.94769266643472
1975-01-31,-1.0887430032597634,-1.088743003259765,81.0887430032598,57.91125699674024
1975-02-01,-1.125104998928829,-1.1251049989288333,81.12510499892889,57.87489500107118
1975-02-02,-1.1613938600223583,-1.1613938600223719,81.16139386002241,57.83860613997765
1975-02-03,-1.1976101234100933,-1.1976101234101009,81.19761012341013,57.80238987658993
1975-02-04,-1.23375432339942,-1.2337543233994097,81.23375432339944,57.7662456766006
1975-02-05,-1.2698269917543998,-1.2698269917543996,81.26982699175444,57.73017300824561
1975-02-06,-1.3058286577144975,-1.3058286577144997,81.30582865771454,57.69417134228551
1975-02-07,-1.3417598480139181,-1.3417598480139077,81.34175984801395,57.65824015198609
1975-02-08,-1.377621086900284,-1.377621086900291,81.37762108690033,57.62237891309972
1975-02-09,-1.413412896153056,-1.413412896153062,81.41341289615306,57.58658710384694
1975-02-10,-1.449135795102566,-1.4491357951025634,81.44913579510262,57.550864204897444
1975-02-11,-1.4847903006482353,-1.4847903006482284,81.48479030064827,57.51520969935177
1975-02-12,-1.5203769272776066,-1.5203769272775958,81.52037692727762,57.4796230727224
1975-02-13,-1.5558961870849706,-1.5558961870849828,81.555896187085,57.44410381291504
1975-02-14,-1.591348589790142,-1.5913485897901296,81.59134858979019,57.40865141020986
1975-02-15,-1.6267346427576468,-1.62673464275764,81.6267346427577,57.37326535724236
1975-02-16,-1.662054851015142,-1.6620548510151423,81.66205485101518,57.337945148984865
1975-02-17,-1.6973097172716356,-1.6973097172716223,81.69730971727165,57.302690282728385
1975-02-18,-1.7324997419364667,-1.732499741936465,81.73249974193652,57.26750025806354
1975-02-19,-1.7676254231372703,-1.7676254231372752,81.76762542313726,57.23237457686274
1975-02-20,-1.8026872567383985,-1.802687256738409,81.8026872567384,57.197312743261605
1975-02-21,-1.8376857363596477,-1.8376857363596457,81.83768573635969,57.16231426364036
1975-02-22,-1.8726213533942229,-1.8726213533942087,81.87262135339425,57.12737864660577
1975-02-23,-1.9074945970277692,-1.9074945970277781,81.90749459702779,57.09250540297223
1975-02-24,-1.9423059542561332,-1.9423059542561418,81.9423059542562,57.05769404574387
1975-02-25,-1.9770559099035288,-1.9770559099035268,81.97705590990358,57.02294409009648
1975-02-26,-2.0117449466412656,-2.0117449466412722,82.01174494664126,56.98825505335874
1975-02-27,-2.0463735450055087,-2.0463735450055083,82.04637354500555,56.95362645499449
1975-02-28,-2.0809421834149884,-2.080942183414976,82.08094218341502,56.91905781658502
1975-03-01,-2.1154513381893696,-2.1154513381893594,82.11545133818944,56.88454866181064
1975-03-02,-2.1499014835671666,-2.149901483567163,82.14990148356723,56.85009851643284
1975-03-03,-2.1842930917234513,-2.184293091723447,82.18429309172353,56.81570690827656
1975-03-04,-2.218626632788276,-2.218626632788272,82.21862663278833,56.78137336721173
1975-03-05,-2.252902574863872,-2.2529025748638674,82.25290257486391,56.74709742513614
1975-03-06,-2.2871213840427673,-2.287121384042763,82.28712138404276,56.71287861595723
1975-03-07,-2.321283524424988,-2.3212835244249845,82.32128352442506,56.67871647557502
1975-03-08,-2.3553894581365795,-2.3553894581365853,82.35538945813657,56.64461054186342
1975-03-09,-2.3894396453471143,-2.3894396453471245,82.38943964534711,56.61056035465289
1975-03-10,-2.423434544287247,-2.423434544287261,82.42343454428729,56.57656545571277
1975-03-11,-2.4573746112664767,-2.457374611266488,82.45737461126649,56.54262538873353
1975-03-12,-2.491260300690447,-2.491260300690442,82.49126030069051,56.50873969930956
1975-03-13,-2.5250920650786557,-2.525092065078667,82.52509206507872,56.474907934921355
1975-03-14,-2.558870355080894,-2.5588703550808987,82.5588703550809,56.44112964491911
1975-03-15,-2.5925956194949027,-2.592595619494915,82.59259561949499,56.407404380505106
1975-03-16,-2.626268305283369,-2.626268305283361,82.6262683052834,56.37373169471664
1975-03-17,-2.6598888575911284,-2.6598888575911417,82.65988885759113,56.34011114240888
1975-03-18,-2.693457719761805,-2.6934577197617955,82.69345771976185,56.306542280238205
1975-03-19,-2.7269753333551128,-2.7269753333551137,82.72697533335517,56.27302466664489
1975-03-20,-2.7604421381632935,-2.7604421381632847,82.76044213816331,56.239557861836715
1975-03-21,-2.79385857222791,-2.7938585722279186,82.7938585722279,56.206141427772096
1975-03-22,-2.8272250718570464,-2.8272250718570433,82.82722507185709,56.17277492814296
1975-03-23,-2.860542071641847,-2.860542071641845,82.86054207164189,56.13945792835817
1975-03-24,-2.8938100044734623,-2.8938100044734654,82.8938100044735,56.10618999552654
1975-03-25,-2.927029301559079,-2.927029301559088,82.92702930155912,56.07297069844093
1975-03-26,-2.960200392438816,-2.9602003924388214,82.96020039243884,56.03979960756119
1975-03-27,-2.9933237050020067,-2.9933237050020125,82.99332370500204,56.006676294998
1975-03-28,-3.0263996655037904,-3.0263996655037886,83.02639966550379,55.973600334496226
1975-03-29,-3.059428698581855,-3.059428698581854,83.0594286985819,55.94057130141815
1975-03-30,-3.092411227272415,-3.0924112272724074,83.09241122727245,55.9075887727276
1975-03-31,-3.1253476730267,-3.1253476730267096,83.12534767302674,55.87465232697331
1975-04-01,-3.158238455726476,-3.158238455726462,83.15823845572652,55.84176154427352
1975-04-02,-3.1910839937000244,-3.1910839937000333,83.19108399370003,55.80891600629998
1975-04-03,-3.2238847037386296,-3.2238847037386336,83.22388470373863,55.77611529626137
1975-04-04,-3.2566410011118463,-3.256641001111859,83.2566410011119,55.74335899888817
1975-04-05,-3.289353299583631,-3.289353299583638,83.28935329958368,55.710646700416376
1975-04-06,-3.32202201142832,-3.3220220114283165,83.3220220114284,55.67797798857169
1975-04-07,-3.3546475474465605,-3.3546475474465467,83.35464754744665,55.645352452553446
1975-04-08,-3.387230316980523,-3.3872303169805207,83.38723031698059,55.612769683019486
1975-04-09,-3.4197707279294756,-3.419770727929489,83.41977072792953,55.58022927207054
1975-04-10,-3.452269186765813,-3.452269186765818,83.45226918676582,55.54773081323419
1975-04-11,-3.484726098549967,-3.48472609854997,83.48472609854997,55.51527390145003
1975-04-12,-3.5171418669462335,-3.517141866946247,83.51714186694628,55.48285813305378
1975-04-13,-3.5495168942377333,-3.5495168942377404,83.54951689423777,55.450483105762274
1975-04-14,-3.581851581341781,-3.5818515813417946,83.58185158134184,55.418148418658234
1975-04-15,-3.61414632782454,-3.6141463278245283,83.61414632782461,55.385853672175465
1975-04-16,-3.646401531916595,-3.646401531916581,83.64640153191661,55.35359846808341
1975-04-17,-3.678617590527508,-3.6786175905274945,83.6786175905275,55.321382409472484
1975-04-18,-3.710794899260776,-3.710794899260776,83.71079489926085,55.28920510073923
1975-04-19,-3.7429338524287448,-3.7429338524287346,83.74293385242876,55.257066147571265
1975-04-20,-3.7750348430676195,-3.7750348430676297,83.77503484306764,55.22496515693239
1975-04-21,-3.80709826295207,-3.8070982629520813,83.80709826295207,55.19290173704793
1975-04-22,-3.8391245026107015,-3.8391245026107015,83.83912450261076,55.160875497389306
1975-04-23,-3.8711139513397423,-3.871113951339737,83.87111395133978,55.12888604866028
1975-04-24,-3.903066997218364,-3.9030669972183603,83.90306699721839,55.09693300278165
1975-04-25,-3.934984027122163,-3.9349840271221694,83.93498402712221,55.06501597287784
1975-04-26,-3.966865426738331,-3.9668654267383374,83.9668654267384,55.03313457326167
1975-04-27,-3.998711580579949,-3.9987115805799363,83.99871158058002,55.00128841942005
1975-04-28,-4.030522872000088,-4.030522872000091,84.03052287200012,54.96947712799993
1975-04-29,-4.062299683205493,-4.062299683205481,84.06229968320557,54.93770031679451
1975-04-30,-4.094042395271654,-4.094042395271657,84.09404239527167,54.90595760472835
1975-05-01,-4.1257513881560275,-4.125751388156033,84.12575138815612,54.87424861184399
1975-05-02,-4.157427040712803,-4.157427040712804,84.15742704071289,54.84257295928722
1975-05-03,-4.189069730706079,-4.1890697307060805,84.18906973070611,54.81093026929392
1975-05-04,-4.220679834824312,-4.220679834824324,84.22067983482432,54.7793201651757
1975-05-05,-4.252257728693557,-4.252257728693564,84.25225772869359,54.74774227130644
1975-05-06,-4.283803786892063,-4.283803786892065,84.28380378689212,54.71619621310794
1975-05-07,-4.315318382963154,-4.315318382963142,84.31531838296317,54.68468161703685
1975-05-08,-4.346801889429475,-4.346801889429486,84.34680188942947,54.65319811057052
1975-05-09,-4.3782546778063764,-4.378254677806382,84.3782546778064,54.621745322193625
1975-05-10,-4.409677118615655,-4.409677118615662,84.40967711861568,54.590322881384346
1975-05-11,-4.441069581398733,-4.441069581398722,84.44106958139879,54.55893041860128
1975-05-12,-4.472432434729839,-4.472432434729853,84.47243243472987,54.527567565270175
1975-05-13,-4.5037660462297975,-4.503766046229799,84.50376604622983,54.49623395377022
1975-05-14,-4.535070782578652,-4.535070782578657,84.53507078257871,54.46492921742136
1975-05-15,-4.56634700952874,-4.566347009528727,84.56634700952876,54.433652990471266
1975-05-16,-4.597595091918232,-4.597595091918237,84.59759509191825,54.40240490808177
1975-05-17,-4.628815393683548,-4.628815393683539,84.62881539368361,54.371184606316454
1975-05-18,-4.6600082778731995,-4.660008277873203,84.66000827787327,54.33999172212682
1975-05-19,-4.691174106659746,-4.6911741066597585,84.69117410665979,54.308825893340256
1975-05-20,-4.722313241353284,-4.722313241353277,84.7223132413533,54.27768675864673
1975-05-21,-4.753426042414013,-4.75342604241402,84.75342604241412,54.24657395758601
1975-05-22,-4.784512869464962,-4.7845128694649475,84.78451286946502,54.21548713053505
1975-05-23,-4.815574081305165,-4.815574081305158,84.81557408130527,54.18442591869485
1975-05-24,-4.846610035922134,-4.84661003592214,84.84661003592217,54.15338996407788
1975-05-25,-4.877621090504168,-4.877621090504164,84.87762109050418,54.12237890949582
1975-05-26,-4.908607601452826,-4.908607601452815,84.9086076014529,54.09139239854717
1975-05-27,-4.939569924395647,-4.9395699243956415,84.93956992439573,54.06043007560437
1975-05-28,-4.97050841419821,-4.970508414198207,84.97050841419826,54.02949158580181
1975-05-29,-5.001423424976502,-5.001423424976508,85.00142342497657,53.998576575023506
1975-05-30,-5.032315310109485,-5.032315310109482,85.03231531010951,53.96768468989052
1975-05-31,-5.063184422250855,-5.063184422250856,85.06318442225091,53.93681557774915
1975-06-01,-5.094031113341557,-5.0940311133415435,85.0940311133416,53.905968886658464
1975-06-02,-5.124855734621541,-5.124855734621548,85.12485573462155,53.87514426537846
1975-06-03,-5.15565863664218,-5.155658636642187,85.15565863664219,53.84434136335783
1975-06-04,-5.186440169278331,-5.186440169278342,85.18644016927836,53.81355983072168
1975-06-05,-5.217200681740192,-5.217200681740195,85.21720068174024,53.782799318259826
1975-06-06,-5.247940522585158,-5.247940522585168,85.24794052258522,53.75205947741485
1975-06-07,-5.27866003972983,-5.278660039729829,85.27866003972987,53.72133996027018
1975-06-08,-5.309359580461721,-5.309359580461717,85.30935958046173,53.69064041953828
1975-06-09,-5.340039491451013,-5.340039491451023,85.34003949145104,53.65996050854899
1975-06-10,-5.370700118762054,-5.370700118762045,85.37070011876213,53.629299881237955
1975-06-11,-5.401341807864912,-5.401341807864924,85.40134180786498,53.598658192135105
1975-06-12,-5.431964903647285,-5.431964903647298,85.4319649036473,53.568035096352716
1975-06-13,-5.4625697504257404,-5.462569750425729,85.46256975042573,53.53743024957426
1975-06-14,-5.493156691957582,-5.49315669195758,85.49315669195761,53.50684330804242
1975-06-15,-5.523726071451732,-5.523726071451733,85.52372607145178,53.476273928548274
1975-06-16,-5.554278231580337,-5.5542782315803265,85.5542782315804,53.445721768419666
1975-06-17,-5.584813514489864,-5.584813514489866,85.58481351448998,53.41518648551014
1975-06-18,-5.615332261812238,-5.615332261812227,85.61533226181224,53.38466773818776
1975-06-19,-5.645834814676098,-5.645834814676107,85.6458348146762,53.35416518532392
1975-06-20,-5.676321513718289,-5.676321513718278,85.67632151371834,53.32367848628172
1975-06-21,-5.706792699095013,-5.706792699095018,85.70679269909506,53.293207300904996
1975-06-22,-5.737248710493022,-5.73724871049302,85.73724871049312,53.26275128950698
1975-06-23,-5.767689887140557,-5.767689887140563,85.76768988714069,53.23231011285945
1975-06-24,-5.7981165678174795,-5.7981165678174875,85.79811656781752,53.201883432182534
1975-06-25,-5.828529090866769,-5.828529090866766,85.8285290908668,53.17147090913324
1975-06-26,-5.858927794205618,-5.858927794205613,85.85892779420563,53.141072205794394
1975-06-27,-5.889313015336068,-5.889313015336057,85.88931301533613,53.11068698466393
1975-06-28,-5.919685091355898,-5.919685091355888,85.91968509135602,53.080314908644105
1975-06-29,-5.950044358969365,-5.950044358969365,85.95004435896944,53.04995564103064
1975-06-30,-5.980391154497683,-5.980391154497681,85.98039115449774,53.01960884550232
1975-07-01,-6.010725813890021,-6.010725813890019,86.01072581389002,52.98927418610998
1975-07-02,-6.04104867273342,-6.04104867273341,86.04104867273351,52.95895132726659
1975-07-03,-6.071360066263636,-6.0713600662636225,86.07136006626381,52.92863993373638
1975-07-04,-6.101660329375774,-6.101660329375761,86.10166032937583,52.89833967062424
1975-07-05,-6.131949796634569,-6.131949796634558,86.13194979663467,52.86805020336544
1975-07-06,-6.162228802285531,-6.16222880228554,86.16222880228558,52.83777119771449
1975-07-07,-6.192497680264816,-6.1924976802648075,86.19249768026496,52.80750231973519
1975-07-08,-6.2227567642093025,-6.222756764209294,86.22275676420944,52.777243235790706
