sign,length
-1.0,147
1.0,141
-1.0,970
1.0,232
-1.0,77
1.0,200
-1.0,686
1.0,146
-1.0,434
1.0,343
-1.0,192
1.0,540
-1.0,185
1.0,183
-1.0,752
1.0,229
-1.0,253
1.0,971
-1.0,1619
1.0,212
-1.0,547
1.0,585
-1.0,2317
1.0,829
-1.0,854
1.0,162
-1.0,171
1.0,724
-1.0,1263
1.0,396
-1.0,2351
