phi,theta1,theta2,state
87.19304718060347,0.0,0.0,1
87.08385527231282,113.57661569026322,75.54960464338075,1
86.97431563851659,113.19217813746019,75.83284308717566,1
86.86443241649437,112.80637842094904,76.11716732125296,1
86.75420982052742,112.4192352087789,76.40256446221525,1
86.64365214168949,112.03076756057885,76.68902132862115,1
86.53276374760624,111.64099492613377,76.97652444158803,1
86.4215490821831,111.24993714375182,77.26506002554703,1
86.31001266530103,110.85761443842244,77.55461400915095,1
86.19815909247993,110.46404741976096,77.84517202633822,1
86.08599303450944,110.06925707973886,78.13671941755416,1
85.97351923704684,109.6732647901984,78.4292412311305,1
85.86074252018173,109.2760923001481,78.72272222482678,1
85.74766777796722,108.87776173283964,79.01714686753206,1
85.63429997791764,108.47829558262322,79.31249934113168,1
85.5206441604722,108.07771671158144,79.60876354253725,1
85.40670543842481,107.67604834593988,79.9059230858827,1
85.29248899631956,107.27331407225404,80.2039613048866,1
85.17800008981203,106.8695378333723,80.50286125538219,1
85.06324404499611,106.46474392417429,80.80260571801432,1
84.94822625769633,106.05895698708406,81.10317720110555,1
84.83295219272568,105.65220200735945,81.40455794369046,1
84.71742738310886,105.24450430815665,81.70672991871879,1
84.60165742927087,104.83588954537095,82.00967483642717,1
84.48564799819118,104.42638370225495,82.31337414787987,1
84.36940482252326,104.01601308381436,82.61780904867726,1
84.25293369967982,103.60480431098296,82.92296048283248,1
84.13624049088358,103.1927843145786,83.22880914681474,1
84.01933112018406,102.77998032904122,83.53533549375936,1
83.90221157344014,102.36641988595494,83.84251973784234,1
83.78488789726897,101.9521308073571,84.15034185881973,1
83.66736619796117,101.53714119883563,84.45878160672885,1
83.54965264036275,101.12147944241815,84.7678185067511,1
83.43175344672392,100.7051741892551,85.07743186423369,1
83.31367489551515,100.28825435210064,85.3876007698695,1
83.19542332021085,99.87074909759417,85.69830410503113,1
83.07700510804096,99.45268783834632,86.00952054725929,1
82.95842669871094,99.03410022483297,86.3212285759007,1
82.83969458309045,98.61501613710192,86.6334064778946,1
82.72081530187144,98.19546567629601,86.94603235370442,1
82.60179544419583,97.77547915599712,87.25908412339129,1
82.4826416462535,97.35508709339672,87.57253953282657,1
82.3633605898511,96.93432020029667,87.88637616004075,1
82.24395900095222,96.51320937394644,88.20057142170373,1
82.12444364818953,96.091785687722,88.51510257973399,1
82.00482134134963,95.67008038165153,88.82994674803251,1
81.88509892983106,95.24812485279443,89.14508089933742,1
81.76528330107641,94.8259506454794,89.46048187219486,1
81.64538137897904,94.40358944140763,89.77612637804253,1
81.52540012226534,93.98107304962798,90.09199100840084,1
81.40534652285308,93.55843339639051,90.40805224216695,1
81.2852276041869,93.13570251488488,90.72428645300795,1
81.16505041955159,92.7129125348713,91.04066991684687,1
81.04482205036402,92.29009567221061,91.35717881943759,1
80.9245496044447,91.86728421830043,91.6737892640233,1
80.80424021426975,91.44451052942611,91.99047727907276,1
80.68390103520424,91.02180701603254,92.30721882608952,1
80.56353924371788,90.59920613192531,92.62398980748833,1
80.44316203558395,90.17674036340901,92.94076607453354,1
80.3227766240625,89.75444221837029,93.25752343533333,1
80.20239023806876,89.3323442153141,93.57423766288383,1
80.0820101203279,88.91047887236044,93.8908845031587,1
79.96164352551699,88.48887869621103,94.20743968323603,1
79.84129771839542,88.06757617109275,94.52387891945847,1
79.72097997192468,87.64660374768721,94.84017792561974,1
79.60069756537858,87.22599383205466,95.15631242117138,1
79.4804577824452,86.80577877455966,95.4722581394438,1
79.36026790932144,86.38599085880821,95.78799083587529,1
79.24013523280135,85.96666229060452,96.1034862962432,1
79.1200670383595,85.54782518693452,96.41872034489029,1
79.00007060823033,85.12951156498627,96.73366885294126,1
78.88015321948474,84.71175333121528,97.04830774650122,1
78.760322142105,84.29458227046189,97.3626130148325,1
78.64058463705922,83.87803003513034,97.67656071850143,1
78.52094795437641,83.4621281344377,97.99012699748937,1
78.40141933122341,83.04690792373992,98.30328807926327,1
78.28200598998474,82.63240059394445,98.61602028679721,1
78.16271513634659,82.21863716101609,98.92830004654093,1
78.04355395738612,81.80564845558541,99.24010389632832,1
77.92452961966718,81.39346511266604,99.55140849322021,1
77.80564926734355,80.9821175614905,99.86219062127515,1
77.68692002027105,80.57163601547006,100.17242719924326,1
77.5683489721293,80.16205046228771,100.48209528817625,1
77.44994318855473,79.7533906541305,100.79117209894946,1
77.33170970528545,79.34568609806911,101.09963499968859,1
77.21365552631956,78.9389660465913,101.40746152309737,1
77.09578762208757,78.53325948829615,101.71462937367988,1
76.97811292764045,78.12859513875503,102.02111643485284,1
76.86063834085397,77.72500143154735,102.32690077594208,1
76.74337072065065,77.32250650947583,102.63196065905947,1
76.62631688524033,76.92113821596723,102.9362745458547,1
76.50948361038031,76.5209240866659,103.23982110413681,1
76.39287762765605,76.12189134122417,103.5425792143626,1
76.27650562278353,75.7240668752953,103.84452797598601,1
76.16037423393416,75.32747725273498,104.14564671366509,1
76.04449005008318,74.93214869801483,104.44591498332235,1
75.92885960938253,74.53810708885368,104.745312578055,1
75.81348939755898,74.14537794907056,105.04381953389091,1
75.6983858463386,73.7539864416637,105.34141613538702,1
75.58355533189813,73.3639573621187,105.63808292106751,1
75.46900417334437,72.97531513195088,105.93380068869729,1
75.35473863122223,72.58808379248393,106.22855050038956,1
75.24076490605218,72.20228699886792,106.5223136875434,1
75.12708913689795,71.8179480143408,106.8150718556094,1
75.01371739996523,71.43508970473437,107.10680688868112,1
74.90065570723182,71.05373453322767,107.39750095391003,1
74.78791000511022,70.67390455535025,107.68713650574179,1
74.67548617314299,70.29562141423605,107.97569628997286,1
74.56339002273168,69.91890633613008,108.2631633476249,1
74.45162729589985,69.54378012614887,108.54952101863651,1
74.34020366409058,69.17026316429565,108.83475294537061,1
74.2291247269992,68.79837540173048,109.11884307593675,1
74.11839601144153,68.42813635729698,109.40177566732726,1
74.0080229702582,68.05956511430361,109.68353528836755,1
73.89801098125528,67.69268031756195,109.96410682247887,1
73.78836534618189,67.32750017067929,110.2434754702546,1
73.67909128974478,66.96404243360672,110.52162675184914,1
73.57019395866045,66.60232442044003,110.79854650918045,1
73.46167842074502,66.24236299747423,111.07422090794577,1
73.35354966404199,65.8841745815086,111.34863643945181,1
73.24581259598831,65.52777513840158,111.6217799222596,1
73.13847204261869,65.17318018187393,111.8936385036452,1
73.03153274780854,64.8204047725564,112.16419966087773,1
72.92499937255546,64.46946351728263,112.43345120231459,1
72.81887649429947,64.12037056862113,112.70138126831748,1
72.71316860628207,63.773139624647,112.96797833198858,1
72.60788011694395,63.427783928947974,113.23323119973014,1
72.50301534936163,63.08431627086361,113.4971290116286,1
72.39857854072274,62.742748985952744,113.75966124166561,1
72.29457384183998,62.40309395668686,114.02081769775805,1
72.19100531670371,62.06536261336527,114.28058852162911,1
72.08787694207288,61.729565935248786,114.53896418851306,1
71.98519260710435,61.39571445190683,114.79593550669668,1
71.8829561130202,61.06381824477569,115.05149361689885,1
71.78117117281296,60.73388694892196,115.30562999149248,1
71.67984141098854,60.40592975500755,115.55833643357073,1
71.57897036334647,60.07995541145249,115.80960507586079,1
71.47856147679717,59.75597222678931,116.05942837948831,1
71.37861810921612,59.43398807220569,116.30779913259599,1
71.27914352933438,59.11401038427033,116.5547104488187,1
71.18014091666511,58.79604616783655,116.80015576561959,1
71.0816133614659,58.48010199911903,117.04412884248976,1
70.98356386473623,58.16618402893886,117.28662375901558,1
70.88599533824984,57.8542979861316,117.52763491281655,1
70.78891060462148,57.544449181113066,117.76715701735782,1
70.69231239740749,57.23664250959729,118.00518509964132,1
70.59620336123992,56.930882456462825,118.24171449777788,1
70.50058605199342,56.627173099759716,118.47674085844582,1
70.4054629369847,56.32551811485439,118.7102601342385,1
70.31083639520365,56.02592077870497,118.94226858090502,1
70.21670871757584,55.728383974262954,119.1727627544883,1
70.12308210725575,55.432910194995316,119.40173950836356,1
70.02995867995011,55.13950154952187,119.62919599018201,1
69.93734046427075,54.84815976636213,119.85512963872276,1
69.84522940211636,54.558886198787036,120.07953818065735,1
69.75362734908266,54.27168182976919,120.30241962723076,1
69.66253607490007,53.9865472770274,120.52377227086231,1
69.57195726389854,53.7034827981592,120.74359468167091,1
69.48189251549866,53.422488295856795,120.96188570392812,1
69.3923433447285,53.14356332320074,121.17864445244271,1
69.30331118276557,52.86670708902676,121.39387030888128,1
69.21479737750299,52.591918463359605,121.6075629180275,1
69.12680319413953,52.31919598291023,121.81972218398482,1
69.0393298157925,52.04853785662988,122.03034826632594,1
68.95237834413304,51.77994197131727,122.23944157619215,1
68.86594980004298,51.51340589727289,122.44700277234753,1
68.7800451242927,51.248926893997236,122.65303275718998,1
68.69466517823909,50.98650191592611,122.85753267272383,1
68.6098107445432,50.726127618200394,123.06050389649698,1
68.52548252790652,50.467800362464175,123.26194803750602,1
68.44168115582562,50.21151622268792,123.46186693207295,1
68.358407179364,49.95727099101151,123.6602626396963,1
68.27566107394077,49.70506018360271,123.85713743888084,1
68.19344324013541,49.45487904652833,124.05249382294792,1
68.11175400450779,49.20672256163169,124.24633449583047,1
68.03059362043282,48.96058545241459,124.43866236785519,1
67.9499622689492,48.71646218991822,124.62948055151554,1
67.86986005962126,48.47434699860014,124.81879235723747,1
67.79028703141353,48.234233862203496,125.00660128914194,1
67.71124315357721,47.996116529614426,125.19291104080591,1
67.63272832654793,47.75998852070461,125.37772549102547,1
67.55474238285399,47.52584313215567,125.56104869958295,1
67.47728508803469,47.293673443261355,125.74288490302104,1
67.40035614156788,47.06347232170572,125.92323851042647,1
67.32395517780617,46.83523242931244,126.10211409922539,1
