t,sep_venus_mars,signed_sep_venus_mars,sep_venus_jupiter,signed_sep_venus_jupiter,sep_venus_saturn,signed_sep_venus_saturn,sep_mars_jupiter,signed_sep_mars_jupiter,sep_mars_saturn,signed_sep_mars_saturn,sep_jupiter_saturn,signed_sep_jupiter_saturn,sep_sun_jupiter,signed_sep_sun_jupiter,sep_sun_saturn,signed_sep_sun_saturn,sep_moon_sun,signed_sep_moon_sun,sep_moon_venus,signed_sep_moon_venus,sep_moon_mars,signed_sep_moon_mars
1973-01-02,16.16471329824435,16.16471329824435,30.30286207714022,-30.30286207714022,177.48451048376347,-177.48451048376347,46.46757537538457,-46.46757537538457,166.35077621799218,166.35077621799218,147.18164840662325,-147.18164840662325,6.594028584608452,-6.594028584608452,153.7756769912317,-153.7756769912317,29.066136154081562,-29.066136154081562,5.357302661549795,-5.357302661549795,10.807410636694556,10.807410636694556
1973-01-03,16.733172973407164,16.733172973407164,29.286288931008926,-29.286288931008926,176.166227511457,-176.166227511457,46.01946190441609,-46.01946190441609,167.10059951513585,167.10059951513585,146.87993858044808,-146.87993858044808,5.807258127725959,-5.807258127725959,152.68719670817404,-152.68719670817404,18.202273465875237,-18.202273465875237,5.27675733740773,5.27675733740773,22.009930310814894,22.009930310814894
1973-01-04,17.301409924711066,17.301409924711066,28.269733402271868,-28.269733402271868,174.84887996491403,-174.84887996491403,45.571143326982934,-45.571143326982934,167.84971011037487,167.84971011037487,146.57914656264217,-146.57914656264217,5.020662368850253,-5.020662368850253,151.59980893149242,-151.59980893149242,7.241633334346091,-7.241633334346091,16.007437699075524,16.007437699075524,33.30884762378659,33.30884762378659
1973-01-05,17.869412211486804,17.869412211486804,27.253189135157754,-27.253189135157754,173.53252628124181,-173.53252628124181,45.12260134664456,-45.12260134664456,168.59806150727138,168.59806150727138,146.27933714608406,-146.27933714608406,4.234240385152361,-4.234240385152361,150.51357753123642,-150.51357753123642,3.8477697681682344,3.8477697681682344,26.866718518173627,26.866718518173627,44.73613072966043,44.73613072966043
1973-01-06,18.437167954841783,18.437167954841783,26.23664915419363,-26.23664915419363,172.21722355320833,-172.21722355320833,44.67381710903541,-44.67381710903541,169.34560849194986,169.34560849194986,145.9805743990147,-145.9805743990147,3.4479919104953183,-3.4479919104953183,149.42856630951002,-149.42856630951002,15.092519094296733,15.092519094296733,37.88117633799504,37.88117633799504,56.31834429283683,56.31834429283683
1973-01-07,19.00466534122006,19.00466534122006,25.220105693988103,-25.220105693988103,170.90302715994846,-170.90302715994846,44.224771035208164,-44.224771035208164,170.09230749883147,170.09230749883147,145.68292146596036,-145.68292146596036,2.661917025287778,-2.661917025287778,148.34483849124814,-148.34483849124814,26.515968167406584,26.515968167406584,49.07415683610691,49.07415683610691,68.07882217732697,68.07882217732697
1973-01-08,19.571892644931324,19.571892644931324,24.203550012445533,-24.203550012445533,169.58999035734024,-169.58999035734024,43.77544265737686,-43.77544265737686,170.83811699772843,170.83811699772843,145.3864403448947,-145.3864403448947,1.8760157693741917,-1.8760157693741917,147.2624561142689,-147.2624561142689,38.14028584980912,38.14028584980912,60.46782009288046,60.46782009288046,80.03971273781178,80.03971273781178
1973-01-09,20.13883826932087,20.13883826932087,23.186972200135642,-23.186972200135642,168.27816385095048,-168.27816385095048,43.32581046945651,-43.32581046945651,171.58299787972862,171.58299787972862,145.09119165081484,-145.09119165081484,1.090287693429275,-1.090287693429275,146.1814793442441,-146.1814793442441,49.98783981674853,49.98783981674853,72.0845243234549,72.0845243234549,92.22336259277574,92.22336259277574
1973-01-10,20.705490806861036,20.705490806861036,22.170360993956876,-22.170360993956876,166.96759536961326,-166.96759536961326,42.87585180081791,-42.87585180081791,172.32691382352573,172.32691382352573,144.7972343756564,-144.7972343756564,0.304731362922837,-0.304731362922837,145.10196573857922,-145.10196573857922,62.08135388386279,62.08135388386279,83.94698351489683,83.94698351489683,104.65247432175784,104.65247432175784
1973-01-11,21.27183912140515,21.27183912140515,21.15370359740143,-21.15370359740143,165.65832924936927,-165.65832924936927,42.42554271880658,-42.42554271880658,173.06983162922558,173.06983162922558,144.50462565196784,-144.50462565196784,0.4806561798882285,0.4806561798882285,144.0239694720796,-144.0239694720796,74.4423446761208,74.4423446761208,96.07670445341046,96.07670445341046,117.34854357481561,117.34854357481561
