phi_rad,phi_deg,escape_probability,composite
-3.141592653589793,-180.0,0.13088700142660314,Venus_Mars
-3.12413936106985,-179.0,0.1307734880498482,Venus_Mars
-3.1066860685499065,-178.0,0.1306685700874199,Venus_Mars
-3.0892327760299634,-177.0,0.13057226201938527,Venus_Mars
-3.07177948351002,-176.0,0.13048457707963593,Venus_Mars
-3.0543261909900767,-175.0,0.13040552726891155,Venus_Mars
-3.036872898470133,-174.0,0.13033512336670464,Venus_Mars
-3.01941960595019,-173.0,0.1302733749420315,Venus_Mars
-3.0019663134302466,-172.0,0.13022029036305627,Venus_Mars
-2.9845130209103035,-171.0,0.13017587680555534,Venus_Mars
-2.9670597283903604,-170.0,0.13014014026021212,Venus_Mars
-2.949606435870417,-169.0,0.13011308553873288,Venus_Mars
-2.9321531433504737,-168.0,0.13009471627877603,Venus_Mars
-2.91469985083053,-167.0,0.13008503494768883,Venus_Mars
-2.897246558310587,-166.0,0.13008404284504696,Venus_Mars
-2.8797932657906435,-165.0,0.13009174010399377,Venus_Mars
-2.8623399732707004,-164.0,0.1301081256913776,Venus_Mars
-2.844886680750757,-163.0,0.13013319740668683,Venus_Mars
-2.827433388230814,-162.0,0.13016695187978417,Venus_Mars
-2.8099800957108707,-161.0,0.13020938456744302,Venus_Mars
-2.792526803190927,-160.0,0.13026048974869003,Venus_Mars
-2.775073510670984,-159.0,0.1303202605189595,Venus_Mars
-2.7576202181510405,-158.0,0.13038868878306717,Venus_Mars
-2.7401669256310974,-157.0,0.13046576524701184,Venus_Mars
-2.722713633111154,-156.0,0.1305514794086154,Venus_Mars
-2.705260340591211,-155.0,0.13064581954701243,Venus_Mars
-2.6878070480712672,-154.0,0.13074877271100305,Venus_Mars
-2.670353755551324,-153.0,0.13086032470628348,Venus_Mars
-2.652900463031381,-152.0,0.130980460081571,Venus_Mars
-2.6354471705114375,-151.0,0.13110916211364,Venus_Mars
-2.6179938779914944,-150.0,0.13124641279128968,Venus_Mars
-2.600540585471551,-149.0,0.1313921927982634,Venus_Mars
-2.5830872929516078,-148.0,0.13154648149514173,Venus_Mars
-2.5656340004316642,-147.0,0.13170925690023433,Venus_Mars
-2.548180707911721,-146.0,0.13188049566949422,Venus_Mars
-2.5307274153917776,-145.0,0.13206017307548318,Venus_Mars
-2.5132741228718345,-144.0,0.1322482629854155,Venus_Mars
-2.4958208303518914,-143.0,0.13244473783831048,Venus_Mars
-2.478367537831948,-142.0,0.13264956862128582,Venus_Mars
-2.4609142453120048,-141.0,0.1328627248450239,Venus_Mars
-2.443460952792061,-140.0,0.13308417451844715,Venus_Mars
-2.426007660272118,-139.0,0.1333138841226371,Venus_Mars
-2.4085543677521746,-138.0,0.13355181858403645,Venus_Mars
-2.3911010752322315,-137.0,0.13379794124697256,Venus_Mars
-2.373647782712288,-136.0,0.13405221384554383,Venus_Mars
-2.356194490192345,-135.0,0.13431459647491067,Venus_Mars
-2.3387411976724017,-134.0,0.13458504756203626,Venus_Mars
-2.321287905152458,-133.0,0.13486352383592162,Venus_Mars
-2.3038346126325147,-131.99999999999997,0.13514998029738212,Venus_Mars
-2.2863813201125716,-131.0,0.13544437018841451,Venus_Mars
-2.2689280275926285,-130.0,0.13574664496120412,Venus_Mars
-2.251474735072685,-129.0,0.13605675424682337,Venus_Mars
-2.234021442552742,-128.0,0.13637464582367523,Venus_Mars
-2.2165681500327983,-126.99999999999999,0.13670026558573503,Venus_Mars
-2.199114857512855,-126.0,0.13703355751064727,Venus_Mars
-2.181661564992912,-125.00000000000001,0.13737446362773376,Venus_Mars
-2.1642082724729685,-124.0,0.13772292398597138,Venus_Mars
-2.146754979953025,-122.99999999999999,0.13807887662199977,Venus_Mars
-2.129301687433082,-122.0,0.13844225752821906,Venus_Mars
-2.111848394913139,-121.0,0.13881300062104016,Venus_Mars
-2.0943951023931957,-120.00000000000001,0.13919103770935035,Venus_Mars
-2.076941809873252,-119.0,0.13957629846325906,Venus_Mars
-2.0594885173533086,-117.99999999999999,0.1399687103831883,Venus_Mars
-2.0420352248333655,-117.0,0.14036819876937465,Venus_Mars
-2.0245819323134224,-116.00000000000001,0.1407746866918497,Venus_Mars
-2.007128639793479,-115.0,0.141188094960967,Venus_Mars
-1.9896753472735356,-114.0,0.14160834209854392,Venus_Mars
-1.9722220547535922,-113.0,0.14203534430968848,Venus_Mars
-1.954768762233649,-111.99999999999999,0.1424690154553806,Venus_Mars
-1.9373154697137058,-111.0,0.14290926702587847,Venus_Mars
-1.9198621771937625,-110.0,0.14335600811502114,Venus_Mars
-1.9024088846738192,-109.0,0.14380914539549852,Venus_Mars
-1.8849555921538759,-108.0,0.14426858309516025,Venus_Mars
-1.8675022996339325,-107.0,0.14473422297443517,Venus_Mars
-1.8500490071139892,-106.0,0.14520596430493338,Venus_Mars
-1.832595714594046,-105.0,0.1456837038493016,Venus_Mars
-1.8151424220741026,-104.0,0.1461673358424049,Venus_Mars
-1.7976891295541593,-102.99999999999999,0.1466567519739039,Venus_Mars
-1.7802358370342162,-102.0,0.14715184137230006,Venus_Mars
-1.7627825445142729,-101.0,0.14765249059051785,Venus_Mars
-1.7453292519943295,-100.0,0.14815858359309433,Venus_Mars
-1.7278759594743862,-99.0,0.1486700017450442,Venus_Mars
-1.710422666954443,-98.0,0.14918662380246833,Venus_Mars
-1.6929693744344996,-97.0,0.1497083259049731,Venus_Mars
-1.6755160819145563,-96.0,0.15023498156996495,Venus_Mars
-1.658062789394613,-95.0,0.15076646168888622,Venus_Mars
-1.6406094968746696,-93.99999999999999,0.1513026345254533,Venus_Mars
-1.6231562043547265,-93.0,0.1518433657159598,Venus_Mars
-1.6057029118347832,-92.0,0.15238851827170374,Venus_Mars
-1.5882496193148399,-91.0,0.1529379525835964,Venus_Mars
-1.5707963267948966,-90.0,0.15349152642900932,Venus_Mars
-1.5533430342749532,-89.0,0.15404909498091235,Venus_Mars
-1.53588974175501,-88.0,0.15461051081935465,Venus_Mars
