combo,mode,combo_size,global_prob,high_R_prob,enrichment,circular_shift_p,n_event,n_high_R,n_joint,fdr_q
Jupiter+Moon,either,2,0.09788359788359788,0.16346153846153846,1.66995841995842,0.0559720139930035,1628,832,136,0.8135932033983009
Mercury+Venus,either,2,0.09722222222222222,0.1622596153846154,1.668956043956044,0.08095952023988005,1617,832,135,0.8135932033983009
Venus+Moon,either,2,0.09758297258297258,0.1622596153846154,1.6627861510024173,0.1024487756121939,1623,832,135,0.8135932033983009
Venus+Neptune+Moon,either,3,0.14207551707551708,0.234375,1.6496508675412611,0.047976011994003,2363,832,195,0.8135932033983009
Venus+Jupiter+Sun,either,3,0.14123376623376624,0.23197115384615385,1.6424624226348363,0.06696651674162919,2349,832,193,0.8135932033983009
Mars+Neptune+Moon,either,3,0.1452020202020202,0.23076923076923078,1.5892976588628764,0.05247376311844078,2415,832,192,0.8135932033983009
Jupiter+Neptune+Sun,either,3,0.14502164502164502,0.22716346153846154,1.5664107347876004,0.10194902548725637,2412,832,189,0.8135932033983009
Mercury+Mars,either,2,0.09776334776334776,0.15144230769230768,1.5490703945500992,0.1054472763618191,1626,832,126,0.8135932033983009
Mars+Moon,either,2,0.09800384800384801,0.15144230769230768,1.5452689948088718,0.09295352323838081,1630,832,126,0.8135932033983009
Venus+Mars+Sun,either,3,0.14333814333814335,0.21394230769230768,1.4925706633970055,0.05897051474262868,2384,832,178,0.8135932033983009
Mercury+Venus+Moon,either,3,0.14285714285714285,0.2127403846153846,1.4891826923076923,0.06796601699150424,2376,832,177,0.8135932033983009
Mercury+Mars+Moon,either,3,0.14345839345839345,0.20432692307692307,1.4242939583467664,0.062468765617191405,2386,832,170,0.8135932033983009
Mercury+Jupiter+Sun,either,3,0.14093314093314094,0.19471153846153846,1.3815880152270936,0.10594702648675662,2344,832,162,0.8135932033983009
Venus+Mars+Sun,at_least_two,3,0.006734006734006734,0.020432692307692308,3.034254807692308,0.11644177911044477,112,832,17,0.8314351596131758
Venus+Jupiter+Saturn,either,3,0.1405122655122655,0.24639423076923078,1.7535425101214577,0.11094452773613193,2337,832,205,0.8314351596131758
Venus+Jupiter+Pluto,either,3,0.14105339105339104,0.2283653846153846,1.618999606531576,0.11444277861069466,2346,832,190,0.8314351596131758
Jupiter+Saturn+Neptune,either,3,0.1397907647907648,0.22115384615384615,1.5820347394540941,0.11394302848575712,2325,832,184,0.8314351596131758
Venus+Mars+Saturn,either,3,0.14321789321789322,0.2283653846153846,1.5945310986242975,0.12243878060969515,2382,832,190,0.8591824777266539
Venus+Moon,all_overlap,2,0.0024651274651274653,0.007211538461538462,2.925422138836773,0.12593703148425786,41,832,6,0.8687520646456433
Mercury+Neptune+Moon,either,3,0.14213564213564214,0.19110576923076922,1.3445309449433813,0.13243378310844578,2364,832,159,0.8983424954189572
Venus+Mars+Pluto,either,3,0.14339826839826839,0.21033653846153846,1.4667997097242382,0.136431784107946,2385,832,175,0.9102907562612136
Mars+Jupiter+Pluto,either,3,0.1405122655122655,0.21514423076923078,1.5311419966426387,0.13943028485757122,2337,832,179,0.9152923538230885
Venus+Moon,at_least_two,2,0.0024651274651274653,0.007211538461538462,2.925422138836773,0.14642678660669664,41,832,6,0.9311828460769614
Mercury+Neptune,either,2,0.0965007215007215,0.140625,1.4572429906542055,0.14642678660669664,1605,832,117,0.9311828460769614
Mars+Neptune+Sun,either,3,0.1473063973063973,0.2091346153846154,1.4197252747252749,0.14942528735632185,2450,832,174,0.935632183908046
Venus+Jupiter+Sun,at_least_two,3,0.007275132275132275,0.020432692307692308,2.8085664335664338,0.15642178910544727,121,832,17,0.9417619957144715
Venus+Pluto+Sun,at_least_two,3,0.007816257816257817,0.020432692307692308,2.614127218934911,0.16841579210394803,130,832,17,0.9417619957144715
Venus+Neptune,all_overlap,2,0.0030663780663780665,0.007211538461538462,2.3518099547511313,0.1664167916041979,51,832,6,0.9417619957144715
Venus+Neptune,at_least_two,2,0.0030663780663780665,0.007211538461538462,2.3518099547511313,0.1619190404797601,51,832,6,0.9417619957144715
Venus+Jupiter+Uranus,either,3,0.14484126984126985,0.2283653846153846,1.5766596417281347,0.16691654172913542,2409,832,190,0.9417619957144715
Jupiter+Sun,either,2,0.09613997113997114,0.140625,1.4627110694183865,0.16241879060469766,1599,832,117,0.9417619957144715
Neptune+Moon,either,2,0.09740259740259741,0.13701923076923078,1.4067307692307693,0.15542228885557222,1620,832,114,0.9417619957144715
Jupiter+Neptune+Pluto,either,3,0.14622414622414623,0.203125,1.389134457236842,0.16891554222888555,2432,832,169,0.9417619957144715
Venus+Saturn+Neptune,either,3,0.1387085137085137,0.2091346153846154,1.507727318195459,0.1714142928535732,2307,832,174,0.9427786106946525
Mars+Saturn+Neptune,either,3,0.14093314093314094,0.203125,1.4412862627986347,0.17541229385307347,2344,832,169,0.951904047976012
Mars+Jupiter+Uranus,either,3,0.143999518999519,0.21514423076923078,1.494062148707243,0.18190904547726136,2395,832,179,0.9615192403798101
Mercury+Jupiter+Saturn,either,3,0.1400913900913901,0.18870192307692307,1.3469915813799933,0.17991004497751126,2330,832,157,0.9615192403798101
Jupiter+Sun+Moon,either,3,0.14165464165464164,0.18389423076923078,1.2981871163641114,0.18640679660169915,2356,832,153,0.9726611053447635
Venus+Mars+Neptune,at_least_two,3,0.003787878787878788,0.007211538461538462,1.903846153846154,0.191904047976012,63,832,6,0.976311844077961
Venus+Neptune+Sun,either,3,0.1412938912938913,0.19471153846153846,1.3780605564648116,0.191904047976012,2350,832,162,0.976311844077961
Mars+Moon,all_overlap,2,0.002044252044252044,0.004807692307692308,2.3518099547511313,0.22788605697151423,34,832,4,1.0
Mars+Moon,at_least_two,2,0.002044252044252044,0.004807692307692308,2.3518099547511313,0.24687656171914044,34,832,4,1.0
Venus+Saturn+Sun,at_least_two,3,0.010401635401635401,0.020432692307692308,1.964373054690974,0.23238380809595202,173,832,17,1.0
Jupiter+Sun+Moon,at_least_two,3,0.008116883116883116,0.014423076923076924,1.7769230769230773,0.21339330334832585,135,832,12,1.0
Neptune+Sun+Moon,at_least_two,3,0.006313131313131313,0.010817307692307692,1.7134615384615384,0.20789605197401298,105,832,9,1.0
Venus+Uranus+Neptune,at_least_two,3,0.004389129389129389,0.007211538461538462,1.6430453108535303,0.24737631184407796,73,832,6,1.0
Mercury+Jupiter+Moon,at_least_two,3,0.006673881673881674,0.010817307692307692,1.6208419958419957,0.23288355822088955,111,832,9,1.0
Mercury+Venus+Moon,at_least_two,3,0.006854256854256854,0.010817307692307692,1.5781882591093117,0.25537231384307846,114,832,9,1.0
Venus+Jupiter+Neptune,at_least_two,3,0.00499037999037999,0.007211538461538462,1.4450880444856349,0.26186906546726635,83,832,6,1.0
Venus+Mars+Uranus,either,3,0.1474867724867725,0.21033653846153846,1.4261383235598482,0.20589705147426288,2453,832,175,1.0
Jupiter+Saturn,either,2,0.0952982202982203,0.1346153846153846,1.4125697646202378,0.21739130434782608,1585,832,112,1.0
Jupiter+Uranus+Moon,at_least_two,3,0.007756132756132756,0.010817307692307692,1.3946779964221825,0.24237881059470265,129,832,9,1.0
Jupiter+Uranus+Neptune,either,3,0.14754689754689754,0.203125,1.3766809290953546,0.19940029985007496,2454,832,169,1.0
Sun+Moon,all_overlap,2,0.0026455026455026454,0.003605769230769231,1.3629807692307694,0.4062968515742129,44,832,3,1.0
Sun+Moon,at_least_two,2,0.0026455026455026454,0.003605769230769231,1.3629807692307694,0.4007996001999001,44,832,3,1.0
Neptune+Pluto+Moon,at_least_two,3,0.005291005291005291,0.007211538461538462,1.3629807692307694,0.3103448275862069,88,832,6,1.0
Venus+Saturn,either,2,0.09716209716209716,0.12980769230769232,1.3359910510281798,0.2933533233383308,1616,832,108,1.0
Mars+Sun+Moon,at_least_two,3,0.006313131313131313,0.008413461538461538,1.3326923076923076,0.31984007996002,105,832,7,1.0
Venus+Neptune+Pluto,either,3,0.14375901875901875,0.19110576923076922,1.3293480359038703,0.21389305347326337,2391,832,159,1.0
Venus+Uranus+Sun,at_least_two,3,0.015392015392015393,0.020432692307692308,1.3274864783653846,0.35782108945527236,256,832,17,1.0
Venus+Uranus+Neptune,either,3,0.1456830206830207,0.19110576923076922,1.3117916441791801,0.24737631184407796,2423,832,159,1.0
Jupiter+Saturn+Moon,either,3,0.140993265993266,0.1814903846153846,1.287227324913892,0.21489255372313842,2345,832,151,1.0
Mercury+Venus,all_overlap,2,0.002825877825877826,0.003605769230769231,1.2759819967266777,0.33833083458270863,47,832,3,1.0
Mercury+Venus,at_least_two,2,0.002825877825877826,0.003605769230769231,1.2759819967266777,0.3378310844577711,47,832,3,1.0
Mercury+Venus+Saturn,either,3,0.14147426647426647,0.18028846153846154,1.2743551603517604,0.26186906546726635,2353,832,150,1.0
Venus+Saturn+Moon,either,3,0.1423160173160173,0.18028846153846154,1.2668177829774787,0.25737131434282856,2367,832,150,1.0
Uranus+Neptune+Moon,at_least_two,3,0.005711880711880712,0.007211538461538462,1.2625506072874493,0.3278360819590205,95,832,6,1.0
Mars+Neptune+Pluto,either,3,0.147005772005772,0.18509615384615385,1.2591080698442663,0.2368815592203898,2445,832,154,1.0
Mercury+Venus+Neptune,at_least_two,3,0.008597883597883597,0.010817307692307692,1.2581360946745563,0.296351824087956,143,832,9,1.0
Jupiter+Pluto+Moon,at_least_two,3,0.008658008658008658,0.010817307692307692,1.2493990384615383,0.24187906046976512,144,832,9,1.0
Mars+Sun,either,2,0.09842472342472343,0.12259615384615384,1.2455829143367323,0.3188405797101449,1637,832,102,1.0
Mars+Uranus+Neptune,either,3,0.14917027417027418,0.18509615384615385,1.2408380615756673,0.2688655672163918,2481,832,154,1.0
Mercury+Mars+Sun,either,3,0.14315776815776815,0.17548076923076922,1.2257858688980066,0.23638180909545228,2381,832,146,1.0
Jupiter+Saturn+Moon,at_least_two,3,0.008838383838383838,0.010817307692307692,1.223901098901099,0.26436781609195403,147,832,9,1.0
Jupiter+Pluto,either,2,0.0962000962000962,0.11658653846153846,1.2119170673076922,0.34832583708145926,1600,832,97,1.0
Venus+Sun,either,2,0.09547859547859548,0.11538461538461539,1.208486727378415,0.32733633183408295,1588,832,96,1.0
Mercury+Jupiter+Pluto,either,3,0.14123376623376624,0.17067307692307693,1.2084438549955792,0.28785607196401797,2349,832,142,1.0
Mars+Saturn,either,2,0.09662097162097162,0.11658653846153846,1.2066380259441865,0.3293353323338331,1607,832,97,1.0
Mercury+Jupiter+Uranus,either,3,0.14237614237614238,0.17067307692307693,1.198747726091476,0.30884557721139433,2368,832,142,1.0
Mercury+Mars+Saturn,either,3,0.14147426647426647,0.16947115384615385,1.197893850730655,0.26486756621689156,2353,832,141,1.0
Mars+Sun+Moon,either,3,0.14375901875901875,0.171875,1.195577164366374,0.2653673163418291,2391,832,143,1.0
Jupiter+Uranus,either,2,0.09752284752284753,0.11658653846153846,1.195479227923741,0.3613193403298351,1622,832,97,1.0
Mars+Saturn+Moon,either,3,0.14225589225589225,0.16947115384615385,1.191312016385981,0.2863568215892054,2366,832,141,1.0
Mercury+Venus+Sun,either,3,0.1399110149110149,0.1658653846153846,1.185506264255727,0.2933533233383308,2327,832,138,1.0
Venus+Sun+Moon,either,3,0.14093314093314094,0.1658653846153846,1.176908309267524,0.29485257371314344,2344,832,138,1.0
Mercury+Neptune+Sun,either,3,0.14237614237614238,0.16466346153846154,1.1565382991164241,0.2783608195902049,2368,832,137,1.0
Jupiter+Pluto+Moon,either,3,0.1414141414141414,0.16346153846153846,1.1559065934065935,0.34632683658170915,2352,832,136,1.0
Venus+Pluto,either,2,0.0968013468013468,0.11177884615384616,1.1547240802675585,0.38980509745127434,1610,832,93,1.0
Jupiter+Saturn+Sun,either,3,0.13762626262626262,0.15865384615384615,1.152787579393084,0.31284357821089454,2289,832,132,1.0
Jupiter+Uranus+Moon,either,3,0.1423160173160173,0.16346153846153846,1.1485814565662475,0.3453273363318341,2367,832,136,1.0
Mercury+Venus+Pluto,either,3,0.14147426647426647,0.1622596153846154,1.1469196443165843,0.3373313343328336,2353,832,135,1.0
Mercury+Saturn+Neptune,either,3,0.13852813852813853,0.15865384615384615,1.1452824519230769,0.3263368315842079,2304,832,132,1.0
Venus+Pluto+Moon,either,3,0.1418951418951419,0.1622596153846154,1.1435177640156453,0.3373313343328336,2360,832,135,1.0
Mercury+Moon,either,2,0.09776334776334776,0.11177884615384616,1.1433614816917401,0.23638180909545228,1626,832,93,1.0
Venus+Neptune+Pluto,at_least_two,3,0.006313131313131313,0.007211538461538462,1.1423076923076925,0.2608695652173913,105,832,6,1.0
Venus+Uranus+Moon,either,3,0.14321789321789322,0.1622596153846154,1.1329563069172641,0.3543228385807096,2382,832,135,1.0
Venus+Uranus,either,2,0.09872534872534873,0.11177884615384616,1.1322203223086293,0.4032983508245877,1642,832,93,1.0
Mercury+Venus+Uranus,either,3,0.14333814333814335,0.1622596153846154,1.13200584021683,0.3683158420789605,2384,832,135,1.0
Neptune+Sun,either,2,0.0989057239057239,0.11057692307692307,1.1180032733224223,0.3618190904547726,1645,832,92,1.0
Saturn+Neptune+Moon,either,3,0.13985088985088986,0.15504807692307693,1.108667074541967,0.34332833583208394,2326,832,129,1.0
Saturn+Neptune,either,2,0.09451659451659451,0.1045673076923077,1.1063380798590723,0.36881559220389803,1572,832,87,1.0
Neptune+Sun+Moon,either,3,0.1436988936988937,0.15745192307692307,1.0957072738976505,0.3473263368315842,2390,832,131,1.0
Mercury+Mars+Pluto,either,3,0.14237614237614238,0.15144230769230768,1.0636775597713097,0.40679660169915044,2368,832,126,1.0
Mars+Pluto+Moon,either,3,0.14279701779701778,0.15144230769230768,1.0605425101214576,0.40229885057471265,2375,832,126,1.0
Venus+Uranus+Moon,at_least_two,3,0.006854256854256854,0.007211538461538462,1.0521255060728747,0.36931534232883556,114,832,6,1.0
Mercury+Mars+Uranus,either,3,0.14411976911976912,0.15144230769230768,1.0508087031866755,0.40879560219890054,2397,832,126,1.0
Mars+Uranus+Moon,either,3,0.14424001924001925,0.15144230769230768,1.0499326642511302,0.4047976011994003,2399,832,126,1.0
Jupiter+Uranus+Sun,either,3,0.13407888407888408,0.140625,1.048822869955157,0.4107946026986507,2230,832,117,1.0
Mars+Pluto,either,2,0.09716209716209716,0.0985576923076923,1.014363575780655,0.4337831084457771,1616,832,82,1.0
Mars+Saturn+Sun,either,3,0.1411135161135161,0.140625,0.9965381337878143,0.4892553723138431,2347,832,117,1.0
Mars+Uranus,either,2,0.09932659932659933,0.0985576923076923,0.9922588005215123,0.4177911044477761,1652,832,82,1.0
Jupiter+Pluto+Sun,either,3,0.1423160173160173,0.140625,0.9881178707224335,0.4702648675662169,2367,832,117,1.0
Mercury+Uranus+Neptune,either,3,0.14357864357864358,0.140625,0.9794283919597989,0.4917541229385307,2388,832,117,1.0
Mercury+Neptune+Pluto,either,3,0.14363876863876865,0.140625,0.9790184177480117,0.4987506246876562,2389,832,117,1.0
Mercury+Neptune+Moon,at_least_two,3,0.007395382395382395,0.007211538461538462,0.9751407129455911,0.4682658670664668,123,832,6,1.0
Venus+Saturn+Sun,either,3,0.1391895141895142,0.13341346153846154,0.9585022428974912,0.4782608695652174,2315,832,111,1.0
Jupiter+Saturn+Pluto,either,3,0.14147426647426647,0.1346153846153846,0.9515185197293144,0.47476261869065467,2353,832,112,1.0
Uranus+Neptune+Moon,either,3,0.14436026936026936,0.13701923076923078,0.9491477909845258,0.5012493753123438,2401,832,114,1.0
Neptune+Pluto+Moon,either,3,0.1447811447811448,0.13701923076923078,0.9463886404293381,0.5197401299350325,2408,832,114,1.0
Jupiter+Saturn+Uranus,either,3,0.14279701779701778,0.1346153846153846,0.9427044534412956,0.5187406296851574,2375,832,112,1.0
Venus+Saturn+Moon,at_least_two,3,0.007756132756132756,0.007211538461538462,0.9297853309481217,0.3708145927036482,129,832,6,1.0
Mercury+Sun+Moon,either,3,0.14225589225589225,0.13221153846153846,0.9293923532089213,0.6201899050474763,2366,832,110,1.0
Saturn+Neptune+Sun,either,3,0.1394901394901395,0.12860576923076922,0.9219703249336869,0.4947526236881559,2320,832,107,1.0
Mercury+Saturn+Moon,either,3,0.14255651755651755,0.12980769230769232,0.9105700288745419,0.4657671164417791,2371,832,108,1.0
Mercury+Mars+Moon,at_least_two,3,0.006613756613756613,0.006009615384615385,0.9086538461538463,0.5037481259370314,110,832,5,1.0
Venus+Saturn+Pluto,either,3,0.14393939393939395,0.12980769230769232,0.9018218623481782,0.5007496251874063,2394,832,108,1.0
Venus+Pluto+Moon,at_least_two,3,0.007996632996632997,0.007211538461538462,0.9018218623481782,0.4047976011994003,133,832,6,1.0
Mars+Uranus+Sun,either,3,0.13714526214526215,0.12259615384615384,0.8939146123495092,0.5402298850574713,2281,832,102,1.0
Venus+Saturn+Uranus,either,3,0.14586339586339586,0.12980769230769232,0.8899264379478725,0.5562218890554723,2426,832,108,1.0
Uranus+Neptune,either,2,0.10004810004810005,0.08653846153846154,0.8649685650887573,0.5337331334332833,1664,832,72,1.0
Neptune+Pluto,either,2,0.10004810004810005,0.08653846153846154,0.8649685650887573,0.5477261369315343,1664,832,72,1.0
Venus+Uranus+Sun,either,3,0.13413900913900914,0.11538461538461539,0.860186877219598,0.5637181409295352,2231,832,96,1.0
Jupiter+Uranus+Pluto,either,3,0.13666426166426165,0.11658653846153846,0.8530872449152256,0.5222388805597201,2273,832,97,1.0
Mercury+Venus+Mars,at_least_two,3,0.005651755651755652,0.004807692307692308,0.8506546644844518,0.5432283858070964,94,832,4,1.0
Mars+Pluto+Sun,either,3,0.14556277056277056,0.12259615384615384,0.8422219044895625,0.6041979010494752,2421,832,102,1.0
Mars+Uranus+Moon,at_least_two,3,0.005832130832130832,0.004807692307692308,0.8243457573354481,0.4987506246876562,97,832,4,1.0
Venus+Pluto+Sun,either,3,0.14225589225589225,0.11538461538461539,0.8111060537096041,0.6446776611694153,2366,832,96,1.0
Mars+Saturn+Pluto,either,3,0.14375901875901875,0.11658653846153846,0.8109859086960719,0.6116941529235382,2391,832,97,1.0
Venus+Uranus+Pluto,either,3,0.1387085137085137,0.11177884615384616,0.8058542562768831,0.5572213893053474,2307,832,93,1.0
Mercury+Sun,either,2,0.09704184704184704,0.078125,0.8050650557620818,0.7231384307846077,1614,832,65,1.0
Sun+Moon,either,2,0.09740259740259741,0.078125,0.8020833333333333,0.7411294352823589,1620,832,65,1.0
Uranus+Neptune+Sun,either,3,0.13834776334776336,0.11057692307692307,0.7992678768428442,0.6451774112943528,2301,832,92,1.0
Mars+Saturn+Uranus,either,3,0.14592352092352093,0.11658653846153846,0.7989564514595416,0.6496751624187906,2427,832,97,1.0
