lag_days,prob_condition_after_event,global_event_probability,body,lag_enrichment
0,0.054086538461538464,0.050024050024050026,Mercury,1.0812107063609468
1,0.054086538461538464,0.050024050024050026,Mercury,1.0812107063609468
2,0.054086538461538464,0.050024050024050026,Mercury,1.0812107063609468
3,0.052884615384615384,0.050024050024050026,Mercury,1.0571838017751478
4,0.05048076923076923,0.050024050024050026,Mercury,1.0091299926035502
5,0.046875,0.050024050024050026,Mercury,0.9370492788461539
6,0.04326923076923077,0.050024050024050026,Mercury,0.8649685650887573
7,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
8,0.038461538461538464,0.050024050024050026,Mercury,0.7688609467455622
9,0.038461538461538464,0.050024050024050026,Mercury,0.7688609467455622
10,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
11,0.042067307692307696,0.050024050024050026,Mercury,0.8409416605029586
12,0.04567307692307692,0.050024050024050026,Mercury,0.9130223742603549
13,0.04807692307692308,0.050024050024050026,Mercury,0.9610761834319527
14,0.04927884615384615,0.050024050024050026,Mercury,0.9851030880177514
15,0.05048076923076923,0.050024050024050026,Mercury,1.0091299926035502
16,0.051682692307692304,0.050024050024050026,Mercury,1.033156897189349
17,0.05048076923076923,0.050024050024050026,Mercury,1.0091299926035502
18,0.04927884615384615,0.050024050024050026,Mercury,0.9851030880177514
19,0.046875,0.050024050024050026,Mercury,0.9370492788461539
20,0.04447115384615385,0.050024050024050026,Mercury,0.8889954696745562
21,0.042067307692307696,0.050024050024050026,Mercury,0.8409416605029586
22,0.040865384615384616,0.050024050024050026,Mercury,0.8169147559171598
23,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
24,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
25,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
26,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
27,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
28,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
29,0.040865384615384616,0.050024050024050026,Mercury,0.8169147559171598
30,0.042067307692307696,0.050024050024050026,Mercury,0.8409416605029586
31,0.04326923076923077,0.050024050024050026,Mercury,0.8649685650887573
32,0.04326923076923077,0.050024050024050026,Mercury,0.8649685650887573
33,0.04326923076923077,0.050024050024050026,Mercury,0.8649685650887573
34,0.04326923076923077,0.050024050024050026,Mercury,0.8649685650887573
35,0.04326923076923077,0.050024050024050026,Mercury,0.8649685650887573
36,0.042067307692307696,0.050024050024050026,Mercury,0.8409416605029586
37,0.040865384615384616,0.050024050024050026,Mercury,0.8169147559171598
38,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
39,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
40,0.039663461538461536,0.050024050024050026,Mercury,0.7928878513313609
41,0.038461538461538464,0.050024050024050026,Mercury,0.7688609467455622
