date,theta_raw_rad,sun_phase_rad,theta_residual_minus_sun_rad,R,high_R
1980-10-17,1.9536293265309261,-1.3895181202130829,-2.9400378604355772,-0.183081362536762,False
1980-10-18,1.9441983377100165,-1.2738793095840157,-3.0651076598855536,-0.1950829328416027,False
1980-10-19,1.9346581205439115,-1.2651888147325179,-3.0833383719031566,-0.2074257860051873,False
1980-10-20,1.9249980708727286,-1.1905434331142857,3.1155415039870142,-0.220146981986253,False
1980-10-21,1.9152075330022704,-1.1808996502388838,3.0961071832411537,-0.2332776703653532,False
1980-10-22,1.9052763480453727,-1.1200556506153934,3.025331998660766,-0.2468330260992267,False
1980-10-23,1.8951953326101254,-1.109836763706376,3.0050320963165014,-0.2608067119046411,False
1980-10-24,1.8849567468982649,-1.0568185547001785,2.941775301598444,-0.2751820150620886,False
1980-10-25,1.8745546461151967,-1.0461827744081473,2.920737420523344,-0.2899435044214973,False
1980-10-26,1.8639850746427236,-0.9985045763095219,2.862489650952245,-0.3050778539325497,False
1980-10-27,1.853246252445114,-0.9875386326785782,2.8407848851236928,-0.3205763526067711,False
1980-10-28,1.8423385892496604,-0.943847494334134,2.786186083583795,-0.3364341727955119,False
1980-10-29,1.8312646508551715,-0.9326099103585714,2.7638745612137434,-0.3526515950475212,False
1980-10-30,1.8200290513648092,-0.8920532685336768,2.712082319898486,-0.3692328097117341,False
1980-10-31,1.8086382385326907,-0.8805880587025126,2.6892262972352032,-0.3861879467767372,False
1980-11-01,1.7971002712240924,-0.842556683753382,2.6396569549774744,-0.4035273067313372,False
1980-11-02,1.7854245321935558,-0.8309589124438963,2.616383444637452,-0.4212634377839383,False
1980-11-03,1.773621491707143,-0.7952127542443082,2.568834245951451,-0.43941001823473,False
1980-11-04,1.7617024519067392,-0.7835458600323415,2.5452483119390807,-0.4579801410905722,False
1980-11-05,1.7496785633814902,-0.7497097273387152,2.499388290720205,-0.4769844387590793,False
1980-11-06,1.7375600831875566,-0.7380528915931155,2.475612974780672,-0.4964274741805269,False
1980-11-07,1.725355783193887,-0.7059689645012086,2.431324747695095,-0.5163084202447896,False
1980-11-08,1.713072724071079,-0.6944346311360579,2.4075073552071373,-0.5366145082563711,False
1980-11-09,1.7007165822839845,-0.6639916246390811,2.3647082069230656,-0.5573213757554122,False
1980-11-10,1.688291721704271,-0.6526605823572846,2.340952304061556,-0.5783936751260474,False
1980-11-11,1.6758011085621511,-0.6237387185000722,2.2995398270622234,-0.5997849465109234,False
1980-11-12,1.6632462358109699,-0.6126314217679125,2.2758776575788824,-0.6214393617715791,False
1980-11-13,1.6506270801538783,-0.5850822866713248,2.235709366825203,-0.6432913697104355,False
1980-11-14,1.6379420167498004,-0.5741663508433055,2.212108367593106,-0.6652685383353751,False
1980-11-15,1.6251877616851935,-0.5478234498672525,2.1730112115524456,-0.6872891971004311,False
1980-11-16,1.6123594964972305,-0.5370363957319331,2.1493958922291636,-0.7092656672859744,False
1980-11-17,1.5994512127990212,-0.5117305899348592,2.1111818027338805,-0.7311052429368603,False
1980-11-18,1.5864563759942705,-0.5009968649657051,2.0874532409599755,-0.7527130181655441,False
1980-11-19,1.5733686554928958,-0.4765647059875584,2.049933361480454,-0.7739923069885638,False
1980-11-20,1.560182537884966,-0.4658041678013176,2.025986705686284,-0.7948477632070815,False
1980-11-21,1.5468937292467864,-0.44209092846403975,1.9889846577108266,-0.8151876920687731,False
1980-11-22,1.5334995331889267,-0.43122331959199833,1.964722852780925,-0.8349233266821797,False
1980-11-23,1.5199992102808402,-0.4080849380715268,1.928084148352367,-0.8539728065904433,False
1980-11-24,1.5063941715229667,-0.3970342793467365,1.9034284508697032,-0.8722585019732451,False
1980-11-25,1.492688091249203,-0.3743408899734688,1.8670289812226724,-0.8897088174102128,False
1980-11-26,1.478886990924419,-0.3630416555093765,1.8419286464337956,-0.9062614156125562,False
1980-11-27,1.464999140275122,-0.34068343579961535,1.8056825760747373,-0.9218771216470312,False
1980-11-28,1.4510349535014022,-0.32908845159277256,1.7801234050941748,-0.936540802722844,False
1980-11-29,1.4370067528458286,-0.30698300188323424,1.7439897547290624,-0.9502596786936566,False
1980-11-30,1.4229285147351867,-0.2950720075019704,1.7180005222371566,-0.9630636068013751,False
1980-12-01,1.4088155263470235,-0.2731721800911626,1.6819877064381856,-0.97499731833258,False
1980-12-02,1.3946839566474658,-0.26096014999125483,1.6556441066387206,-0.9861208256136076,False
1980-12-03,1.3805502964998446,-0.23926126369956124,1.6198115601994054,-0.9965049314088432,False
1980-12-04,1.3664307079814897,-0.22680448375668583,1.5932351917381755,-1.0062215366935323,False
1980-12-05,1.352340170559554,-0.20534683117715113,1.5576870017367046,-1.0153374801149613,False
1980-12-06,1.3382925052892851,-0.1927397155706716,1.5310322208599567,-1.023912104620046,False
1980-12-07,1.3243005692443681,-0.17159701774891722,1.4958975869932853,-1.0319989138825123,False
1980-12-08,1.3103765982547877,-0.15895088896461607,1.4693274872194042,-1.0396432178744328,False
