signal,raw_high_R_plv,raw_background_plv,raw_delta,raw_p,residual_high_R_plv,residual_background_plv,residual_delta,residual_p,best_residual_lag_days,best_residual_lag_plv,raw_fdr_q,residual_fdr_q
venus_mars_jupiter,0.08515620817679569,0.05294019297342983,0.03221601520336586,0.8963678773742086,0.2888536311762919,0.004597781161725655,0.28425585001456627,0.20226591136287905,8,0.29205834121923885,0.9380858009736103,0.9866711096301233
combo_Venus_Mars_Jupiter,0.08515620817679569,0.05294019297342983,0.03221601520336586,0.8973675441519493,0.2888536311762919,0.004597781161725655,0.28425585001456627,0.2055981339553482,8,0.29205834121923885,0.9380858009736103,0.9866711096301233
venus_mars,0.10854658630732565,0.006789591465238805,0.10175699484208685,0.9013662112629124,0.2521517868788462,0.0068014286769458275,0.24535035820190038,0.5014995001666112,89,0.3082274141081381,0.9380858009736103,0.9866711096301233
combo_Venus_Mars,0.10854658630732565,0.006789591465238805,0.10175699484208685,0.9096967677440853,0.2521517868788462,0.0068014286769458275,0.24535035820190038,0.5018327224258581,89,0.3082274141081381,0.9380858009736103,0.9866711096301233
combo_Venus_Uranus_Pluto,0.21902921471991568,0.01793793648151757,0.20109127823839812,0.19360213262245918,0.24094172310208173,0.013370208222192538,0.2275715148798892,0.12595801399533488,22,0.29346017297869614,0.8945510226749812,0.9866711096301233
combo_Venus_Mars_Pluto,0.14297487580107357,0.02646227342403208,0.11651260237704149,0.7467510829723426,0.22905284410087406,0.024091450109858022,0.20496139399101604,0.3855381539486838,240,0.3497787593799383,0.9262952235294788,0.9866711096301233
combo_Venus_Mars_Saturn,0.1073288991798962,0.06890989526374425,0.03841900391615195,0.874375208263912,0.22823635512431614,0.0033026992189304806,0.22493365590538567,0.3485504831722759,24,0.2952376476297481,0.9380858009736103,0.9866711096301233
inner_planets,0.13118196369562848,0.028307305843978187,0.1028746578516503,0.7890703098967011,0.21878451920817674,0.026480771022534128,0.1923037481856426,0.6544485171609463,237,0.25051455883311896,0.9262952235294788,0.9866711096301233
combo_Mercury_Venus_Mars,0.13118196369562848,0.028307305843978187,0.1028746578516503,0.7857380873042319,0.21878451920817674,0.026480771022534128,0.1923037481856426,0.6444518493835388,237,0.25051455883311896,0.9262952235294788,0.9866711096301233
combo_Venus_Neptune_Pluto,0.21264210742517495,0.020317598791926822,0.19232450863324813,0.2485838053982006,0.21065251930855322,0.00865026345088424,0.20200225585766898,0.1562812395868044,32,0.30471331044777705,0.8945510226749812,0.9866711096301233
